area_id,area_name,b07004a001,b07004a001_moe,b07004a002,b07004a002_moe,b07004a003,b07004a003_moe,b07004a004,b07004a004_moe,b07004a005,b07004a005_moe,b07004a006,b07004a006_moe
1.1,Arbor Heights,5110,323,4353,328,641,256,14,25,79,81,23,25
1.2,Fauntleroy/Seaview,12199,627,10370,670,1189,446,142,83,453,216,45,71
1.3,West Seattle Junction/Genesee Hill,15495,631,12861,636,1946,508,305,186,337,183,46,48
1.4,Alki/Admiral,9732,532,8051,524,963,388,307,153,316,183,95,92
2.1,North Delridge,3274,431,2639,378,417,211,17,27,119,110,82,117
2.2,High Point,2664,380,1898,359,603,181,52,60,111,76,0,17
2.3,Riverview,2645,291,2372,249,135,55,109,147,19,22,10,17
2.4,Roxhill/Westwood,8293,767,6866,700,702,214,338,444,387,179,0,21
2.5,Highland Park,3491,392,2576,412,659,236,90,95,166,105,0,21
3.1,South Park,2682,555,2024,458,509,274,21,29,47,58,81,60
3.2,Georgetown,835,210,556,193,148,109,53,64,78,73,0,12
3.3,Duwamish/SODO,1262,259,852,196,236,93,79,64,62,74,33,29
3.4,South Beacon Hill/NewHolly,2098,403,1923,371,134,112,15,39,13,30,13,30
3.5,Beacon Hill,1826,357,1387,286,295,166,30,42,103,149,11,23
3.6,North Beacon Hill/Jefferson Park,5044,609,4054,575,600,232,50,43,233,135,107,136
4.1,Rainier Beach,4289,608,3958,613,246,149,53,55,14,30,18,35
4.2,Columbia City,5990,680,5087,623,784,330,33,40,71,58,15,32
4.3,Seward Park,5103,525,4395,535,353,123,52,70,297,129,6,17
4.4,Mt. Baker/North Rainier,3352,319,2858,251,307,188,116,155,31,35,40,66
5.1,Madrona/Leschi,6221,466,5096,420,906,346,26,32,193,109,0,21
5.2,Judkins Park,809,222,438,106,251,184,26,30,83,62,11,17
5.3,Central Area/Squire Park,10595,624,7636,577,2097,429,253,179,576,236,33,35
6.1,First Hill,9513,714,5287,449,2439,380,500,177,1225,282,62,47
6.2,Capitol Hill,15872,843,10316,826,3458,564,333,184,1492,367,273,163
6.3,North Capitol Hill,3391,318,2621,349,552,238,2,5,216,113,0,12
6.4,Miller Park,5658,370,4238,421,974,327,85,58,223,110,138,85
6.5,Madison Park,4599,417,3508,421,580,219,91,89,362,299,58,103
7.1,Montlake/Portage Bay,8111,429,6107,451,1322,310,178,85,476,264,28,30
7.2,University District,12586,1215,6033,802,3509,679,1542,276,1351,390,151,91
7.3,Ravenna/Bryant,19499,778,15393,661,2777,504,542,226,525,164,262,128
7.4,Wedgwood/View Ridge,11886,487,10913,480,696,170,116,91,121,79,40,42
7.5,Laurelhurst/Sand Point,8461,585,6918,547,999,373,121,88,215,111,208,166
8.1,Northgate/Maple Leaf,9417,523,7413,474,1258,338,464,284,186,117,96,96
8.2,Olympic Hills/Victory Heights,10127,673,8479,602,1126,370,135,97,342,194,45,59
8.3,Cedar Park/Meadowbrook,8771,552,7277,436,853,392,207,107,387,211,47,47
9.1,Broadview/Bitter Lake,10077,707,8343,572,1007,321,438,204,259,125,30,43
9.2,Licton Springs,6214,482,4389,499,1391,408,210,122,172,111,52,62
9.3,Greenwood/Phinney Ridge,18940,652,15771,697,2116,398,396,150,477,193,180,125
9.4,Green Lake,11637,642,9051,647,1789,384,261,176,394,220,142,123
9.5,Haller Lake,6771,482,5696,529,818,310,202,125,55,65,0,21
10.1,North Beach/Blue Ridge,10031,492,8855,519,697,235,225,136,186,102,68,68
10.2,Whittier Heights,10324,418,8311,535,1325,378,210,193,368,195,110,79
10.3,Sunset Hill/Loyal Heights,12220,595,10356,526,1522,466,111,71,130,85,101,86
10.4,Ballard,5886,474,4031,419,1344,410,132,113,345,144,34,52
11.1,Fremont,13264,517,9950,512,2221,365,250,115,650,175,193,95
11.2,Wallingford,12997,851,9400,643,2572,510,319,132,645,288,61,56
11.3,Cascade/Eastlake,8583,664,5007,517,1824,382,277,151,1374,442,101,67
12.1,Magnolia,11094,601,9590,616,936,292,49,70,468,310,51,52
12.2,Interbay,8283,557,5993,480,1474,383,99,81,717,354,0,21
12.3,Queen Anne,30067,1105,21672,906,4987,724,1028,292,2082,414,298,156
13.1,Belltown,6082,504,3738,467,994,279,217,145,1062,242,71,70
13.2,Downtown Commercial Core,2664,292,1646,252,563,190,87,65,295,138,73,66
13.3,Pioneer Square/International District,1714,221,964,174,421,135,124,86,197,95,8,18
