area_id,area_name,b07004b001,b07004b001_moe,b07004b002,b07004b002_moe,b07004b003,b07004b003_moe,b07004b004,b07004b004_moe,b07004b005,b07004b005_moe,b07004b006,b07004b006_moe
1.1,Arbor Heights,69,59,41,38,0,17,0,17,28,47,0,17
1.2,Fauntleroy/Seaview,197,107,153,100,1,17,0,24,43,48,0,24
1.3,West Seattle Junction/Genesee Hill,328,172,293,166,17,34,0,29,0,29,18,38
1.4,Alki/Admiral,304,173,194,159,110,88,0,24,0,24,0,24
2.1,North Delridge,382,262,316,235,66,97,0,12,0,12,0,12
2.2,High Point,2037,387,1862,386,120,108,55,89,0,17,0,17
2.3,Riverview,532,243,531,243,1,4,0,12,0,12,0,12
2.4,Roxhill/Westwood,1067,332,811,315,89,135,0,21,137,147,30,53
2.5,Highland Park,509,128,474,116,35,43,0,21,0,21,0,21
3.1,South Park,209,127,181,121,28,40,0,17,0,17,0,17
3.2,Georgetown,27,36,19,24,0,12,0,12,8,15,0,12
3.3,Duwamish/SODO,394,273,305,256,36,34,30,48,23,26,0,12
3.4,South Beacon Hill/NewHolly,4865,1101,4487,1098,302,240,0,24,19,37,57,69
3.5,Beacon Hill,888,347,775,314,113,148,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,2099,431,2028,424,20,32,7,27,44,59,0,24
4.1,Rainier Beach,4951,752,3652,683,1037,601,54,94,132,104,76,93
4.2,Columbia City,4495,786,3323,664,784,503,127,118,143,184,118,184
4.3,Seward Park,1340,287,1291,274,6,17,21,32,22,38,0,17
4.4,Mt. Baker/North Rainier,736,316,662,304,73,93,0,17,1,3,0,17
5.1,Madrona/Leschi,2203,541,1635,464,427,216,0,21,141,137,0,21
5.2,Judkins Park,691,226,592,228,4,9,36,33,59,79,0,12
5.3,Central Area/Squire Park,3531,612,2900,532,485,331,0,24,128,102,18,35
6.1,First Hill,1567,315,802,229,578,169,67,61,109,106,11,30
6.2,Capitol Hill,1264,394,998,349,106,125,15,34,28,43,117,186
6.3,North Capitol Hill,20,29,20,29,0,12,0,12,0,12,0,12
6.4,Miller Park,843,277,693,307,139,149,7,20,4,16,0,17
6.5,Madison Park,116,105,96,99,0,17,0,17,20,32,0,17
7.1,Montlake/Portage Bay,242,132,218,128,24,36,0,21,0,21,0,21
7.2,University District,402,150,181,114,176,108,18,35,27,49,0,29
7.3,Ravenna/Bryant,515,239,417,229,88,73,0,32,0,32,10,33
7.4,Wedgwood/View Ridge,320,185,316,184,0,27,4,25,0,27,0,27
7.5,Laurelhurst/Sand Point,217,152,210,152,7,19,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,533,200,356,187,177,144,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,743,345,612,314,38,58,93,94,0,24,0,24
8.3,Cedar Park/Meadowbrook,679,291,473,247,122,94,84,97,0,27,0,27
9.1,Broadview/Bitter Lake,1092,421,796,378,107,79,2,21,187,189,0,27
9.2,Licton Springs,410,262,342,258,53,61,0,17,0,17,15,29
9.3,Greenwood/Phinney Ridge,467,238,434,238,30,31,0,29,3,25,0,29
9.4,Green Lake,193,133,180,131,0,24,0,24,13,30,0,24
9.5,Haller Lake,641,326,502,244,139,224,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,89,130,89,130,0,21,0,21,0,21,0,21
10.2,Whittier Heights,79,74,79,74,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,31,30,0,24,0,24,0,24,0,24
10.4,Ballard,146,122,139,122,7,11,0,17,0,17,0,17
11.1,Fremont,216,196,192,196,13,28,0,24,11,26,0,24
11.2,Wallingford,447,248,176,113,175,199,35,44,61,70,0,27
11.3,Cascade/Eastlake,628,208,514,197,76,86,0,21,38,43,0,21
12.1,Magnolia,56,55,56,55,0,24,0,24,0,24,0,24
12.2,Interbay,526,310,438,263,32,36,0,21,13,30,43,61
12.3,Queen Anne,969,442,761,412,119,98,46,81,43,52,0,40
13.1,Belltown,633,250,533,220,23,40,72,136,5,20,0,21
13.2,Downtown Commercial Core,395,171,257,155,59,61,51,43,28,27,0,12
13.3,Pioneer Square/International District,816,455,704,441,90,79,2,13,10,20,10,20
