area_id,area_name,b07010001,b07010001_moe,b07010002,b07010002_moe,b07010003,b07010003_moe,b07010004,b07010004_moe,b07010005,b07010005_moe,b07010006,b07010006_moe,b07010007,b07010007_moe,b07010008,b07010008_moe,b07010009,b07010009_moe,b07010010,b07010010_moe,b07010011,b07010011_moe,b07010012,b07010012_moe,b07010013,b07010013_moe,b07010014,b07010014_moe,b07010015,b07010015_moe,b07010016,b07010016_moe,b07010017,b07010017_moe,b07010018,b07010018_moe,b07010019,b07010019_moe,b07010020,b07010020_moe,b07010021,b07010021_moe,b07010022,b07010022_moe,b07010023,b07010023_moe,b07010024,b07010024_moe,b07010025,b07010025_moe,b07010026,b07010026_moe,b07010027,b07010027_moe,b07010028,b07010028_moe,b07010029,b07010029_moe,b07010030,b07010030_moe,b07010031,b07010031_moe,b07010032,b07010032_moe,b07010033,b07010033_moe,b07010034,b07010034_moe,b07010035,b07010035_moe,b07010036,b07010036_moe,b07010037,b07010037_moe,b07010038,b07010038_moe,b07010039,b07010039_moe,b07010040,b07010040_moe,b07010041,b07010041_moe,b07010042,b07010042_moe,b07010043,b07010043_moe,b07010044,b07010044_moe,b07010045,b07010045_moe,b07010046,b07010046_moe,b07010047,b07010047_moe,b07010048,b07010048_moe,b07010049,b07010049_moe,b07010050,b07010050_moe,b07010051,b07010051_moe,b07010052,b07010052_moe,b07010053,b07010053_moe,b07010054,b07010054_moe,b07010055,b07010055_moe,b07010056,b07010056_moe,b07010057,b07010057_moe,b07010058,b07010058_moe,b07010059,b07010059_moe,b07010060,b07010060_moe,b07010061,b07010061_moe,b07010062,b07010062_moe,b07010063,b07010063_moe,b07010064,b07010064_moe,b07010065,b07010065_moe,b07010066,b07010066_moe
1.1,Arbor Heights,5095,223,257,93,4838,211,522,108,165,74,478,128,463,126,1068,164,725,150,282,107,1135,177,4371,267,235,90,4136,248,424,100,141,67,387,103,383,97,943,156,594,124,240,95,1024,175,590,212,22,27,568,205,59,42,24,30,55,77,63,64,95,71,131,89,42,48,99,65,16,25,0,17,16,25,0,17,0,17,0,17,2,13,14,25,0,17,0,17,0,17,83,71,0,17,83,71,12,22,0,17,28,47,15,25,16,27,0,17,0,17,12,22,35,40,0,17,35,40,27,40,0,17,8,18,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,11543,486,863,224,10680,449,1029,210,540,149,1013,223,1068,195,1605,291,1232,190,839,239,3354,413,9896,510,785,219,9111,482,905,204,375,128,770,178,893,169,1466,280,1104,184,615,170,2983,405,1063,347,45,64,1018,310,61,55,106,76,144,107,72,57,105,80,94,54,178,158,258,168,142,83,0,24,142,83,0,24,23,41,39,39,14,27,34,37,14,29,9,23,9,23,397,167,33,43,364,161,63,59,13,28,60,63,67,64,0,24,20,36,37,45,104,80,45,71,0,24,45,71,0,24,23,38,0,24,22,39,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,15172,575,981,198,14191,573,1696,301,978,242,1556,301,1889,301,2039,358,1662,288,873,209,3498,355,12386,585,852,180,11534,553,1333,263,702,189,1160,240,1541,280,1534,295,1417,263,744,188,3103,318,1812,437,75,76,1737,439,152,79,180,115,256,159,242,106,334,159,193,115,83,72,297,182,300,193,14,33,286,192,48,66,25,42,87,80,75,95,27,39,0,29,8,28,16,32,495,277,14,32,481,276,103,118,71,82,30,43,31,43,144,134,52,77,24,37,26,34,179,89,26,38,153,82,60,59,0,29,23,43,0,29,0,29,0,29,14,33,56,47
1.4,Alki/Admiral,9775,423,626,181,9149,408,1045,211,564,167,1001,274,914,199,1262,238,1008,214,580,162,2775,289,7928,456,507,163,7421,437,855,196,453,151,677,193,695,175,1117,212,849,190,484,149,2291,252,1156,353,65,73,1091,324,89,53,79,89,172,122,105,69,145,98,107,81,63,51,331,211,350,177,21,35,329,162,0,24,17,31,121,109,84,63,0,24,13,26,33,57,61,64,246,115,33,36,213,99,28,38,15,29,31,31,30,38,0,24,39,51,0,24,70,54,95,92,0,24,95,92,73,85,0,24,0,24,0,24,0,24,0,24,0,24,22,38
2.1,North Delridge,4151,265,157,103,3994,250,615,194,205,123,260,123,511,153,830,276,525,145,171,85,877,203,3387,329,129,93,3258,305,429,145,162,105,195,114,480,142,563,232,454,134,160,82,815,197,529,216,28,38,501,208,130,113,42,64,53,54,16,26,116,99,71,71,11,19,62,79,18,27,0,12,18,27,2,4,1,2,0,12,15,26,0,12,0,12,0,12,0,12,119,110,0,12,119,110,38,64,0,12,12,21,0,12,69,80,0,12,0,12,0,12,98,121,0,12,98,121,16,26,0,12,0,12,0,12,82,117,0,12,0,12,0,12
2.2,High Point,5047,401,723,202,4324,349,1098,278,386,137,644,173,393,127,492,162,413,127,88,54,810,209,4142,385,710,204,3432,308,916,265,305,117,484,155,349,129,390,128,267,95,77,53,644,189,721,212,13,24,708,210,162,119,33,41,128,84,23,29,73,83,146,83,11,22,132,72,86,82,0,17,86,82,5,17,37,59,0,17,15,20,29,49,0,17,0,17,0,17,98,72,0,17,98,72,15,25,11,22,32,37,6,17,0,17,0,17,0,17,34,49,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,3878,237,380,109,3498,203,527,127,197,86,636,147,441,100,496,123,557,153,94,65,550,126,3565,228,372,108,3193,185,466,112,165,82,599,146,375,96,450,118,503,153,94,65,541,127,190,74,8,10,182,74,13,17,9,15,0,12,60,43,46,55,54,35,0,12,0,12,86,99,0,12,86,99,48,55,0,12,29,46,0,12,0,12,0,12,0,12,9,13,19,22,0,12,19,22,0,12,13,21,0,12,6,11,0,12,0,12,0,12,0,12,18,22,0,12,18,22,0,12,10,17,8,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,10423,578,1249,227,9174,530,1219,270,824,255,1129,233,1370,303,1611,302,1165,209,458,160,1398,223,8555,631,1069,219,7486,544,933,227,636,205,894,196,1063,239,1252,251,1046,189,383,152,1279,212,980,286,17,22,963,287,131,75,171,155,68,46,178,145,180,132,72,84,53,38,110,75,201,214,100,142,101,85,0,21,0,21,0,21,75,81,13,27,0,21,13,25,0,21,635,253,33,42,602,228,155,124,17,32,155,98,54,48,156,109,47,59,9,21,9,22,52,58,30,53,22,30,0,21,0,21,12,25,0,21,10,26,0,21,0,21,0,21
2.5,Highland Park,5037,361,352,131,4685,333,903,236,493,190,989,251,559,159,484,148,553,164,282,117,422,179,3970,367,270,111,3700,325,646,207,357,170,756,217,390,130,439,147,490,160,228,104,394,176,796,244,66,56,730,235,134,96,136,104,168,119,115,78,45,46,50,46,54,54,28,36,66,67,0,21,66,67,17,30,0,21,15,27,21,34,0,21,13,24,0,21,0,21,166,105,0,21,166,105,83,59,0,21,50,49,33,40,0,21,0,21,0,21,0,21,39,43,16,28,23,36,23,36,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,3243,414,558,142,2685,409,617,200,273,105,485,150,597,194,350,148,168,74,48,34,147,83,2688,367,481,121,2207,348,448,155,210,95,396,134,541,184,279,127,152,73,48,34,133,69,425,135,43,49,382,126,132,86,4,13,89,70,56,49,71,58,16,22,0,17,14,27,21,29,7,17,14,25,14,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,36,50,0,17,36,50,6,16,30,49,0,17,0,17,0,17,0,17,0,17,0,17,73,57,27,35,46,40,17,22,29,39,0,17,0,17,0,17,0,17,0,17,0,17
