area_id,area_name,b07013001,b07013001_moe,b07013002,b07013002_moe,b07013003,b07013003_moe,b07013004,b07013004_moe,b07013005,b07013005_moe,b07013006,b07013006_moe,b07013007,b07013007_moe,b07013008,b07013008_moe,b07013009,b07013009_moe,b07013010,b07013010_moe,b07013011,b07013011_moe,b07013012,b07013012_moe,b07013013,b07013013_moe,b07013014,b07013014_moe,b07013015,b07013015_moe,b07013016,b07013016_moe,b07013017,b07013017_moe,b07013018,b07013018_moe
1.1,Arbor Heights,6193,294,5125,352,1068,262,5244,313,4608,332,636,213,778,302,405,230,373,199,14,25,14,25,0,17,107,96,48,73,59,59,50,40,50,40,0,17
1.2,Fauntleroy/Seaview,13524,585,10527,715,2997,488,11614,637,9726,691,1888,397,1235,477,483,322,752,322,138,84,67,65,71,54,492,223,251,177,241,146,45,71,0,24,45,71
1.3,West Seattle Junction/Genesee Hill,17330,580,11441,642,5889,716,14253,637,10855,624,3398,532,1989,512,317,172,1672,488,294,195,81,82,213,166,615,391,50,48,565,392,179,89,138,82,41,42
1.4,Alki/Admiral,10882,512,6659,539,4223,501,8842,544,6265,519,2577,419,1261,411,153,94,1108,397,361,194,0,24,361,194,323,185,168,153,155,105,95,92,73,85,22,38
2.1,North Delridge,4581,310,2728,386,1853,336,3808,384,2470,368,1338,327,541,224,220,184,321,184,15,26,0,12,15,26,119,110,38,64,81,88,98,121,0,12,98,121
2.2,High Point,6323,417,2378,346,3945,522,5389,421,2135,344,3254,493,718,217,223,108,495,195,104,115,0,17,104,115,112,75,20,29,92,70,0,17,0,17,0,17
2.3,Riverview,4669,294,3316,386,1353,348,4245,289,3214,384,1031,279,259,142,66,46,193,148,117,148,17,20,100,145,19,22,0,12,19,22,29,28,19,22,10,17
2.4,Roxhill/Westwood,12412,697,6592,610,5820,696,10135,811,5923,557,4212,686,1089,324,443,221,646,254,366,446,13,25,353,446,770,318,173,106,597,297,52,58,40,57,12,25
2.5,Highland Park,5709,439,3341,486,2368,468,4578,450,3194,492,1384,390,815,258,117,82,698,254,111,108,0,21,111,108,166,105,14,26,152,106,39,43,16,28,23,36
3.1,South Park,4212,553,1759,358,2453,608,3404,468,1569,326,1835,507,636,283,135,81,501,280,21,29,21,29,0,17,53,59,17,29,36,50,98,69,17,31,81,60
3.2,Georgetown,1120,126,464,126,656,153,845,135,447,121,398,154,154,92,17,28,137,86,53,64,0,12,53,64,68,58,0,12,68,58,0,12,0,12,0,12
3.3,Duwamish/SODO,1851,203,1112,239,739,273,1596,185,986,209,610,259,143,61,93,51,50,40,79,68,0,12,79,68,0,12,0,12,0,12,33,29,33,29,0,12
