area_id,area_name,b08105a001,b08105a001_moe,b08105a002,b08105a002_moe,b08105a003,b08105a003_moe,b08105a004,b08105a004_moe,b08105a005,b08105a005_moe,b08105a006,b08105a006_moe,b08105a007,b08105a007_moe
1.1,Arbor Heights,3039,240,2304,246,209,84,219,81,0,17,78,59,229,76
1.2,Fauntleroy/Seaview,7329,525,4519,466,778,292,1103,233,56,48,199,103,674,179
1.3,West Seattle Junction/Genesee Hill,9025,498,5446,508,1086,258,1452,288,227,97,212,88,602,160
1.4,Alki/Admiral,5326,377,3500,370,576,203,653,164,60,49,111,66,426,144
2.1,North Delridge,2100,290,1188,236,315,162,328,134,0,12,99,71,170,104
2.2,High Point,1647,274,1043,257,207,102,216,120,35,27,49,41,97,66
2.3,Riverview,1711,204,999,126,310,127,229,99,12,17,79,64,82,41
2.4,Roxhill/Westwood,4675,419,3059,300,402,152,766,220,98,84,136,68,214,87
2.5,Highland Park,1907,316,1205,287,186,120,296,114,64,102,53,61,103,59
3.1,South Park,1390,441,806,263,160,112,304,135,49,58,58,48,13,18
3.2,Georgetown,532,139,294,122,16,24,80,64,96,53,25,36,21,25
3.3,Duwamish/SODO,806,194,429,119,83,58,122,109,53,30,71,51,48,49
3.4,South Beacon Hill/NewHolly,986,214,672,174,79,68,144,99,12,28,59,43,20,30
3.5,Beacon Hill,1209,271,720,183,167,124,102,70,89,88,57,46,74,50
3.6,North Beacon Hill/Jefferson Park,3428,419,1592,283,315,160,735,246,207,105,484,198,95,65
4.1,Rainier Beach,2207,374,1330,275,285,193,378,166,0,27,107,81,107,86
4.2,Columbia City,3327,480,2087,406,166,86,596,197,51,50,176,104,251,119
4.3,Seward Park,2752,308,1727,250,359,133,259,87,107,63,142,80,158,71
4.4,Mt. Baker/North Rainier,1967,198,1104,185,238,114,330,119,18,27,100,63,177,94
5.1,Madrona/Leschi,3797,371,2336,337,260,122,356,132,74,48,397,182,374,143
5.2,Judkins Park,582,210,207,92,25,31,177,142,101,55,18,20,54,43
5.3,Central Area/Squire Park,7597,510,2800,365,546,172,1657,315,1363,292,776,208,455,137
6.1,First Hill,5652,510,1179,214,251,151,1080,246,2739,383,125,68,278,113
6.2,Capitol Hill,12907,756,3641,539,474,181,3164,517,4269,587,669,229,690,264
6.3,North Capitol Hill,2231,271,941,216,134,97,447,155,444,171,115,102,150,88
6.4,Miller Park,3663,254,1523,214,195,92,790,163,498,165,401,132,256,90
6.5,Madison Park,2437,281,1706,273,163,98,153,69,92,95,51,51,272,102
7.1,Montlake/Portage Bay,5567,400,2807,312,391,148,1213,286,285,114,487,196,384,110
7.2,University District,6187,719,2197,479,387,206,1101,309,1637,352,337,149,528,188
7.3,Ravenna/Bryant,11677,638,6059,517,952,219,2045,308,886,239,840,186,895,190
7.4,Wedgwood/View Ridge,6449,384,3882,343,632,191,911,167,189,92,454,135,381,100
7.5,Laurelhurst/Sand Point,4405,356,2568,266,324,128,803,232,234,112,194,101,282,102
8.1,Northgate/Maple Leaf,5364,426,2972,296,631,205,1044,212,195,93,347,136,175,79
8.2,Olympic Hills/Victory Heights,5925,436,3649,413,579,159,1011,219,216,93,222,92,248,116
8.3,Cedar Park/Meadowbrook,4799,340,2890,276,466,148,882,189,48,38,192,80,321,103
9.1,Broadview/Bitter Lake,4633,387,3064,346,367,132,414,133,222,136,152,77,414,169
9.2,Licton Springs,4185,399,2288,374,835,286,745,166,82,62,104,70,131,69
9.3,Greenwood/Phinney Ridge,12164,507,6790,462,990,220,2067,321,440,142,900,193,977,229
9.4,Green Lake,7587,538,4477,390,479,133,1228,258,215,115,484,176,704,193
9.5,Haller Lake,3706,329,2336,329,579,169,473,160,42,31,52,46,224,104
10.1,North Beach/Blue Ridge,5590,365,3886,335,556,174,505,119,160,106,177,74,306,104
10.2,Whittier Heights,6737,385,3796,332,647,175,1215,204,169,80,512,160,398,142
10.3,Sunset Hill/Loyal Heights,7640,543,4537,433,691,206,1238,289,198,84,417,132,559,181
10.4,Ballard,4307,394,1992,330,419,285,902,267,322,135,201,96,471,216
11.1,Fremont,9890,523,4720,475,897,253,2246,351,532,171,865,227,630,166
11.2,Wallingford,8532,689,4076,415,689,192,1613,375,850,211,613,173,691,177
11.3,Cascade/Eastlake,6112,586,2171,363,391,232,1085,256,1814,303,357,165,294,111
12.1,Magnolia,5681,383,3561,327,779,255,614,184,97,87,189,82,441,141
12.2,Interbay,5377,371,3261,355,476,225,912,204,161,93,275,122,292,105
12.3,Queen Anne,20065,979,9246,726,1513,309,3939,507,2884,494,697,197,1786,280
13.1,Belltown,4277,439,1642,291,236,232,563,177,1347,333,48,60,441,150
13.2,Downtown Commercial Core,1469,192,257,110,28,43,338,134,634,158,36,41,176,93
13.3,Pioneer Square/International District,974,181,271,114,46,48,246,103,255,91,34,51,122,83
