area_id,area_name,b08105f001,b08105f001_moe,b08105f002,b08105f002_moe,b08105f003,b08105f003_moe,b08105f004,b08105f004_moe,b08105f005,b08105f005_moe,b08105f006,b08105f006_moe,b08105f007,b08105f007_moe
1.1,Arbor Heights,34,30,22,24,12,22,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,52,63,35,56,0,24,17,31,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,27,46,0,29,0,29,0,29,27,46,0,29,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,16,26,78,91,54,81,0,12,0,12,0,12
2.2,High Point,21,31,21,31,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,17,17,17,17,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,357,222,111,78,117,126,129,150,0,21,0,21,0,21
2.5,Highland Park,46,51,46,51,0,21,0,21,0,21,0,21,0,21
3.1,South Park,41,56,41,56,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,42,58,24,34,0,12,0,12,18,24,0,12,0,12
3.3,Duwamish/SODO,12,30,0,12,0,12,0,12,0,12,0,12,12,30
3.4,South Beacon Hill/NewHolly,41,49,41,49,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,58,92,41,65,17,30,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,119,146,75,81,44,72,0,24,0,24,0,24,0,24
4.1,Rainier Beach,240,227,143,152,50,77,47,58,0,27,0,27,0,27
4.2,Columbia City,88,75,55,54,0,27,17,33,16,33,0,27,0,27
4.3,Seward Park,11,22,0,17,0,17,11,22,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,14,22,0,17,0,17,0,17,0,17,14,22,0,17
5.1,Madrona/Leschi,112,91,68,74,16,32,16,31,0,21,0,21,12,23
5.2,Judkins Park,14,23,0,12,0,12,0,12,14,23,0,12,0,12
5.3,Central Area/Squire Park,89,67,27,30,28,50,0,24,14,30,20,30,0,24
6.1,First Hill,216,117,49,65,0,24,43,55,110,97,14,30,0,24
6.2,Capitol Hill,118,86,80,81,0,29,0,29,24,35,0,29,14,33
6.3,North Capitol Hill,20,31,20,31,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,8,18,8,18,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,12,19,12,19,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,49,77,0,21,0,21,49,77,0,21,0,21,0,21
7.2,University District,140,109,41,69,0,29,30,66,34,41,0,29,35,58
7.3,Ravenna/Bryant,79,58,35,36,0,32,8,33,0,32,27,52,9,33
7.4,Wedgwood/View Ridge,41,35,41,35,0,27,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,17,26,17,26,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,236,161,127,82,0,24,20,32,49,70,40,65,0,24
8.2,Olympic Hills/Victory Heights,219,156,132,82,0,24,21,33,66,76,0,24,0,24
8.3,Cedar Park/Meadowbrook,466,311,414,308,52,58,0,27,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,75,58,46,52,0,27,24,35,0,27,0,27,5,26
9.2,Licton Springs,183,137,82,80,0,17,86,68,15,28,0,17,0,17
9.3,Greenwood/Phinney Ridge,412,214,167,116,98,106,91,74,0,29,0,29,56,67
9.4,Green Lake,165,114,20,38,0,24,129,106,0,24,0,24,16,30
9.5,Haller Lake,114,111,92,106,0,21,0,21,22,37,0,21,0,21
10.1,North Beach/Blue Ridge,89,92,78,90,0,21,11,25,0,21,0,21,0,21
10.2,Whittier Heights,117,126,49,68,0,24,0,24,0,24,68,108,0,24
10.3,Sunset Hill/Loyal Heights,22,31,9,23,0,24,13,28,0,24,0,24,0,24
10.4,Ballard,30,36,0,17,0,17,30,36,0,17,0,17,0,17
11.1,Fremont,82,72,16,33,0,24,66,69,0,24,0,24,0,24
11.2,Wallingford,101,115,0,27,0,27,34,57,67,86,0,27,0,27
11.3,Cascade/Eastlake,146,123,56,71,0,21,15,29,17,32,0,21,58,97
12.1,Magnolia,25,44,0,24,25,44,0,24,0,24,0,24,0,24
12.2,Interbay,60,52,38,47,0,21,22,25,0,21,0,21,0,21
12.3,Queen Anne,314,151,132,83,51,96,83,72,48,68,0,40,0,40
13.1,Belltown,91,83,39,63,0,21,45,54,7,21,0,21,0,21
13.2,Downtown Commercial Core,26,30,0,12,0,12,14,21,12,20,0,12,0,12
13.3,Pioneer Square/International District,33,38,0,17,0,17,8,18,25,36,0,17,0,17
