area_id,area_name,b08128001,b08128001_moe,b08128002,b08128002_moe,b08128003,b08128003_moe,b08128004,b08128004_moe,b08128005,b08128005_moe,b08128006,b08128006_moe,b08128007,b08128007_moe,b08128008,b08128008_moe,b08128009,b08128009_moe,b08128010,b08128010_moe,b08128011,b08128011_moe,b08128012,b08128012_moe,b08128013,b08128013_moe,b08128014,b08128014_moe,b08128015,b08128015_moe,b08128016,b08128016_moe,b08128017,b08128017_moe,b08128018,b08128018_moe,b08128019,b08128019_moe,b08128020,b08128020_moe,b08128021,b08128021_moe,b08128022,b08128022_moe,b08128023,b08128023_moe,b08128024,b08128024_moe,b08128025,b08128025_moe,b08128026,b08128026_moe,b08128027,b08128027_moe,b08128028,b08128028_moe,b08128029,b08128029_moe,b08128030,b08128030_moe,b08128031,b08128031_moe,b08128032,b08128032_moe,b08128033,b08128033_moe,b08128034,b08128034_moe,b08128035,b08128035_moe,b08128036,b08128036_moe,b08128037,b08128037_moe,b08128038,b08128038_moe,b08128039,b08128039_moe,b08128040,b08128040_moe,b08128041,b08128041_moe,b08128042,b08128042_moe,b08128043,b08128043_moe,b08128044,b08128044_moe,b08128045,b08128045_moe,b08128046,b08128046_moe,b08128047,b08128047_moe,b08128048,b08128048_moe,b08128049,b08128049_moe,b08128050,b08128050_moe,b08128051,b08128051_moe,b08128052,b08128052_moe,b08128053,b08128053_moe,b08128054,b08128054_moe,b08128055,b08128055_moe,b08128056,b08128056_moe,b08128057,b08128057_moe,b08128058,b08128058_moe,b08128059,b08128059_moe,b08128060,b08128060_moe,b08128061,b08128061_moe,b08128062,b08128062_moe,b08128063,b08128063_moe,b08128064,b08128064_moe,b08128065,b08128065_moe,b08128066,b08128066_moe,b08128067,b08128067_moe,b08128068,b08128068_moe,b08128069,b08128069_moe,b08128070,b08128070_moe
1.1,Arbor Heights,3608,209,2442,230,2196,231,246,88,447,115,217,79,196,94,83,47,223,92,0,17,2721,239,1959,226,1796,214,163,77,297,91,189,73,120,71,66,42,90,52,0,17,257,96,121,57,111,52,10,20,42,44,10,20,36,40,17,20,31,39,0,17,264,98,115,65,115,65,0,17,100,71,18,30,31,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,78,59,78,59,57,50,21,34,0,17,0,17,0,17,0,17,0,17,0,17,288,91,169,73,117,64,52,38,8,19,0,17,9,19,0,17,102,62,0,17
1.2,Fauntleroy/Seaview,8102,501,5838,447,5405,432,433,159,755,205,413,150,410,132,269,118,417,113,0,24,5005,474,3743,390,3534,394,209,110,502,172,142,70,293,115,95,60,230,88,0,24,850,302,608,268,591,261,17,30,80,72,46,53,24,27,92,85,0,24,0,24,1205,244,771,190,757,187,14,29,157,78,179,111,32,41,66,52,0,24,0,24,71,54,50,44,50,44,0,24,0,24,3,20,18,33,0,24,0,24,0,24,245,111,186,111,172,108,14,29,16,30,43,40,0,24,0,24,0,24,0,24,726,191,480,155,301,131,179,98,0,24,0,24,43,42,16,32,187,83,0,24
1.3,West Seattle Junction/Genesee Hill,10157,532,6481,484,5887,473,594,169,1213,235,789,185,533,164,379,185,762,197,0,29,6142,551,4101,479,3666,470,435,153,830,205,351,119,342,150,172,101,346,131,0,29,1233,271,650,192,639,190,11,31,75,54,136,72,124,73,111,148,137,101,0,29,1619,294,1104,235,1091,235,13,31,143,86,239,109,67,53,32,40,34,36,0,29,284,115,115,77,115,77,0,29,72,63,28,36,0,29,33,41,36,43,0,29,238,111,128,70,110,65,18,36,61,61,21,41,0,29,0,29,28,29,0,29,641,167,383,132,266,118,117,56,32,55,14,33,0,29,31,43,181,90,0,29
1.4,Alki/Admiral,6063,363,4004,370,3629,357,375,144,646,185,486,177,212,89,181,101,534,151,0,24,3935,379,2585,346,2329,306,256,120,407,141,256,129,176,88,140,86,371,137,0,24,604,209,428,179,402,177,26,30,64,55,66,76,14,28,0,24,32,38,0,24,791,171,463,151,463,151,0,24,120,83,145,80,22,32,41,48,0,24,0,24,126,88,106,85,78,75,28,35,20,34,0,24,0,24,0,24,0,24,0,24,138,71,86,53,86,53,0,24,19,36,19,34,0,24,0,24,14,29,0,24,469,151,336,132,271,116,65,50,16,32,0,24,0,24,0,24,117,71,0,24
2.1,North Delridge,2950,272,2042,323,1900,308,142,94,419,192,194,96,27,30,152,101,116,82,0,12,1621,248,1109,245,1057,240,52,43,329,160,45,44,27,30,65,50,46,38,0,12,421,192,384,184,370,183,14,21,26,32,11,18,0,12,0,12,0,12,0,12,612,204,355,160,355,160,0,12,64,51,124,88,0,12,69,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,113,75,99,71,99,71,0,12,0,12,14,23,0,12,0,12,0,12,0,12,183,110,95,87,19,31,76,81,0,12,0,12,0,12,18,30,70,60,0,12
2.2,High Point,2805,290,2074,300,2040,299,34,35,236,103,211,106,152,78,67,58,65,43,0,17,1710,301,1303,282,1296,283,7,18,143,75,148,89,53,50,24,27,39,32,0,17,350,152,288,142,274,140,14,25,25,31,24,27,13,25,0,17,0,17,0,17,451,173,355,151,355,151,0,17,48,50,19,32,0,17,29,49,0,17,0,17,89,68,24,27,24,27,0,17,10,21,0,17,55,60,0,17,0,17,0,17,49,41,36,33,36,33,0,17,0,17,0,17,0,17,0,17,13,27,0,17,156,83,68,49,55,46,13,23,10,20,20,33,31,42,14,24,13,23,0,17
2.3,Riverview,2666,229,1891,207,1851,206,40,28,334,103,171,74,68,48,18,21,177,81,7,10,1616,177,1159,164,1142,162,17,19,199,74,99,56,18,20,18,21,123,69,0,12,558,148,419,134,419,134,0,12,73,49,42,42,9,15,0,12,15,18,0,12,304,107,229,103,229,103,0,12,46,39,21,23,8,13,0,12,0,12,0,12,12,17,12,17,12,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,79,64,37,46,37,46,0,12,9,15,9,14,24,37,0,12,0,12,0,12,97,45,35,27,12,18,23,21,7,11,0,12,9,16,0,12,39,31,7,10
2.4,Roxhill/Westwood,6860,452,4993,459,4782,460,211,87,720,161,338,130,345,150,98,67,366,136,0,21,4305,363,2971,324,2775,318,196,86,568,145,248,111,226,142,76,60,216,104,0,21,835,257,677,239,677,239,0,21,69,66,0,21,44,49,0,21,45,70,0,21,1125,283,931,269,931,269,0,21,73,59,64,50,25,23,22,31,10,23,0,21,220,118,186,114,175,112,11,24,10,23,13,26,11,24,0,21,0,21,0,21,145,68,107,58,107,58,0,21,0,21,13,26,25,31,0,21,0,21,0,21,230,90,121,70,117,69,4,18,0,21,0,21,14,27,0,21,95,57,0,21
2.5,Highland Park,2999,316,2214,320,2116,314,98,65,203,92,78,65,176,106,71,53,257,105,0,21,1988,271,1500,240,1450,239,50,49,93,63,58,59,103,73,71,53,163,95,0,21,274,139,227,127,219,125,8,22,13,23,0,21,34,40,0,21,0,21,0,21,493,211,362,169,362,169,0,21,60,50,20,35,39,48,0,21,12,25,0,21,64,102,64,102,64,102,0,21,0,21,0,21,0,21,0,21,0,21,0,21,53,61,16,28,0,21,16,28,37,42,0,21,0,21,0,21,0,21,0,21,127,67,45,50,21,30,24,41,0,21,0,21,0,21,0,21,82,55,0,21
3.1,South Park,2078,433,1578,446,1536,445,42,37,128,72,64,59,134,87,71,47,103,58,0,17,1203,288,873,258,843,257,30,32,107,65,48,54,52,50,64,46,59,38,0,17,232,135,216,132,208,132,8,18,0,17,0,17,0,17,0,17,16,29,0,17,452,163,380,163,376,163,4,13,13,19,0,17,59,52,0,17,0,17,0,17,49,58,49,58,49,58,0,17,0,17,0,17,0,17,0,17,0,17,0,17,62,49,47,43,47,43,0,17,8,18,0,17,0,17,7,18,0,17,0,17,80,56,13,18,13,18,0,17,0,17,16,28,23,35,0,17,28,42,0,17
3.2,Georgetown,745,110,590,80,569,80,21,25,40,33,48,42,0,12,14,17,53,51,0,12,344,129,236,97,236,97,0,12,19,25,36,36,0,12,0,12,53,51,0,12,73,72,59,57,59,57,0,12,0,12,0,12,0,12,14,17,0,12,0,12,168,82,135,68,135,68,0,12,21,24,12,17,0,12,0,12,0,12,0,12,114,53,114,53,114,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,36,25,36,25,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,25,21,25,0,12,21,25,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,1357,191,980,196,941,198,39,37,138,90,68,48,43,37,77,56,51,43,0,12,660,125,490,138,490,138,0,12,96,58,32,34,18,25,9,17,15,19,0,12,173,96,117,85,117,85,0,12,0,12,8,12,14,21,15,23,19,29,0,12,275,158,232,150,232,150,0,12,7,16,19,25,11,16,6,12,0,12,0,12,93,49,66,45,50,41,16,19,0,12,9,12,0,12,12,8,6,10,0,12,82,54,36,37,17,22,19,31,35,31,0,12,0,12,0,12,11,18,0,12,74,65,39,40,35,39,4,7,0,12,0,12,0,12,35,49,0,12,0,12
3.4,South Beacon Hill/NewHolly,6375,573,4554,522,4339,498,215,98,548,187,374,167,357,141,279,120,263,124,0,24,3830,440,2785,382,2622,363,163,88,347,157,148,77,234,116,169,91,147,88,0,24,966,280,570,207,570,207,0,24,120,89,124,116,82,56,20,29,50,63,0,24,1284,263,1042,238,1017,234,25,31,51,37,73,50,28,36,90,78,0,24,0,24,74,58,17,24,17,24,0,24,12,28,18,35,0,24,0,24,27,44,0,24,100,60,74,53,74,53,0,24,10,28,0,24,0,24,0,24,16,33,0,24,121,73,66,53,39,51,27,34,8,21,11,28,13,30,0,24,23,42,0,24
3.5,Beacon Hill,4981,569,3466,525,3273,510,193,98,293,108,490,174,192,100,307,145,233,117,0,17,3157,513,2131,421,2009,390,122,94,150,84,360,154,129,86,183,103,204,109,0,17,881,256,736,242,710,240,26,38,48,55,54,72,19,26,11,22,13,30,0,17,635,223,451,214,451,214,0,17,52,45,66,57,44,44,22,30,0,17,0,17,116,94,27,37,27,37,0,17,9,18,0,17,0,17,80,85,0,17,0,17,78,57,46,42,46,42,0,17,21,35,0,17,0,17,11,23,0,17,0,17,114,57,75,47,30,30,45,38,13,24,10,20,0,17,0,17,16,27,0,17
3.6,North Beacon Hill/Jefferson Park,7629,566,5264,509,5123,509,141,87,954,244,431,135,476,177,153,76,351,138,0,24,3793,423,2575,377,2462,375,113,81,490,157,179,74,294,145,104,71,151,97,0,24,1027,319,914,294,901,295,13,26,72,65,24,32,0,24,0,24,17,41,0,24,1820,371,1214,313,1214,313,0,24,228,119,183,93,153,80,16,33,26,34,0,24,275,125,177,103,177,103,0,24,46,57,0,24,0,24,11,27,41,48,0,24,553,206,337,138,322,130,15,30,118,106,45,45,0,24,22,33,31,40,0,24,161,94,47,47,47,47,0,24,0,24,0,24,29,58,0,24,85,61,0,24
4.1,Rainier Beach,6803,538,4163,529,4096,530,67,52,790,222,637,219,583,236,152,94,469,226,9,26,4393,474,2952,461,2905,458,47,44,466,161,385,161,375,194,87,59,119,89,9,26,1041,302,620,209,620,209,0,27,148,102,25,37,75,68,0,27,173,187,0,27,870,212,393,137,393,137,0,27,139,94,193,118,53,52,29,40,63,60,0,27,48,64,12,29,12,29,0,27,0,27,0,27,0,27,36,63,0,27,0,27,153,94,35,42,35,42,0,27,22,40,34,59,0,27,0,27,62,59,0,27,298,154,151,102,131,99,20,37,15,33,0,27,80,87,0,27,52,65,0,27
4.2,Columbia City,8119,600,4798,496,4581,478,217,111,1081,240,780,235,631,190,163,77,647,201,19,41,4651,493,2510,373,2398,369,112,67,504,165,562,203,455,158,135,69,466,173,19,41,794,211,547,178,530,175,17,30,95,73,100,72,52,53,0,27,0,27,0,27,1764,356,1283,307,1258,307,25,35,306,146,95,71,45,46,18,35,17,33,0,27,241,125,133,117,133,117,0,27,55,44,12,30,16,33,0,27,25,32,0,27,327,147,160,105,160,105,0,27,89,65,0,27,39,42,0,27,39,65,0,27,342,131,165,103,102,69,63,82,32,56,11,28,24,33,10,26,100,61,0,27
4.3,Seward Park,4312,367,2351,295,2098,295,253,96,772,163,387,126,363,119,130,76,298,95,11,21,2703,311,1587,269,1402,264,185,77,417,141,153,91,297,111,69,43,180,74,0,17,470,149,224,121,193,95,31,45,129,71,74,60,0,17,15,20,28,30,0,17,610,139,356,124,343,121,13,24,76,46,119,57,46,36,13,22,0,17,0,17,119,65,61,50,48,45,13,23,42,30,10,20,0,17,0,17,6,16,0,17,142,80,47,56,47,56,0,17,19,27,23,29,20,25,33,54,0,17,0,17,268,117,76,52,65,48,11,22,89,73,8,17,0,17,0,17,84,49,11,21
4.4,Mt. Baker/North Rainier,2812,312,1585,229,1352,232,233,111,443,105,315,151,106,75,45,41,318,129,0,17,1539,231,926,209,835,208,91,70,304,90,126,83,80,72,13,20,90,58,0,17,324,135,204,116,133,93,71,75,17,29,26,30,26,32,0,17,51,62,0,17,504,201,317,119,264,91,53,82,30,37,131,110,0,17,0,17,26,29,0,17,76,53,12,20,12,20,0,17,27,30,19,30,0,17,18,27,0,17,0,17,128,72,53,44,53,44,0,17,48,43,13,21,0,17,14,23,0,17,0,17,241,108,73,50,55,44,18,26,17,29,0,17,0,17,0,17,151,92,0,17
5.1,Madrona/Leschi,5629,412,3160,359,2665,360,495,159,1050,341,439,136,387,130,45,42,548,164,0,21,3089,358,1977,307,1698,297,279,113,375,177,263,110,189,85,30,35,255,129,0,21,593,269,253,118,211,109,42,47,217,214,34,32,26,42,0,21,63,63,0,21,778,219,315,121,315,121,0,21,235,140,50,45,136,77,15,25,27,33,0,21,232,145,72,53,72,53,0,21,114,134,0,21,0,21,0,21,46,43,0,21,445,184,258,166,173,102,85,81,47,56,75,56,36,35,0,21,29,36,0,21,492,183,285,134,196,115,89,73,62,97,17,30,0,21,0,21,128,62,0,21
5.2,Judkins Park,1400,215,1024,229,987,229,37,32,151,76,25,32,71,45,40,37,89,54,0,12,649,158,450,137,420,130,30,30,70,51,25,32,35,30,23,28,46,47,0,12,97,69,54,49,54,49,0,12,17,21,0,12,13,22,0,12,13,20,0,12,406,156,349,148,349,148,0,12,17,27,0,12,23,24,17,27,0,12,0,12,141,64,94,54,94,54,0,12,47,41,0,12,0,12,0,12,0,12,0,12,18,20,18,20,18,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,89,67,59,60,52,57,7,12,0,12,0,12,0,12,0,12,30,28,0,12
5.3,Central Area/Squire Park,10248,577,5796,531,5523,515,273,103,1906,284,653,193,883,196,177,84,801,193,32,49,4072,436,2356,340,2222,320,134,80,683,172,369,133,379,128,49,45,236,109,0,24,672,191,380,143,365,141,15,25,89,59,22,34,87,63,0,24,62,47,32,49,2266,360,1478,295,1468,294,10,26,280,102,154,119,238,104,76,56,40,44,0,24,1755,325,946,238,911,238,35,37,545,179,48,42,99,63,6,23,111,74,0,24,910,223,427,154,396,153,31,34,241,107,48,50,80,61,46,53,68,52,0,24,573,158,209,93,161,82,48,47,68,69,12,28,0,24,0,24,284,128,0,24
