area_id,area_name,b11001a001,b11001a001_moe,b11001a002,b11001a002_moe,b11001a003,b11001a003_moe,b11001a004,b11001a004_moe,b11001a005,b11001a005_moe,b11001a006,b11001a006_moe,b11001a007,b11001a007_moe,b11001a008,b11001a008_moe,b11001a009,b11001a009_moe
1.1,Arbor Heights,2333,129,1420,136,1201,146,219,79,72,47,147,63,913,145,577,119,336,115
1.2,Fauntleroy/Seaview,5908,239,3113,279,2685,273,428,122,46,37,382,117,2795,282,2014,246,781,209
1.3,West Seattle Junction/Genesee Hill,7684,277,3838,271,3059,253,779,201,197,89,582,179,3846,334,2829,293,1017,223
1.4,Alki/Admiral,5148,253,2246,209,1970,200,276,123,119,102,157,71,2902,285,2321,258,581,166
2.1,North Delridge,1838,170,633,148,524,140,109,59,48,39,61,50,1205,203,770,187,435,170
2.2,High Point,1340,196,605,126,470,131,135,63,10,19,125,62,735,192,484,160,251,116
2.3,Riverview,1134,108,613,94,370,74,243,77,84,53,159,69,521,114,322,90,199,89
2.4,Roxhill/Westwood,3933,227,1930,219,1491,213,439,154,158,114,281,103,2003,218,1525,188,478,145
2.5,Highland Park,1917,191,936,169,693,175,243,111,66,52,177,107,981,180,784,164,197,82
3.1,South Park,884,126,472,96,257,91,215,92,63,49,152,84,412,116,286,99,126,71
3.2,Georgetown,527,62,136,76,126,72,10,17,10,17,0,12,391,65,335,70,56,47
3.3,Duwamish/SODO,536,109,119,62,81,42,38,45,0,12,38,45,417,102,256,85,161,67
3.4,South Beacon Hill/NewHolly,927,162,499,135,239,77,260,117,77,64,183,101,428,120,325,108,103,58
3.5,Beacon Hill,876,166,487,148,411,143,76,50,48,42,28,30,389,114,249,104,140,92
3.6,North Beacon Hill/Jefferson Park,2179,252,1179,202,927,186,252,117,93,73,159,87,1000,197,585,159,415,125
4.1,Rainier Beach,2088,229,1048,207,607,168,441,171,126,95,315,137,1040,218,723,200,317,133
4.2,Columbia City,2627,289,1440,241,1134,206,306,134,49,50,257,128,1187,234,746,187,441,172
4.3,Seward Park,1976,146,1308,147,984,142,324,100,78,62,246,86,668,135,464,124,204,67
4.4,Mt. Baker/North Rainier,1388,137,839,112,651,99,188,94,55,48,133,91,549,143,362,122,187,98
5.1,Madrona/Leschi,2846,222,1648,223,1443,191,205,116,25,30,180,115,1198,249,776,221,422,152
5.2,Judkins Park,435,101,81,36,81,36,0,12,0,12,0,12,354,100,249,73,105,65
5.3,Central Area/Squire Park,5565,296,1823,213,1469,196,354,123,117,78,237,90,3742,305,2415,274,1327,215
6.1,First Hill,5278,346,767,162,701,149,66,52,24,27,42,48,4511,353,3566,334,945,219
6.2,Capitol Hill,11199,492,1715,370,1564,344,151,110,15,35,136,106,9484,562,7106,548,2378,366
6.3,North Capitol Hill,2018,165,636,123,591,115,45,43,0,12,45,43,1382,173,1050,181,332,136
6.4,Miller Park,2558,146,1089,130,1017,124,72,36,31,28,41,28,1469,156,847,148,622,130
6.5,Madison Park,2482,171,1140,190,993,185,147,80,37,36,110,76,1342,215,1090,205,252,114
7.1,Montlake/Portage Bay,4072,171,1960,202,1571,175,389,142,113,61,276,123,2112,221,1457,197,655,173
7.2,University District,3313,295,852,160,708,135,144,89,69,78,75,49,2461,300,1453,245,1008,218
7.3,Ravenna/Bryant,8229,290,4074,242,3648,247,426,129,49,44,377,125,4155,336,2578,283,1577,235
7.4,Wedgwood/View Ridge,5200,186,3280,179,2733,181,547,134,160,84,387,110,1920,213,1451,195,469,115
7.5,Laurelhurst/Sand Point,3623,211,2220,204,1895,184,325,121,131,73,194,95,1403,208,1027,167,376,148
8.1,Northgate/Maple Leaf,5069,247,2060,241,1563,214,497,156,132,72,365,143,3009,280,2418,273,591,163
8.2,Olympic Hills/Victory Heights,4962,243,2611,243,2010,206,601,169,183,110,418,139,2351,281,2015,268,336,108
8.3,Cedar Park/Meadowbrook,4470,263,2158,221,1797,196,361,146,101,62,260,132,2312,252,1906,241,406,112
9.1,Broadview/Bitter Lake,5290,276,2440,246,2031,219,409,134,97,76,312,105,2850,297,2390,274,460,170
9.2,Licton Springs,3147,212,1200,208,997,208,203,83,39,36,164,78,1947,241,1084,198,863,230
9.3,Greenwood/Phinney Ridge,9468,281,4531,306,3971,305,560,139,135,79,425,119,4937,337,3497,306,1440,210
9.4,Green Lake,5867,273,2637,229,2232,221,405,116,109,54,296,104,3230,282,1937,223,1293,246
9.5,Haller Lake,3321,180,1746,214,1420,219,326,102,160,77,166,78,1575,206,1098,164,477,145
10.1,North Beach/Blue Ridge,4624,161,2860,200,2468,213,392,117,78,47,314,110,1764,177,1362,161,402,118
10.2,Whittier Heights,5092,161,2516,235,2022,230,494,169,160,101,334,130,2576,239,1709,213,867,177
10.3,Sunset Hill/Loyal Heights,5961,201,3044,212,2602,211,442,135,151,99,291,102,2917,247,2143,243,774,193
10.4,Ballard,3549,237,1085,230,853,210,232,120,78,71,154,92,2464,294,1726,291,738,236
11.1,Fremont,7522,284,2473,248,2097,240,376,120,148,79,228,100,5049,318,3469,336,1580,257
11.2,Wallingford,5943,280,2178,214,1794,183,384,141,203,108,181,79,3765,306,2238,260,1527,237
11.3,Cascade/Eastlake,6103,433,924,217,816,209,108,71,36,43,72,55,5179,427,4220,413,959,243
12.1,Magnolia,5208,192,3130,223,2875,216,255,102,86,57,169,86,2078,242,1702,233,376,132
12.2,Interbay,4505,256,1708,205,1511,190,197,81,13,30,184,76,2797,281,2182,270,615,158
12.3,Queen Anne,16100,490,5947,411,5363,398,584,157,161,76,423,143,10153,547,7820,514,2333,352
