area_id,area_name,b11001i001,b11001i001_moe,b11001i002,b11001i002_moe,b11001i003,b11001i003_moe,b11001i004,b11001i004_moe,b11001i005,b11001i005_moe,b11001i006,b11001i006_moe,b11001i007,b11001i007_moe,b11001i008,b11001i008_moe,b11001i009,b11001i009_moe
1.1,Arbor Heights,131,79,103,67,81,57,22,37,0,17,22,37,28,47,28,47,0,17
1.2,Fauntleroy/Seaview,206,89,72,52,41,46,31,33,0,24,31,33,134,75,104,60,30,50
1.3,West Seattle Junction/Genesee Hill,253,115,149,97,123,92,26,46,13,33,13,34,104,63,70,51,34,42
1.4,Alki/Admiral,200,123,97,97,43,51,54,86,54,86,0,24,103,78,53,53,50,53
2.1,North Delridge,237,87,95,74,65,84,30,35,30,35,0,12,142,78,131,79,11,20
2.2,High Point,66,45,27,27,10,20,17,25,7,17,10,22,39,38,14,27,25,30
2.3,Riverview,55,35,47,35,38,27,9,15,0,12,9,15,8,13,0,12,8,13
2.4,Roxhill/Westwood,928,194,679,169,379,134,300,151,198,131,102,75,249,126,168,98,81,79
2.5,Highland Park,325,148,177,127,93,107,84,89,17,30,67,83,148,81,98,71,50,39
3.1,South Park,394,81,309,74,135,83,174,80,47,47,127,77,85,62,37,40,48,51
3.2,Georgetown,70,56,58,53,30,44,28,30,28,30,0,12,12,15,12,15,0,12
3.3,Duwamish/SODO,81,59,60,56,26,25,34,46,0,12,34,46,21,33,0,12,21,33
3.4,South Beacon Hill/NewHolly,89,68,89,68,13,29,76,64,16,33,60,58,0,24,0,24,0,24
3.5,Beacon Hill,43,43,36,41,0,17,36,41,18,30,18,33,7,17,0,17,7,17
3.6,North Beacon Hill/Jefferson Park,421,164,299,132,78,66,221,117,73,69,148,105,122,93,47,50,75,80
4.1,Rainier Beach,486,170,330,148,70,86,260,146,75,86,185,122,156,98,126,92,30,38
4.2,Columbia City,407,164,221,129,123,83,98,98,0,27,98,98,186,122,116,99,70,75
4.3,Seward Park,150,96,139,94,78,70,61,68,33,54,28,46,11,22,11,22,0,17
4.4,Mt. Baker/North Rainier,104,82,29,33,14,23,15,24,15,24,0,17,75,78,75,78,0,17
5.1,Madrona/Leschi,108,74,68,57,68,57,0,21,0,21,0,21,40,50,40,50,0,21
5.2,Judkins Park,59,53,0,12,0,12,0,12,0,12,0,12,59,53,29,27,30,47
5.3,Central Area/Squire Park,514,152,166,86,128,78,38,45,9,27,29,42,348,120,242,105,106,66
6.1,First Hill,293,116,97,56,51,44,46,42,34,41,12,33,196,103,105,71,91,76
6.2,Capitol Hill,788,233,218,182,218,182,0,29,0,29,0,29,570,183,420,159,150,98
6.3,North Capitol Hill,161,77,37,44,37,44,0,12,0,12,0,12,124,70,66,56,58,54
6.4,Miller Park,143,61,50,36,43,33,7,16,0,17,7,16,93,50,38,33,55,36
6.5,Madison Park,12,19,12,19,12,19,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,133,89,61,42,61,42,0,21,0,21,0,21,72,81,49,77,23,28
7.2,University District,246,154,30,44,30,44,0,29,0,29,0,29,216,146,94,89,122,117
7.3,Ravenna/Bryant,247,100,78,51,69,49,9,33,0,32,9,33,169,90,84,70,85,63
7.4,Wedgwood/View Ridge,169,67,134,60,98,53,36,36,11,29,25,31,35,32,17,28,18,28
7.5,Laurelhurst/Sand Point,78,53,22,38,22,38,0,21,0,21,0,21,56,44,49,43,7,21
8.1,Northgate/Maple Leaf,415,169,257,123,210,111,47,51,37,50,10,25,158,121,121,110,37,34
8.2,Olympic Hills/Victory Heights,342,125,301,117,231,87,70,81,0,24,70,81,41,41,41,41,0,24
8.3,Cedar Park/Meadowbrook,391,131,241,108,62,47,179,107,82,70,97,86,150,97,99,93,51,44
9.1,Broadview/Bitter Lake,229,132,130,107,66,65,64,87,0,27,64,87,99,70,99,70,0,27
9.2,Licton Springs,303,141,200,122,112,102,88,66,0,17,88,66,103,78,14,26,89,74
9.3,Greenwood/Phinney Ridge,501,158,241,109,226,107,15,30,0,29,15,30,260,112,169,96,91,66
9.4,Green Lake,381,149,126,100,30,40,96,92,17,36,79,88,255,112,95,65,160,95
9.5,Haller Lake,259,134,150,102,150,102,0,21,0,21,0,21,109,88,90,100,19,34
10.1,North Beach/Blue Ridge,246,108,134,84,104,70,30,50,30,50,0,21,112,77,79,69,33,40
10.2,Whittier Heights,189,116,136,107,116,101,20,35,20,35,0,24,53,49,23,40,30,32
10.3,Sunset Hill/Loyal Heights,182,88,46,44,46,44,0,24,0,24,0,24,136,78,99,75,37,34
10.4,Ballard,327,179,48,57,33,50,15,25,0,17,15,25,279,170,177,146,102,91
11.1,Fremont,368,139,62,54,32,41,30,41,17,35,13,30,306,132,173,113,133,75
11.2,Wallingford,137,69,67,50,57,48,10,29,0,27,10,29,70,52,41,42,29,36
11.3,Cascade/Eastlake,538,181,103,104,45,44,58,97,58,97,0,21,435,153,365,146,70,52
12.1,Magnolia,70,51,38,50,25,44,13,27,13,27,0,24,32,36,32,36,0,24
12.2,Interbay,176,88,136,80,113,74,23,31,13,30,10,22,40,46,13,24,27,44
12.3,Queen Anne,752,212,143,94,129,90,14,43,14,43,0,40,609,194,356,146,253,127
13.1,Belltown,221,115,0,21,0,21,0,21,0,21,0,21,221,115,126,84,95,80
13.2,Downtown Commercial Core,125,98,0,12,0,12,0,12,0,12,0,12,125,98,125,98,0,12
13.3,Pioneer Square/International District,64,51,25,36,25,36,0,17,0,17,0,17,39,40,31,35,8,18
