area_id,area_name,b11002b001,b11002b001_moe,b11002b002,b11002b002_moe,b11002b003,b11002b003_moe,b11002b004,b11002b004_moe,b11002b005,b11002b005_moe,b11002b006,b11002b006_moe,b11002b007,b11002b007_moe,b11002b008,b11002b008_moe,b11002b009,b11002b009_moe,b11002b010,b11002b010_moe,b11002b011,b11002b011_moe,b11002b012,b11002b012_moe
1.1,Arbor Heights,65,60,23,38,23,38,23,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,42,49
1.2,Fauntleroy/Seaview,79,85,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,79,85
1.3,West Seattle Junction/Genesee Hill,192,136,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,192,136
1.4,Alki/Admiral,255,183,165,166,165,166,165,166,0,24,0,24,0,24,0,24,0,24,0,24,0,24,90,85
2.1,North Delridge,301,317,267,326,267,326,267,326,0,12,0,12,0,12,0,12,0,12,0,12,0,12,34,39
2.2,High Point,2132,410,1960,408,808,405,808,405,0,17,28,46,28,46,0,17,1124,420,1083,411,41,42,172,125
2.3,Riverview,607,305,597,304,199,293,199,293,0,12,159,225,159,225,0,12,239,188,211,171,28,37,10,16
2.4,Roxhill/Westwood,1054,362,758,335,279,244,279,244,0,21,82,133,82,133,0,21,397,211,397,211,0,21,296,159
2.5,Highland Park,573,182,538,175,255,203,255,203,0,21,0,21,0,21,0,21,283,218,283,218,0,21,35,43
3.1,South Park,265,162,224,156,162,152,162,152,0,17,0,17,0,17,0,17,62,69,55,60,7,17,41,43
3.2,Georgetown,27,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,36
3.3,Duwamish/SODO,277,245,201,230,201,230,201,230,0,12,0,12,0,12,0,12,0,12,0,12,0,12,76,63
3.4,South Beacon Hill/NewHolly,4851,1111,4496,1112,3229,1096,3229,1096,0,24,194,162,162,140,32,42,1073,471,1073,471,0,24,355,181
3.5,Beacon Hill,902,363,661,340,371,264,371,264,0,17,200,199,191,192,9,24,90,122,90,122,0,17,241,155
3.6,North Beacon Hill/Jefferson Park,1968,430,1548,474,465,413,465,413,0,24,43,75,29,51,14,30,1040,524,1040,524,0,24,420,162
4.1,Rainier Beach,5039,766,4484,826,1703,697,1645,680,58,74,626,331,587,308,39,50,2155,790,2050,754,105,154,555,250
4.2,Columbia City,4481,815,3083,781,1878,636,1870,637,8,31,181,197,181,197,0,27,1024,507,1024,507,0,27,1398,397
4.3,Seward Park,1256,299,927,300,605,221,605,221,0,17,180,123,171,117,9,19,142,152,142,152,0,17,329,129
4.4,Mt. Baker/North Rainier,689,329,446,317,414,308,414,308,0,17,0,17,0,17,0,17,32,54,32,54,0,17,243,129
5.1,Madrona/Leschi,2159,611,1770,634,1004,544,1004,544,0,21,0,21,0,21,0,21,766,417,766,417,0,21,389,181
5.2,Judkins Park,757,235,455,234,329,211,329,211,0,12,31,50,31,50,0,12,95,95,95,95,0,12,302,119
5.3,Central Area/Squire Park,3486,645,2520,609,1189,385,1189,385,0,24,138,133,138,133,0,24,1193,497,1161,487,32,50,966,277
6.1,First Hill,817,252,253,163,50,65,50,65,0,24,0,24,0,24,0,24,203,151,190,142,13,29,564,193
6.2,Capitol Hill,1205,445,604,388,144,162,144,162,0,29,0,29,0,29,0,29,460,352,418,330,42,64,601,214
6.3,North Capitol Hill,18,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29
6.4,Miller Park,802,272,634,266,428,311,428,311,0,17,41,67,41,67,0,17,165,168,165,168,0,17,168,85
6.5,Madison Park,71,69,51,60,51,60,51,60,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,32
7.1,Montlake/Portage Bay,118,94,33,54,0,21,0,21,0,21,0,21,0,21,0,21,33,54,33,54,0,21,85,80
7.2,University District,289,251,75,115,75,115,75,115,0,29,0,29,0,29,0,29,0,29,0,29,0,29,214,227
7.3,Ravenna/Bryant,582,352,294,225,178,188,178,188,0,32,40,50,40,50,0,32,76,124,76,124,0,32,288,272
7.4,Wedgwood/View Ridge,347,206,337,205,264,175,264,175,0,27,73,114,73,114,0,27,0,27,0,27,0,27,10,29
7.5,Laurelhurst/Sand Point,133,148,82,118,0,21,0,21,0,21,0,21,0,21,0,21,82,118,82,118,0,21,51,73
8.1,Northgate/Maple Leaf,547,240,367,217,178,179,143,139,35,59,189,124,189,124,0,24,0,24,0,24,0,24,180,131
8.2,Olympic Hills/Victory Heights,698,348,430,288,304,234,304,234,0,24,0,24,0,24,0,24,126,195,126,195,0,24,268,196
8.3,Cedar Park/Meadowbrook,633,291,357,215,21,40,21,40,0,27,58,94,58,94,0,27,278,212,278,212,0,27,276,180
9.1,Broadview/Bitter Lake,978,413,534,359,173,172,173,172,0,27,24,44,24,44,0,27,337,312,337,312,0,27,444,239
9.2,Licton Springs,401,278,258,257,258,257,258,257,0,17,0,17,0,17,0,17,0,17,0,17,0,17,143,128
9.3,Greenwood/Phinney Ridge,308,198,179,151,34,62,34,62,0,29,88,104,88,104,0,29,57,111,57,111,0,29,129,130
9.4,Green Lake,167,127,82,94,82,94,82,94,0,24,0,24,0,24,0,24,0,24,0,24,0,24,85,89
9.5,Haller Lake,480,297,379,282,291,268,291,268,0,21,64,102,42,67,22,37,24,40,24,40,0,21,101,101
10.1,North Beach/Blue Ridge,89,130,89,130,0,21,0,21,0,21,0,21,0,21,0,21,89,130,89,130,0,21,0,21
10.2,Whittier Heights,106,123,106,123,106,123,106,123,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,31,30
10.4,Ballard,139,122,122,115,0,17,0,17,0,17,0,17,0,17,0,17,122,115,122,115,0,17,17,26
11.1,Fremont,161,189,148,189,148,189,148,189,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,28
11.2,Wallingford,384,251,178,200,55,63,55,63,0,27,0,27,0,27,0,27,123,191,123,191,0,27,206,152
11.3,Cascade/Eastlake,553,216,142,132,57,70,57,70,0,21,0,21,0,21,0,21,85,124,85,124,0,21,411,168
12.1,Magnolia,47,76,47,76,47,76,47,76,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,431,294,307,279,138,211,90,139,48,74,136,200,72,106,64,96,33,55,33,55,0,21,124,94
12.3,Queen Anne,843,435,320,330,320,330,320,330,0,40,0,40,0,40,0,40,0,40,0,40,0,40,523,261
13.1,Belltown,554,252,122,142,122,142,122,142,0,21,0,21,0,21,0,21,0,21,0,21,0,21,432,193
13.2,Downtown Commercial Core,207,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,207,102
13.3,Pioneer Square/International District,817,497,461,470,120,169,120,169,0,17,284,438,284,438,0,17,57,80,57,80,0,17,356,176
