area_id,area_name,b11004001,b11004001_moe,b11004002,b11004002_moe,b11004003,b11004003_moe,b11004004,b11004004_moe,b11004005,b11004005_moe,b11004006,b11004006_moe,b11004007,b11004007_moe,b11004008,b11004008_moe,b11004009,b11004009_moe,b11004010,b11004010_moe,b11004011,b11004011_moe,b11004012,b11004012_moe,b11004013,b11004013_moe,b11004014,b11004014_moe,b11004015,b11004015_moe,b11004016,b11004016_moe,b11004017,b11004017_moe,b11004018,b11004018_moe,b11004019,b11004019_moe,b11004020,b11004020_moe
1.1,Arbor Heights,1585,134,1344,146,623,88,253,86,125,56,245,74,721,111,241,88,72,47,66,46,21,36,10,19,35,28,6,16,169,72,68,50,10,20,22,35,36,30,101,54
1.2,Fauntleroy/Seaview,3390,270,2769,271,1202,145,423,145,116,62,663,167,1567,241,621,167,74,52,41,43,20,36,0,24,21,29,33,38,547,165,325,133,97,61,74,85,154,87,222,98
1.3,West Seattle Junction/Genesee Hill,4165,272,3281,247,1480,168,595,156,242,92,643,123,1801,214,884,217,197,89,62,54,0,29,10,30,52,52,135,71,687,196,523,172,191,117,70,73,262,112,164,103
1.4,Alki/Admiral,2475,222,2184,215,844,123,231,97,124,107,489,118,1340,212,291,128,119,102,32,43,23,41,0,24,9,23,87,94,172,75,121,59,59,53,0,24,62,45,51,45
2.1,North Delridge,979,163,740,153,362,123,224,120,101,50,37,44,378,131,239,102,113,72,43,40,15,24,0,12,28,32,70,55,126,73,61,53,14,22,14,23,33,40,65,54
2.2,High Point,1514,206,818,135,388,113,169,93,136,65,83,60,430,107,696,197,42,38,32,31,0,17,0,17,32,31,10,19,654,194,466,165,99,109,54,46,313,131,188,124
2.3,Riverview,1096,109,638,110,336,93,83,53,61,31,192,84,302,81,458,101,146,82,102,69,9,15,0,12,93,69,44,48,312,99,184,84,47,50,47,55,90,63,128,49
2.4,Roxhill/Westwood,2961,229,2031,239,987,169,344,107,225,99,418,114,1044,195,930,206,356,157,99,62,20,30,22,37,57,49,257,153,574,148,431,131,97,51,26,37,308,115,143,69
2.5,Highland Park,1348,186,979,190,283,95,139,84,90,57,54,44,696,180,369,133,101,67,101,67,0,21,0,21,101,67,0,21,268,112,217,108,80,77,34,40,103,62,51,42
3.1,South Park,823,106,494,116,345,105,90,45,78,62,177,84,149,66,329,100,98,65,64,50,48,47,9,20,7,18,34,47,231,102,149,81,0,17,87,68,62,55,82,51
3.2,Georgetown,190,74,162,67,77,50,45,49,0,12,32,24,85,46,28,30,28,30,10,17,10,17,0,12,0,12,18,24,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,317,99,236,86,101,58,6,11,0,12,95,55,135,51,81,55,0,12,0,12,0,12,0,12,0,12,0,12,81,55,23,27,0,12,5,10,18,24,58,53
3.4,South Beacon Hill/NewHolly,3415,239,2124,218,1238,191,233,111,445,135,560,157,886,156,1291,243,399,140,192,104,72,69,0,24,120,77,207,100,892,221,578,171,82,59,119,82,377,144,314,124
3.5,Beacon Hill,1954,193,1437,189,708,131,334,131,168,78,206,82,729,142,517,142,187,91,92,55,24,31,6,22,62,42,95,78,330,122,132,72,18,23,19,33,95,62,198,103
3.6,North Beacon Hill/Jefferson Park,3324,252,2172,265,976,225,445,157,137,118,394,146,1196,216,1152,239,353,134,139,86,87,70,0,24,52,42,214,103,799,223,547,188,106,85,228,148,213,129,252,109
4.1,Rainier Beach,3431,277,1843,253,870,221,191,85,288,169,391,134,973,176,1588,299,404,165,183,118,0,27,42,53,141,110,221,115,1184,264,832,226,187,113,157,125,488,187,352,144
4.2,Columbia City,3753,316,2618,323,1129,204,469,156,300,126,360,127,1489,262,1135,227,220,95,105,77,13,29,0,27,92,77,115,64,915,214,508,154,115,104,84,70,309,109,407,148
4.3,Seward Park,2162,160,1652,160,765,119,258,95,185,70,322,112,887,156,510,125,196,88,86,45,22,24,0,17,64,41,110,77,314,105,164,76,27,27,63,51,74,55,150,70
4.4,Mt. Baker/North Rainier,1352,153,917,149,418,115,134,68,62,52,222,103,499,122,435,131,131,74,105,72,7,12,0,17,98,71,26,32,304,138,236,129,55,83,0,17,181,103,68,52
5.1,Madrona/Leschi,2490,254,1993,241,954,202,442,159,100,56,412,127,1039,184,497,179,45,43,18,30,0,21,0,21,18,30,27,38,452,176,280,143,107,100,59,83,114,62,172,102
