area_id,area_name,b11007001,b11007001_moe,b11007002,b11007002_moe,b11007003,b11007003_moe,b11007004,b11007004_moe,b11007005,b11007005_moe,b11007006,b11007006_moe,b11007007,b11007007_moe,b11007008,b11007008_moe,b11007009,b11007009_moe,b11007010,b11007010_moe,b11007011,b11007011_moe
1.1,Arbor Heights,2639,96,590,77,214,72,376,70,316,68,60,60,2049,94,481,100,1568,115,1269,120,299,106
1.2,Fauntleroy/Seaview,6410,211,1331,138,668,144,663,134,458,103,205,113,5079,221,1560,225,3519,264,2932,258,587,181
1.3,West Seattle Junction/Genesee Hill,8391,238,1760,190,1005,187,755,135,663,122,92,62,6631,257,2187,287,4444,252,3502,257,942,205
1.4,Alki/Admiral,5786,190,1415,172,789,158,626,151,570,149,56,43,4371,202,1861,221,2510,198,1905,177,605,164
2.1,North Delridge,2387,100,283,63,170,73,113,56,99,55,14,22,2104,115,764,196,1340,183,880,158,460,170
2.2,High Point,2731,199,410,121,266,115,144,74,124,72,20,22,2321,212,609,161,1712,205,1390,210,322,124
2.3,Riverview,1680,73,269,59,23,23,246,58,237,58,9,14,1411,98,353,98,1058,118,859,124,199,90
2.4,Roxhill/Westwood,5489,176,910,127,489,125,421,106,395,102,26,29,4579,210,1436,204,3143,224,2566,213,577,164
2.5,Highland Park,2563,202,652,123,381,127,271,86,240,80,31,39,1911,185,614,144,1297,173,1108,178,189,78
3.1,South Park,1323,80,228,61,83,43,145,59,145,59,0,17,1095,93,282,87,813,105,678,104,135,72
3.2,Georgetown,630,55,73,45,39,42,34,19,30,21,4,9,557,68,333,75,224,90,160,80,64,51
3.3,Duwamish/SODO,944,90,183,39,107,46,76,36,69,35,7,11,761,96,338,97,423,91,248,94,175,71
3.4,South Beacon Hill/NewHolly,4531,190,1200,148,472,111,728,124,715,125,13,26,3331,230,456,165,2875,254,2700,244,175,91
3.5,Beacon Hill,2893,137,1074,160,300,114,774,135,774,135,0,17,1819,207,288,114,1531,217,1180,199,351,145
3.6,North Beacon Hill/Jefferson Park,5765,192,1451,157,669,149,782,135,757,141,25,47,4314,250,1113,211,3201,274,2567,238,634,171
4.1,Rainier Beach,5403,197,1289,168,367,118,922,173,874,171,48,54,4114,229,1196,236,2918,273,2557,267,361,154
4.2,Columbia City,6493,254,1322,162,509,140,813,149,788,149,25,31,5171,263,1363,265,3808,328,2965,314,843,238
4.3,Seward Park,3376,140,874,116,285,98,589,99,557,102,32,30,2502,145,671,160,1831,164,1605,166,226,73
4.4,Mt. Baker/North Rainier,2340,165,492,120,207,84,285,93,257,89,28,32,1848,157,557,168,1291,146,1095,145,196,98
5.1,Madrona/Leschi,4262,205,917,126,303,102,614,113,514,121,100,61,3345,207,916,231,2429,232,1976,237,453,187
5.2,Judkins Park,1553,98,528,87,397,89,131,39,123,38,8,12,1025,115,524,115,501,90,327,91,174,80
5.3,Central Area/Squire Park,8106,238,1259,166,873,155,386,101,334,97,52,44,6847,268,2700,292,4147,276,2553,241,1594,229
6.1,First Hill,7537,281,1504,159,1173,161,331,87,305,85,26,34,6033,290,3724,326,2309,265,1112,187,1197,248
6.2,Capitol Hill,13942,322,1038,215,764,212,274,103,209,90,65,52,12904,375,8388,488,4516,449,1979,371,2537,359
6.3,North Capitol Hill,2363,123,374,97,165,80,209,89,209,89,0,12,1989,155,1064,175,925,159,518,117,407,152
6.4,Miller Park,3180,100,426,71,144,55,282,62,239,45,43,41,2754,110,968,153,1786,146,1126,144,660,128
6.5,Madison Park,2679,129,828,115,485,115,343,90,321,92,22,24,1851,127,725,168,1126,160,896,147,230,111
7.1,Montlake/Portage Bay,4576,111,792,91,303,97,489,74,468,74,21,29,3784,139,1404,201,2380,221,1639,205,741,192
7.2,University District,5280,209,454,112,313,113,141,54,114,62,27,38,4826,244,2322,307,2504,306,1024,182,1480,258
7.3,Ravenna/Bryant,9895,238,1769,151,841,157,928,127,802,122,126,73,8126,250,2274,262,5852,257,4070,242,1782,228
7.4,Wedgwood/View Ridge,6148,153,1475,112,500,110,975,110,887,107,88,52,4673,174,1139,185,3534,188,3040,183,494,118
7.5,Laurelhurst/Sand Point,4412,158,923,89,359,95,564,81,541,85,23,26,3489,177,928,180,2561,198,2154,186,407,153
8.1,Northgate/Maple Leaf,6976,196,1503,190,948,177,555,124,548,124,7,24,5473,243,2452,264,3021,272,2320,260,701,172
