area_id,area_name,b14003001,b14003001_moe,b14003002,b14003002_moe,b14003003,b14003003_moe,b14003004,b14003004_moe,b14003005,b14003005_moe,b14003006,b14003006_moe,b14003007,b14003007_moe,b14003008,b14003008_moe,b14003009,b14003009_moe,b14003010,b14003010_moe,b14003011,b14003011_moe,b14003012,b14003012_moe,b14003013,b14003013_moe,b14003014,b14003014_moe,b14003015,b14003015_moe,b14003016,b14003016_moe,b14003017,b14003017_moe,b14003018,b14003018_moe,b14003019,b14003019_moe,b14003020,b14003020_moe,b14003021,b14003021_moe,b14003022,b14003022_moe,b14003023,b14003023_moe,b14003024,b14003024_moe,b14003025,b14003025_moe,b14003026,b14003026_moe,b14003027,b14003027_moe,b14003028,b14003028_moe,b14003029,b14003029_moe,b14003030,b14003030_moe,b14003031,b14003031_moe,b14003032,b14003032_moe,b14003033,b14003033_moe,b14003034,b14003034_moe,b14003035,b14003035_moe,b14003036,b14003036_moe,b14003037,b14003037_moe,b14003038,b14003038_moe,b14003039,b14003039_moe,b14003040,b14003040_moe,b14003041,b14003041_moe,b14003042,b14003042_moe,b14003043,b14003043_moe,b14003044,b14003044_moe,b14003045,b14003045_moe,b14003046,b14003046_moe,b14003047,b14003047_moe,b14003048,b14003048_moe,b14003049,b14003049_moe,b14003050,b14003050_moe,b14003051,b14003051_moe,b14003052,b14003052_moe,b14003053,b14003053_moe,b14003054,b14003054_moe,b14003055,b14003055_moe,b14003056,b14003056_moe,b14003057,b14003057_moe
1.1,Arbor Heights,5990,283,2920,191,317,103,9,18,48,35,135,73,55,35,20,24,22,26,9,20,19,21,203,78,64,40,104,62,15,25,10,20,0,17,0,17,10,20,0,17,2400,150,44,43,10,20,0,17,0,17,17,22,98,63,423,120,1808,116,3070,214,378,137,22,23,129,83,79,56,73,54,21,24,16,24,38,37,0,17,278,85,14,23,159,70,36,32,17,21,0,17,9,18,23,26,20,25,2414,160,27,34,0,17,0,17,0,17,0,17,67,50,358,126,1962,158
1.2,Fauntleroy/Seaview,13243,583,6152,431,701,232,19,34,55,43,275,162,138,91,0,24,15,30,128,94,71,58,400,147,44,41,129,75,103,67,55,43,0,24,0,24,21,36,48,45,5051,366,159,88,0,24,5,20,0,24,0,24,89,57,847,219,3951,314,7091,361,942,215,0,24,323,153,191,108,76,52,56,43,74,54,90,61,132,73,440,158,95,58,124,80,124,85,14,30,18,33,0,24,52,43,13,28,5709,275,54,74,0,24,0,24,0,24,0,24,65,49,1109,214,4481,251
1.3,West Seattle Junction/Genesee Hill,17508,626,8117,472,1179,252,59,50,280,118,253,94,265,124,68,52,97,64,98,82,59,48,515,155,83,58,120,68,82,56,84,56,14,32,26,40,89,82,17,32,6423,383,108,79,12,30,11,29,0,29,17,35,106,62,1087,240,5082,353,9391,513,1452,274,94,91,477,161,358,131,158,84,49,47,49,39,179,115,88,66,588,203,61,59,76,50,106,71,57,48,0,29,63,86,153,119,72,53,7351,417,52,49,72,77,32,38,0,29,19,38,258,135,1256,214,5662,391
1.4,Alki/Admiral,10911,515,4921,349,370,154,39,43,49,50,69,56,84,57,0,24,23,40,44,41,62,57,374,129,47,42,92,64,93,79,89,62,26,30,0,24,0,24,27,37,4177,287,69,58,0,24,0,24,0,24,0,24,24,31,940,195,3144,266,5990,451,662,208,16,32,167,93,101,79,31,39,34,40,93,63,151,95,69,58,598,195,101,87,178,94,52,46,93,63,23,42,0,24,108,80,43,45,4730,341,9,24,54,79,0,24,0,24,37,40,126,125,673,188,3831,277
2.1,North Delridge,4420,278,2146,216,188,110,0,12,38,50,12,19,66,68,37,33,20,31,15,24,0,12,68,87,33,42,35,45,0,12,0,12,0,12,0,12,0,12,0,12,1890,189,0,12,0,12,0,12,0,12,0,12,23,35,561,172,1306,179,2274,205,341,126,0,12,75,99,76,65,0,12,54,61,0,12,136,107,0,12,70,71,0,12,0,12,0,12,0,12,0,12,16,26,0,12,54,67,1863,187,0,12,0,12,0,12,0,12,0,12,0,12,692,180,1171,164
2.2,High Point,6106,427,2950,306,832,198,51,48,291,134,238,116,71,51,57,52,108,91,16,29,0,17,76,67,29,36,47,59,0,17,0,17,0,17,0,17,0,17,0,17,2042,243,60,63,0,17,13,25,0,17,22,30,207,140,545,180,1195,190,3156,345,725,224,10,20,66,68,208,111,161,100,77,81,153,104,38,34,12,21,65,61,22,37,0,17,7,17,0,17,0,17,0,17,16,28,20,37,2366,260,17,23,0,17,0,17,0,17,5,16,104,62,585,178,1655,212
2.3,Riverview,4511,279,2440,215,529,118,0,12,159,66,142,77,82,67,99,69,31,40,16,18,0,12,101,59,0,12,20,17,11,17,50,46,0,12,0,12,20,23,0,12,1810,228,52,52,0,12,0,12,0,12,31,50,93,60,357,152,1277,155,2071,191,344,140,29,23,18,21,142,81,84,72,0,12,0,12,8,12,63,52,64,52,0,12,9,14,20,23,11,18,10,17,8,12,6,13,0,12,1663,154,0,12,31,50,0,12,0,12,10,15,94,77,312,87,1216,123
2.4,Roxhill/Westwood,12075,683,5784,457,1013,233,70,72,280,106,180,96,160,94,117,81,27,37,166,98,13,23,232,108,13,23,72,55,7,22,48,48,0,21,9,25,25,31,58,44,4539,389,110,83,11,24,0,21,0,21,11,25,352,176,1031,242,3024,294,6291,499,1269,337,0,21,308,130,302,119,163,100,147,132,49,44,222,142,78,54,278,113,59,47,74,63,23,41,20,26,0,21,47,43,14,29,41,41,4744,305,128,88,15,31,0,21,0,21,2,21,124,72,1120,228,3355,279
2.5,Highland Park,5580,420,3018,314,759,173,8,21,129,87,157,79,137,83,48,43,126,88,49,52,105,69,92,58,0,21,10,23,0,21,39,39,26,43,0,21,17,30,0,21,2167,284,58,53,0,21,0,21,0,21,9,20,42,41,570,180,1488,214,2562,230,497,134,0,21,57,48,66,58,98,87,5,17,78,55,112,60,81,82,52,49,0,21,22,34,12,24,0,21,2,21,0,21,0,21,16,28,2013,212,24,35,0,21,0,21,0,21,0,21,114,90,310,139,1565,176
3.1,South Park,4186,499,2137,455,372,136,0,17,197,81,103,79,25,34,8,21,15,23,24,24,0,17,28,26,13,19,15,21,0,17,0,17,0,17,0,17,0,17,0,17,1737,396,65,48,0,17,33,49,15,26,0,17,112,95,414,199,1098,317,2049,300,615,216,37,62,98,80,258,113,104,69,8,18,48,43,62,62,0,17,68,50,0,17,17,29,0,17,8,18,30,41,0,17,13,18,0,17,1366,189,50,55,41,38,16,31,10,20,14,25,97,102,351,117,787,116
