area_id,area_name,b14007h001,b14007h001_moe,b14007h002,b14007h002_moe,b14007h003,b14007h003_moe,b14007h004,b14007h004_moe,b14007h005,b14007h005_moe,b14007h006,b14007h006_moe,b14007h007,b14007h007_moe,b14007h008,b14007h008_moe,b14007h009,b14007h009_moe,b14007h010,b14007h010_moe,b14007h011,b14007h011_moe,b14007h012,b14007h012_moe,b14007h013,b14007h013_moe,b14007h014,b14007h014_moe,b14007h015,b14007h015_moe,b14007h016,b14007h016_moe,b14007h017,b14007h017_moe,b14007h018,b14007h018_moe,b14007h019,b14007h019_moe
1.1,Arbor Heights,4752,334,757,154,208,81,40,30,75,48,31,28,44,43,45,44,38,33,0,17,10,22,17,18,35,31,0,17,43,32,24,27,94,55,53,37,3995,266
1.2,Fauntleroy/Seaview,11438,608,1930,311,140,95,193,112,33,41,13,27,207,109,29,32,122,67,75,65,111,90,119,72,108,85,80,57,56,41,82,64,309,132,253,102,9508,512
1.3,West Seattle Junction/Genesee Hill,14894,625,2879,372,245,116,196,76,157,80,106,63,147,81,215,83,121,67,160,80,127,67,143,84,69,43,209,97,113,91,81,69,501,164,289,138,12015,505
1.4,Alki/Admiral,9191,473,1584,254,238,112,17,27,141,104,45,42,62,47,57,47,92,56,75,58,19,34,61,49,30,33,75,58,112,61,28,32,393,124,139,98,7607,382
2.1,North Delridge,2988,390,341,189,38,50,0,12,37,49,0,12,38,50,12,19,0,12,28,41,19,31,0,12,0,12,27,32,26,32,0,12,72,52,44,44,2647,285
2.2,High Point,2526,366,450,212,60,49,34,36,24,38,23,37,0,17,16,28,0,17,0,17,37,39,13,27,14,26,14,26,25,35,15,26,159,182,16,29,2076,276
2.3,Riverview,2330,260,278,105,18,22,0,12,8,13,0,12,0,12,26,27,0,12,11,17,6,10,33,29,17,19,62,43,15,25,48,54,28,25,6,13,2052,247
2.4,Roxhill/Westwood,6317,527,967,217,83,54,23,30,35,34,45,48,68,61,15,22,0,21,44,38,62,52,0,21,16,23,28,37,114,87,89,50,211,103,134,60,5350,420
2.5,Highland Park,2905,323,461,162,0,21,52,46,23,38,0,21,18,31,0,21,17,31,15,26,24,29,24,34,14,26,54,50,24,35,35,42,129,77,32,38,2444,305
3.1,South Park,1103,219,102,55,7,17,8,17,0,17,9,19,0,17,7,17,0,17,28,42,0,17,0,17,15,22,0,17,0,17,8,18,7,16,13,18,1001,196
3.2,Georgetown,697,145,100,69,0,12,7,11,0,12,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,83,64,3,9,597,178
3.3,Duwamish/SODO,1152,253,82,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,54,55,22,24,1070,245
3.4,South Beacon Hill/NewHolly,1781,372,383,199,51,60,9,25,0,24,0,24,12,28,6,20,24,42,0,24,41,48,0,24,55,59,46,62,13,24,8,21,118,74,0,24,1398,244
3.5,Beacon Hill,1743,342,115,74,7,18,0,17,0,17,0,17,17,30,0,17,7,17,7,18,0,17,7,17,24,40,0,17,0,17,11,21,24,29,11,23,1628,324
3.6,North Beacon Hill/Jefferson Park,4006,411,514,186,45,48,44,43,20,34,17,33,19,34,0,24,19,34,21,39,0,24,0,24,0,24,0,24,0,24,0,24,166,140,163,76,3492,367
4.1,Rainier Beach,3343,448,534,190,64,60,51,58,35,45,24,40,0,27,0,27,12,30,0,27,17,34,0,27,40,64,17,37,0,27,33,41,241,138,0,27,2809,388
4.2,Columbia City,5046,543,841,205,30,34,157,81,26,37,63,53,54,45,20,37,16,31,35,37,64,54,29,39,55,63,10,26,0,27,26,44,81,57,175,90,4205,469
4.3,Seward Park,4354,347,852,183,108,55,47,35,65,40,88,56,34,33,54,38,26,36,25,27,56,42,48,37,21,25,61,45,9,21,46,51,85,55,79,62,3502,277
4.4,Mt. Baker/North Rainier,3190,338,850,214,28,32,75,80,31,36,26,32,49,47,26,42,56,51,35,39,100,50,0,17,53,46,13,22,55,45,13,22,165,108,125,94,2340,219
