area_id,area_name,b16003001,b16003001_moe,b16003002,b16003002_moe,b16003003,b16003003_moe,b16003004,b16003004_moe,b16003005,b16003005_moe,b16003006,b16003006_moe,b16003007,b16003007_moe,b16003008,b16003008_moe,b16003009,b16003009_moe,b16003010,b16003010_moe,b16003011,b16003011_moe,b16003012,b16003012_moe
1.1,Arbor Heights,24,30,0,17,0,17,0,17,0,17,0,17,0,17,24,30,0,17,11,21,13,25,0,17
1.2,Fauntleroy/Seaview,63,42,0,24,0,24,0,24,0,24,0,24,0,24,63,42,18,34,26,30,19,34,0,24
1.3,West Seattle Junction/Genesee Hill,180,110,0,29,0,29,0,29,0,29,0,29,0,29,180,110,46,45,90,88,44,55,0,29
1.4,Alki/Admiral,125,153,0,24,0,24,0,24,0,24,0,24,0,24,125,153,13,27,112,153,0,24,0,24
2.1,North Delridge,221,171,0,12,0,12,0,12,0,12,0,12,0,12,221,171,155,172,15,24,51,46,0,12
2.2,High Point,650,239,150,115,13,25,0,17,0,17,66,83,71,76,500,186,11,28,13,26,273,119,203,139
2.3,Riverview,191,107,0,12,0,12,0,12,0,12,0,12,0,12,191,107,16,26,0,12,175,105,0,12
2.4,Roxhill/Westwood,1226,431,183,128,42,52,36,58,30,49,48,55,27,49,1043,368,511,290,110,94,327,184,95,141
2.5,Highland Park,168,154,57,86,0,21,0,21,0,21,57,86,0,21,111,84,51,49,0,21,60,69,0,21
3.1,South Park,875,344,145,117,0,17,65,110,0,17,80,51,0,17,730,312,499,301,0,17,231,131,0,17
3.2,Georgetown,127,150,32,47,0,12,32,47,0,12,0,12,0,12,95,108,59,85,0,12,36,58,0,12
3.3,Duwamish/SODO,204,144,0,12,0,12,0,12,0,12,0,12,0,12,204,144,66,104,0,12,138,91,0,12
3.4,South Beacon Hill/NewHolly,3782,800,1105,377,64,61,0,24,0,24,378,147,663,347,2677,580,0,24,7,21,1987,514,683,279
3.5,Beacon Hill,909,352,88,67,0,17,0,17,0,17,69,62,19,30,821,311,0,17,0,17,673,272,148,145
3.6,North Beacon Hill/Jefferson Park,2964,575,484,161,0,24,92,110,0,24,192,106,200,156,2480,508,397,276,0,24,1805,451,278,177
4.1,Rainier Beach,1332,479,273,266,49,64,34,60,0,27,30,35,160,200,1059,346,231,181,45,78,464,230,319,200
4.2,Columbia City,2215,540,215,129,39,49,0,27,0,27,176,121,0,27,2000,504,210,232,68,70,1049,329,673,348
4.3,Seward Park,688,268,73,56,9,18,0,17,0,17,64,51,0,17,615,245,71,111,70,86,369,181,105,103
4.4,Mt. Baker/North Rainier,407,215,62,58,0,17,0,17,0,17,62,58,0,17,345,169,24,37,26,29,245,156,50,82
5.1,Madrona/Leschi,33,39,0,21,0,21,0,21,0,21,0,21,0,21,33,39,15,29,0,21,18,34,0,21
5.2,Judkins Park,556,200,0,12,0,12,0,12,0,12,0,12,0,12,556,200,111,171,2,6,420,86,23,35
5.3,Central Area/Squire Park,589,356,215,208,0,24,53,68,0,24,0,24,162,205,374,175,103,117,49,53,77,62,145,131
6.1,First Hill,1100,243,55,45,0,24,0,24,0,24,55,45,0,24,1045,232,139,128,135,93,603,177,168,123
6.2,Capitol Hill,775,374,16,37,0,29,0,29,0,29,0,29,16,37,759,372,240,285,99,94,273,213,147,139
6.3,North Capitol Hill,17,26,0,12,0,12,0,12,0,12,0,12,0,12,17,26,0,12,0,12,17,26,0,12
6.4,Miller Park,97,71,0,17,0,17,0,17,0,17,0,17,0,17,97,71,31,40,40,44,26,42,0,17
6.5,Madison Park,54,64,12,20,12,20,0,17,0,17,0,17,0,17,42,48,24,39,0,17,0,17,18,29
7.1,Montlake/Portage Bay,73,69,0,21,0,21,0,21,0,21,0,21,0,21,73,69,0,21,31,38,42,57,0,21
7.2,University District,516,201,0,29,0,29,0,29,0,29,0,29,0,29,516,201,12,30,79,101,389,160,36,65
7.3,Ravenna/Bryant,363,148,20,43,0,32,0,32,20,43,0,32,0,32,343,140,5,30,72,66,235,120,31,46
7.4,Wedgwood/View Ridge,240,149,26,35,0,27,0,27,0,27,26,35,0,27,214,132,8,27,96,104,110,83,0,27
7.5,Laurelhurst/Sand Point,285,180,42,69,0,21,42,69,0,21,0,21,0,21,243,128,53,71,32,38,143,88,15,29
8.1,Northgate/Maple Leaf,1135,400,66,66,0,24,0,24,24,46,42,51,0,24,1069,388,167,205,146,112,481,206,275,218
8.2,Olympic Hills/Victory Heights,1164,473,121,108,41,68,74,86,0,24,6,25,0,24,1043,398,127,159,84,105,618,300,214,177
8.3,Cedar Park/Meadowbrook,941,432,221,155,64,67,63,67,0,27,35,49,59,80,720,299,274,220,56,43,283,145,107,96
9.1,Broadview/Bitter Lake,663,403,139,180,0,27,34,57,0,27,0,27,105,172,524,274,82,92,145,135,202,128,95,112
9.2,Licton Springs,678,261,49,59,0,17,0,17,35,55,14,25,0,17,629,238,185,160,96,116,283,125,65,69
9.3,Greenwood/Phinney Ridge,235,206,47,68,0,29,42,66,0,29,5,35,0,29,188,154,93,96,36,65,59,107,0,29
9.4,Green Lake,191,127,0,24,0,24,0,24,0,24,0,24,0,24,191,127,46,53,56,75,89,80,0,24
9.5,Haller Lake,393,254,104,97,0,21,87,97,0,21,9,22,8,25,289,181,109,131,35,57,100,98,45,66
10.1,North Beach/Blue Ridge,149,95,0,21,0,21,0,21,0,21,0,21,0,21,149,95,13,29,57,48,71,70,8,21
10.2,Whittier Heights,158,147,36,55,0,24,0,24,0,24,36,55,0,24,122,120,68,108,0,24,35,53,19,34
10.3,Sunset Hill/Loyal Heights,198,121,0,24,0,24,0,24,0,24,0,24,0,24,198,121,33,40,67,69,81,92,17,33
10.4,Ballard,95,109,0,17,0,17,0,17,0,17,0,17,0,17,95,109,58,96,37,46,0,17,0,17
11.1,Fremont,116,85,0,24,0,24,0,24,0,24,0,24,0,24,116,85,44,54,0,24,72,67,0,24
11.2,Wallingford,248,154,0,27,0,27,0,27,0,27,0,27,0,27,248,154,34,36,34,42,180,147,0,27
11.3,Cascade/Eastlake,568,197,13,37,0,21,0,21,0,21,13,37,0,21,555,192,65,61,112,108,360,154,18,33
12.1,Magnolia,101,86,14,29,0,24,14,29,0,24,0,24,0,24,87,70,27,46,0,24,60,55,0,24
12.2,Interbay,143,127,0,21,0,21,0,21,0,21,0,21,0,21,143,127,27,52,15,29,101,114,0,21
12.3,Queen Anne,413,168,0,40,0,40,0,40,0,40,0,40,0,40,413,168,125,111,118,90,170,106,0,40
13.1,Belltown,327,262,0,21,0,21,0,21,0,21,0,21,0,21,327,262,26,31,34,41,180,230,87,133
13.2,Downtown Commercial Core,107,92,0,12,0,12,0,12,0,12,0,12,0,12,107,92,0,12,0,12,93,89,14,22
13.3,Pioneer Square/International District,1549,306,128,150,0,17,0,17,21,33,102,144,5,24,1421,227,11,22,19,32,1317,222,74,61
