area_id,area_name,b16005g001,b16005g001_moe,b16005g002,b16005g002_moe,b16005g003,b16005g003_moe,b16005g004,b16005g004_moe,b16005g005,b16005g005_moe,b16005g006,b16005g006_moe,b16005g007,b16005g007_moe,b16005g008,b16005g008_moe,b16005g009,b16005g009_moe,b16005g010,b16005g010_moe,b16005g011,b16005g011_moe
1.1,Arbor Heights,370,187,323,166,251,144,72,79,10,20,62,69,47,45,34,40,13,23,13,23,0,17
1.2,Fauntleroy/Seaview,405,184,405,184,400,185,5,20,0,24,5,20,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,657,208,639,205,545,185,94,94,94,94,0,29,18,32,17,36,1,25,1,25,0,29
1.4,Alki/Admiral,362,175,357,174,357,174,0,24,0,24,0,24,5,20,0,24,5,20,0,24,5,20
2.1,North Delridge,245,125,228,123,215,123,13,22,13,22,0,12,17,26,0,12,17,26,1,2,16,26
2.2,High Point,209,111,186,106,151,101,35,33,35,33,0,17,23,30,16,30,7,17,7,17,0,17
2.3,Riverview,294,126,262,104,252,101,10,18,10,18,0,12,32,48,32,48,0,12,0,12,0,12
2.4,Roxhill/Westwood,587,197,488,167,416,148,72,74,47,64,25,42,99,69,11,25,88,64,23,30,65,60
2.5,Highland Park,284,149,284,149,245,147,39,46,39,46,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,276,248,134,112,128,113,6,16,6,16,0,17,142,221,0,17,142,221,0,17,142,221
3.2,Georgetown,69,68,33,38,18,35,15,15,15,15,0,12,36,58,0,12,36,58,0,12,36,58
3.3,Duwamish/SODO,75,55,75,55,54,41,21,32,21,32,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,393,184,366,179,295,160,71,48,57,41,14,30,27,45,0,24,27,45,0,24,27,45
3.5,Beacon Hill,302,190,266,166,144,105,122,106,122,106,0,17,36,44,0,17,36,44,17,30,19,33
3.6,North Beacon Hill/Jefferson Park,686,254,516,195,372,144,144,134,129,147,15,41,170,95,12,27,158,95,128,98,30,68
4.1,Rainier Beach,728,371,695,366,695,366,0,27,0,27,0,27,33,41,15,31,18,38,0,27,18,38
4.2,Columbia City,722,251,641,239,513,204,128,105,111,100,17,34,81,67,23,35,58,62,58,62,0,27
4.3,Seward Park,394,165,344,152,295,144,49,44,49,44,0,17,50,42,24,27,26,34,16,22,10,20
4.4,Mt. Baker/North Rainier,306,165,306,165,306,165,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,555,350,555,350,342,166,213,210,213,210,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,205,147,189,134,166,128,23,26,23,26,0,12,16,26,16,26,0,12,0,12,0,12
5.3,Central Area/Squire Park,924,303,885,299,872,298,13,30,13,30,0,24,39,45,26,45,13,24,13,24,0,24
6.1,First Hill,731,179,703,179,629,167,74,58,74,58,0,24,28,31,0,24,28,31,14,25,14,27
6.2,Capitol Hill,804,266,616,234,533,224,83,73,83,73,0,29,188,121,86,75,102,106,86,103,16,35
6.3,North Capitol Hill,90,86,90,86,90,86,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
