area_id,area_name,b16005h001,b16005h001_moe,b16005h002,b16005h002_moe,b16005h003,b16005h003_moe,b16005h004,b16005h004_moe,b16005h005,b16005h005_moe,b16005h006,b16005h006_moe,b16005h007,b16005h007_moe,b16005h008,b16005h008_moe,b16005h009,b16005h009_moe,b16005h010,b16005h010_moe,b16005h011,b16005h011_moe
1.1,Arbor Heights,4591,309,4423,309,4242,314,181,84,154,81,27,32,168,64,128,58,40,32,40,32,0,17
1.2,Fauntleroy/Seaview,11139,595,10710,604,10326,617,384,129,315,126,69,50,429,167,224,115,205,112,160,103,45,40
1.3,West Seattle Junction/Genesee Hill,14574,623,13568,617,12959,641,609,178,462,152,147,95,1006,278,498,170,508,226,321,139,187,144
1.4,Alki/Admiral,8980,442,8551,433,8108,492,443,247,418,248,25,34,429,205,149,79,280,191,149,110,131,155
2.1,North Delridge,2988,390,2781,395,2613,400,168,104,168,104,0,12,207,187,34,42,173,187,102,103,71,88
2.2,High Point,2466,364,2378,368,2369,369,9,18,9,18,0,17,88,68,26,25,62,62,35,50,27,34
2.3,Riverview,2330,260,2275,268,2194,265,81,53,73,51,8,13,55,38,44,34,11,19,11,19,0,12
2.4,Roxhill/Westwood,6201,511,5929,493,5619,477,310,102,238,90,72,52,272,119,209,97,63,69,16,25,47,54
2.5,Highland Park,2889,320,2746,331,2644,329,102,69,52,54,50,48,143,77,88,57,55,57,44,46,11,22
3.1,South Park,1073,215,1053,216,1003,214,50,45,50,45,0,17,20,26,6,16,14,24,14,24,0,17
3.2,Georgetown,697,145,693,147,654,153,39,42,39,42,0,12,4,8,0,12,4,8,4,8,0,12
3.3,Duwamish/SODO,1152,253,1082,247,1069,244,13,15,10,13,3,7,70,56,40,32,30,46,20,32,10,22
3.4,South Beacon Hill/NewHolly,1730,345,1621,339,1522,342,99,63,90,61,9,22,109,63,51,38,58,42,24,24,34,37
3.5,Beacon Hill,1736,341,1606,336,1485,339,121,93,118,93,3,14,130,116,28,35,102,109,64,56,38,64
3.6,North Beacon Hill/Jefferson Park,3926,400,3776,383,3617,390,159,104,140,90,19,35,150,95,80,59,70,75,66,73,4,24
4.1,Rainier Beach,3264,430,3214,421,3183,414,31,37,15,32,16,33,50,50,50,50,0,27,0,27,0,27
4.2,Columbia City,4952,547,4702,514,4376,517,326,134,305,134,21,40,250,118,149,89,101,64,63,50,38,43
4.3,Seward Park,4214,337,3814,328,3501,338,313,122,304,121,9,18,400,146,196,80,204,125,99,59,105,101
