area_id,area_name,b17001f001,b17001f001_moe,b17001f002,b17001f002_moe,b17001f003,b17001f003_moe,b17001f004,b17001f004_moe,b17001f005,b17001f005_moe,b17001f006,b17001f006_moe,b17001f007,b17001f007_moe,b17001f008,b17001f008_moe,b17001f009,b17001f009_moe,b17001f010,b17001f010_moe,b17001f011,b17001f011_moe,b17001f012,b17001f012_moe,b17001f013,b17001f013_moe,b17001f014,b17001f014_moe,b17001f015,b17001f015_moe,b17001f016,b17001f016_moe,b17001f017,b17001f017_moe,b17001f018,b17001f018_moe,b17001f019,b17001f019_moe,b17001f020,b17001f020_moe,b17001f021,b17001f021_moe,b17001f022,b17001f022_moe,b17001f023,b17001f023_moe,b17001f024,b17001f024_moe,b17001f025,b17001f025_moe,b17001f026,b17001f026_moe,b17001f027,b17001f027_moe,b17001f028,b17001f028_moe,b17001f029,b17001f029_moe,b17001f030,b17001f030_moe,b17001f031,b17001f031_moe,b17001f032,b17001f032_moe,b17001f033,b17001f033_moe,b17001f034,b17001f034_moe,b17001f035,b17001f035_moe,b17001f036,b17001f036_moe,b17001f037,b17001f037_moe,b17001f038,b17001f038_moe,b17001f039,b17001f039_moe,b17001f040,b17001f040_moe,b17001f041,b17001f041_moe,b17001f042,b17001f042_moe,b17001f043,b17001f043_moe,b17001f044,b17001f044_moe,b17001f045,b17001f045_moe,b17001f046,b17001f046_moe,b17001f047,b17001f047_moe,b17001f048,b17001f048_moe,b17001f049,b17001f049_moe,b17001f050,b17001f050_moe,b17001f051,b17001f051_moe,b17001f052,b17001f052_moe,b17001f053,b17001f053_moe,b17001f054,b17001f054_moe,b17001f055,b17001f055_moe,b17001f056,b17001f056_moe,b17001f057,b17001f057_moe,b17001f058,b17001f058_moe,b17001f059,b17001f059_moe
1.1,Arbor Heights,41,37,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,41,37,41,37,0,17,0,17,0,17,0,17,0,17,0,17,14,26,0,17,15,24,0,17,12,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,101,134,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,101,134,36,38,0,24,0,24,0,24,0,24,0,24,0,24,15,30,0,24,0,24,17,31,4,20,0,24,0,24,65,106,0,24,0,24,15,30,15,30,0,24,0,24,15,30,0,24,2,23,18,34,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,159,135,61,89,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,61,89,0,29,0,29,0,29,0,29,0,29,0,29,0,29,59,90,0,29,2,24,0,29,0,29,0,29,98,110,71,78,0,29,0,29,12,30,0,29,0,29,12,30,0,29,0,29,14,31,0,29,33,57,0,29,0,29,27,47,14,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,31,0,29,0,29,0,29
1.4,Alki/Admiral,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,43,0,24,0,24,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,148,153,80,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,22,16,26,51,77,0,12,0,12,0,12,68,85,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,24,0,12,54,81,0,12,0,12,0,12
2.2,High Point,55,79,44,76,12,22,12,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,32,57,0,17,0,17,22,40,0,17,0,17,0,17,0,17,0,17,10,22,0,17,0,17,0,17,0,17,11,28,7,18,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,18,0,17,0,17,4,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,4,16,0,17,0,17
2.3,Riverview,17,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,17,9,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12
2.4,Roxhill/Westwood,705,410,233,259,167,200,74,103,0,21,61,65,0,21,0,21,0,21,0,21,32,49,0,21,0,21,0,21,0,21,0,21,66,69,0,21,0,21,0,21,0,21,0,21,0,21,0,21,66,69,0,21,0,21,0,21,0,21,0,21,472,296,379,267,23,39,0,21,21,36,10,23,0,21,21,36,84,97,79,94,77,92,64,75,0,21,0,21,0,21,93,70,25,34,0,21,0,21,10,24,0,21,0,21,0,21,0,21,22,38,10,24,0,21,26,43,0,21
2.5,Highland Park,67,61,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,67,61,21,35,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,21,35,0,21,0,21,46,51,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,27,44,19,33,0,21,0,21
3.1,South Park,132,160,33,53,13,23,0,17,0,17,6,16,0,17,0,17,0,17,0,17,0,17,7,16,0,17,0,17,0,17,0,17,20,34,0,17,0,17,0,17,6,16,8,17,0,17,0,17,0,17,6,16,0,17,0,17,0,17,0,17,99,153,58,102,0,17,0,17,28,50,14,28,0,17,0,17,0,17,0,17,16,30,0,17,0,17,0,17,0,17,41,56,0,17,0,17,0,17,16,30,0,17,0,17,0,17,0,17,15,28,0,17,10,21,0,17,0,17
