area_id,area_name,b17010c001,b17010c001_moe,b17010c002,b17010c002_moe,b17010c003,b17010c003_moe,b17010c004,b17010c004_moe,b17010c005,b17010c005_moe,b17010c006,b17010c006_moe,b17010c007,b17010c007_moe,b17010c008,b17010c008_moe,b17010c009,b17010c009_moe,b17010c010,b17010c010_moe,b17010c011,b17010c011_moe,b17010c012,b17010c012_moe,b17010c013,b17010c013_moe,b17010c014,b17010c014_moe,b17010c015,b17010c015_moe,b17010c016,b17010c016_moe,b17010c017,b17010c017_moe,b17010c018,b17010c018_moe,b17010c019,b17010c019_moe,b17010c020,b17010c020_moe,b17010c021,b17010c021_moe,b17010c022,b17010c022_moe,b17010c023,b17010c023_moe,b17010c024,b17010c024_moe,b17010c025,b17010c025_moe,b17010c026,b17010c026_moe,b17010c027,b17010c027_moe,b17010c028,b17010c028_moe,b17010c029,b17010c029_moe,b17010c030,b17010c030_moe,b17010c031,b17010c031_moe,b17010c032,b17010c032_moe,b17010c033,b17010c033_moe,b17010c034,b17010c034_moe,b17010c035,b17010c035_moe,b17010c036,b17010c036_moe,b17010c037,b17010c037_moe,b17010c038,b17010c038_moe,b17010c039,b17010c039_moe,b17010c040,b17010c040_moe,b17010c041,b17010c041_moe
1.1,Arbor Heights,33,39,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,33,39,33,39,14,22,0,17,0,17,14,22,19,31,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,10,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,10,23,10,23,8,22,0,24,0,24,8,22,2,19,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,29,37,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,29,37,1,26,1,26,0,29,0,29,1,26,0,29,28,35,0,29,0,29,0,29,0,29,0,29,0,29,28,35,15,34,15,34,0,29,0,29,13,31
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,21,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,34,21,34,21,34,0,12,0,12,21,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,21,33,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,21,33,3,19,3,19,3,19,0,21,0,21,0,21,18,34,0,21,0,21,0,21,0,21,0,21,0,21,18,34,18,34,0,21,0,21,18,34,0,21
2.5,Highland Park,9,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,18,9,18,0,21,0,21,0,21,0,21,9,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,12,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,22,0,12,0,12,0,12,0,12,0,12,0,12,12,22,0,12,0,12,0,12,0,12,0,12,0,12,12,22,12,22,0,12,0,12,12,22,0,12
3.4,South Beacon Hill/NewHolly,56,44,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,56,44,56,44,18,33,0,24,18,33,0,24,38,38,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,13,25,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,25,13,25,0,24,0,24,0,24,0,24,13,25,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.3,Seward Park,12,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,22,12,22,12,22,0,17,0,17,12,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,15,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,24,0,17,0,17,0,17,0,17,0,17,0,17,15,24,15,24,0,17,0,17,0,17,0,17,15,24,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,13,24,13,24,0,21,0,21,0,21,0,21,0,21,0,21,13,24,0,21,0,21,0,21,0,21,0,21,0,21,13,24,13,24,13,24,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,10,15,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
