area_id,area_name,b17020c001,b17020c001_moe,b17020c002,b17020c002_moe,b17020c003,b17020c003_moe,b17020c004,b17020c004_moe,b17020c005,b17020c005_moe,b17020c006,b17020c006_moe,b17020c007,b17020c007_moe,b17020c008,b17020c008_moe,b17020c009,b17020c009_moe,b17020c010,b17020c010_moe,b17020c011,b17020c011_moe,b17020c012,b17020c012_moe,b17020c013,b17020c013_moe,b17020c014,b17020c014_moe,b17020c015,b17020c015_moe,b17020c016,b17020c016_moe,b17020c017,b17020c017_moe
1.1,Arbor Heights,111,127,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,111,127,0,17,0,17,28,39,50,63,14,22,19,31,0,17
1.2,Fauntleroy/Seaview,50,40,12,25,0,24,0,24,0,24,0,24,12,25,0,24,0,24,38,35,0,24,0,24,0,24,0,24,38,35,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,147,116,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,147,116,14,33,0,29,0,29,0,29,132,102,1,27,0,29
1.4,Alki/Admiral,49,50,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,49,50,0,24,0,24,0,24,10,23,39,47,0,24,0,24
2.1,North Delridge,42,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,49,0,12,0,12,0,12,0,12,42,49,0,12,0,12
2.2,High Point,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17,0,17,0,17,8,20,0,17,0,17
2.3,Riverview,44,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,67,0,12,0,12,0,12,23,34,21,34,0,12,0,12
2.4,Roxhill/Westwood,101,128,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,101,128,0,21,0,21,0,21,22,38,79,97,0,21,0,21
2.5,Highland Park,37,47,28,45,0,21,0,21,0,21,0,21,28,45,0,21,0,21,9,18,0,21,0,21,0,21,0,21,9,18,0,21,0,21
3.1,South Park,28,47,28,47,0,17,0,17,14,26,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,7,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,18,24,0,12,0,12,0,12,0,12,18,24,0,12,0,12
3.3,Duwamish/SODO,66,103,7,17,0,12,0,12,0,12,0,12,7,17,0,12,0,12,59,102,0,12,0,12,0,12,33,58,12,22,0,12,14,22
3.4,South Beacon Hill/NewHolly,210,178,4,19,0,24,0,24,0,24,0,24,4,19,0,24,0,24,206,178,23,38,0,24,20,34,34,52,107,94,13,28,9,25
3.5,Beacon Hill,36,39,29,37,0,17,0,17,0,17,0,17,29,37,0,17,0,17,7,17,0,17,0,17,0,17,0,17,7,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,60,73,0,24,0,24,0,24,0,24,60,73,0,24,0,24
4.1,Rainier Beach,131,108,42,71,0,27,0,27,21,40,21,40,0,27,0,27,0,27,89,82,33,58,0,27,0,27,25,44,14,33,17,34,0,27
4.2,Columbia City,56,47,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,56,47,20,37,0,27,0,27,0,27,36,37,0,27,0,27
4.3,Seward Park,48,60,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,48,60,0,17,0,17,0,17,25,42,23,28,0,17,0,17
4.4,Mt. Baker/North Rainier,139,127,45,52,0,17,0,17,0,17,0,17,45,52,0,17,0,17,94,113,0,17,0,17,0,17,0,17,94,113,0,17,0,17
5.1,Madrona/Leschi,87,94,68,90,42,68,0,21,0,21,0,21,26,30,0,21,0,21,19,35,0,21,0,21,0,21,0,21,19,35,0,21,0,21
