area_id,area_name,b17023001,b17023001_moe,b17023002,b17023002_moe,b17023003,b17023003_moe,b17023004,b17023004_moe,b17023005,b17023005_moe,b17023006,b17023006_moe,b17023007,b17023007_moe,b17023008,b17023008_moe,b17023009,b17023009_moe,b17023010,b17023010_moe,b17023011,b17023011_moe,b17023012,b17023012_moe,b17023013,b17023013_moe,b17023014,b17023014_moe,b17023015,b17023015_moe,b17023016,b17023016_moe,b17023017,b17023017_moe,b17023018,b17023018_moe,b17023019,b17023019_moe,b17023020,b17023020_moe,b17023021,b17023021_moe,b17023022,b17023022_moe,b17023023,b17023023_moe,b17023024,b17023024_moe,b17023025,b17023025_moe,b17023026,b17023026_moe,b17023027,b17023027_moe,b17023028,b17023028_moe,b17023029,b17023029_moe,b17023030,b17023030_moe,b17023031,b17023031_moe,b17023032,b17023032_moe,b17023033,b17023033_moe,b17023034,b17023034_moe,b17023035,b17023035_moe
1.1,Arbor Heights,1585,134,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1585,134,1344,146,743,113,578,85,9,18,14,22,241,88,72,47,6,16,56,43,10,19,0,17,169,72,111,57,58,47,0,17,0,17
1.2,Fauntleroy/Seaview,3390,270,66,53,66,53,14,29,52,47,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,3324,271,2703,271,1619,245,956,162,128,86,0,24,621,167,74,52,33,38,41,43,0,24,0,24,547,165,249,99,298,133,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,4165,272,149,92,68,50,60,50,8,27,0,29,0,29,81,80,19,39,0,29,19,39,0,29,0,29,62,72,0,29,62,72,0,29,0,29,4016,285,3213,254,1742,217,1303,183,168,74,0,29,803,204,178,84,135,71,43,44,0,29,0,29,625,184,226,115,380,157,19,29,0,29
1.4,Alki/Admiral,2475,222,87,64,68,52,27,34,41,46,0,24,0,24,19,34,0,24,0,24,0,24,0,24,0,24,19,34,19,34,0,24,0,24,0,24,2388,226,2116,214,1313,214,672,127,131,100,0,24,272,124,119,102,87,94,32,43,0,24,0,24,153,69,32,34,100,55,21,29,0,24
2.1,North Delridge,979,163,32,35,0,12,0,12,0,12,0,12,0,12,32,35,15,24,0,12,15,24,0,12,0,12,17,26,17,26,0,12,0,12,0,12,947,159,740,153,406,140,296,125,38,50,0,12,207,97,98,68,70,55,28,32,0,12,0,12,109,67,48,46,61,53,0,12,0,12
2.2,High Point,1514,206,394,139,75,71,0,17,14,22,9,22,52,65,319,143,0,17,0,17,0,17,0,17,0,17,319,143,85,88,153,113,81,63,0,17,1120,183,743,143,437,109,278,116,28,51,0,17,377,145,42,38,10,19,32,31,0,17,0,17,335,139,142,80,149,120,44,45,0,17
2.3,Riverview,1096,109,81,70,0,12,0,12,0,12,0,12,0,12,81,70,0,12,0,12,0,12,0,12,0,12,81,70,9,14,72,69,0,12,0,12,1015,101,638,110,336,78,266,85,13,21,23,34,377,95,146,82,94,86,52,37,0,12,0,12,231,84,119,49,85,57,27,28,0,12
2.4,Roxhill/Westwood,2961,229,354,129,239,108,100,77,11,27,128,79,0,21,115,77,17,32,0,21,17,32,0,21,0,21,98,73,9,23,69,65,20,37,0,21,2607,251,1792,240,1024,189,730,156,38,34,0,21,815,195,339,155,260,154,57,49,22,37,0,21,476,129,156,72,320,107,0,21,0,21
2.5,Highland Park,1348,186,31,28,0,21,0,21,0,21,0,21,0,21,31,28,14,26,0,21,14,26,0,21,0,21,17,30,0,21,17,30,0,21,0,21,1317,189,979,190,710,181,166,89,103,61,0,21,338,132,87,65,0,21,87,65,0,21,0,21,251,111,76,46,175,105,0,21,0,21
3.1,South Park,823,106,144,83,22,30,15,29,0,17,7,16,0,17,122,78,19,30,19,30,0,17,0,17,0,17,103,75,18,24,14,26,45,60,26,48,679,122,472,117,149,66,249,76,43,45,31,47,207,86,79,58,63,54,16,22,0,17,0,17,128,76,73,49,55,48,0,17,0,17
3.2,Georgetown,190,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,190,74,162,67,106,39,56,51,0,12,0,12,28,30,28,30,18,24,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,317,99,13,16,7,11,7,11,0,12,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12,6,10,6,10,0,12,0,12,0,12,304,96,229,83,128,48,101,58,0,12,0,12,75,53,0,12,0,12,0,12,0,12,0,12,75,53,52,51,23,27,0,12,0,12
3.4,South Beacon Hill/NewHolly,3415,239,684,192,343,131,94,70,89,82,61,54,99,81,341,138,84,69,12,28,72,66,0,24,0,24,257,127,23,28,187,126,26,35,21,42,2731,227,1781,211,900,154,622,140,259,105,0,24,950,212,315,124,195,99,120,80,0,24,0,24,635,182,377,132,213,109,45,64,0,24
3.5,Beacon Hill,1954,193,54,50,7,21,6,16,0,17,0,17,1,18,47,48,0,17,0,17,0,17,0,17,0,17,47,48,10,22,37,44,0,17,0,17,1900,191,1430,189,754,143,604,119,72,66,0,17,470,142,187,91,138,81,30,34,13,26,6,22,283,118,198,103,85,59,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,3324,252,335,134,105,67,93,64,12,30,0,24,0,24,230,111,27,35,27,35,0,24,0,24,0,24,203,104,90,83,67,52,29,58,17,33,2989,263,2067,265,1103,209,823,201,141,97,0,24,922,239,326,133,202,106,111,77,13,30,0,24,596,223,293,118,303,181,0,24,0,24
4.1,Rainier Beach,3431,277,470,175,193,120,40,43,106,87,47,73,0,27,277,137,50,48,18,35,18,36,14,32,0,27,227,133,56,66,111,102,52,67,8,25,2961,291,1650,259,1042,182,460,173,148,121,0,27,1311,279,354,159,244,129,110,89,0,27,0,27,957,234,520,167,280,156,157,122,0,27
4.2,Columbia City,3753,316,499,182,190,130,140,124,23,35,27,37,0,27,309,129,90,74,6,24,72,72,12,30,0,27,219,110,111,77,70,65,38,46,0,27,3254,318,2428,304,1364,242,888,210,163,85,13,39,826,204,130,67,130,67,0,27,0,27,0,27,696,191,449,157,234,127,13,31,0,27
4.3,Seward Park,2162,160,143,89,100,77,94,75,0,17,0,17,6,17,43,48,10,19,10,19,0,17,0,17,0,17,33,45,0,17,5,16,28,46,0,17,2019,156,1552,149,818,141,610,131,116,47,8,18,467,119,186,87,110,77,76,43,0,17,0,17,281,97,168,76,102,64,11,22,0,17
4.4,Mt. Baker/North Rainier,1352,153,104,65,16,25,0,17,16,25,0,17,0,17,88,62,61,51,11,22,50,54,0,17,0,17,27,31,0,17,14,22,13,21,0,17,1248,175,901,149,529,133,302,116,56,43,14,22,347,137,70,54,15,24,55,48,0,17,0,17,277,138,114,70,163,112,0,17,0,17
5.1,Madrona/Leschi,2490,254,208,137,107,109,28,32,79,106,0,21,0,21,101,79,0,21,0,21,0,21,0,21,0,21,101,79,62,72,39,39,0,21,0,21,2282,224,1886,211,1068,191,763,138,55,38,0,21,396,171,45,43,27,38,18,30,0,21,0,21,351,166,127,92,224,139,0,21,0,21
