area_id,area_name,b18101c001,b18101c001_moe,b18101c002,b18101c002_moe,b18101c003,b18101c003_moe,b18101c004,b18101c004_moe,b18101c005,b18101c005_moe,b18101c006,b18101c006_moe,b18101c007,b18101c007_moe,b18101c008,b18101c008_moe,b18101c009,b18101c009_moe,b18101c010,b18101c010_moe
1.1,Arbor Heights,111,127,78,99,0,17,78,99,14,22,0,17,14,22,19,31,19,31,0,17
1.2,Fauntleroy/Seaview,50,40,0,24,0,24,0,24,50,40,0,24,50,40,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,147,116,14,33,0,29,14,33,132,102,0,29,132,102,1,27,1,27,0,29
1.4,Alki/Admiral,49,50,10,23,0,24,10,23,39,47,21,35,18,34,0,24,0,24,0,24
2.1,North Delridge,42,49,0,12,0,12,0,12,42,49,0,12,42,49,0,12,0,12,0,12
2.2,High Point,8,20,0,17,0,17,0,17,8,20,0,17,8,20,0,17,0,17,0,17
2.3,Riverview,44,67,23,34,0,12,23,34,21,34,0,12,21,34,0,12,0,12,0,12
2.4,Roxhill/Westwood,101,128,22,38,0,21,22,38,79,97,0,21,79,97,0,21,0,21,0,21
2.5,Highland Park,37,47,0,21,0,21,0,21,37,47,28,45,9,18,0,21,0,21,0,21
3.1,South Park,28,47,28,47,0,17,28,47,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,0,12,0,12,0,12,25,26,18,24,7,12,0,12,0,12,0,12
3.3,Duwamish/SODO,66,103,33,58,15,26,18,32,19,28,7,17,12,22,14,22,14,22,0,12
3.4,South Beacon Hill/NewHolly,249,199,116,122,0,24,116,122,111,93,17,25,94,82,22,29,13,28,9,25
3.5,Beacon Hill,36,39,0,17,0,17,0,17,36,39,8,17,28,39,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,0,24,0,24,0,24,60,73,60,73,0,24,0,24,0,24,0,24
4.1,Rainier Beach,131,108,100,99,25,44,75,91,14,33,0,27,14,33,17,34,0,27,17,34
4.2,Columbia City,56,47,20,37,0,27,20,37,36,37,11,28,25,36,0,27,0,27,0,27
4.3,Seward Park,48,60,25,42,0,17,25,42,23,28,0,17,23,28,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,139,127,0,17,0,17,0,17,139,127,60,59,79,91,0,17,0,17,0,17
5.1,Madrona/Leschi,87,94,42,68,0,21,42,68,45,42,0,21,45,42,0,21,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,10,15,0,12,10,15,0,12,0,12,0,12
5.3,Central Area/Squire Park,64,55,0,24,0,24,0,24,64,55,18,33,46,49,0,24,0,24,0,24
6.1,First Hill,320,184,74,89,0,24,74,89,246,139,53,63,193,106,0,24,0,24,0,24
6.2,Capitol Hill,303,128,0,29,0,29,0,29,272,131,52,48,220,124,31,35,31,35,0,29
6.3,North Capitol Hill,89,130,0,12,0,12,0,12,89,130,0,12,89,130,0,12,0,12,0,12
6.4,Miller Park,36,28,0,17,0,17,0,17,36,28,0,17,36,28,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,0,21,0,21,0,21,27,36,15,28,12,24,0,21,0,21,0,21
7.2,University District,178,133,19,38,0,29,19,38,140,109,22,42,118,104,19,49,19,49,0,29
7.3,Ravenna/Bryant,74,68,10,33,0,32,10,33,64,59,0,32,64,59,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,51,60,28,42,0,27,28,42,23,35,0,27,23,35,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,30,31,0,21,0,21,0,21,30,31,0,21,30,31,0,21,0,21,0,21
