area_id,area_name,b18140001,b18140001_moe,b18140002,b18140002_moe,b18140003,b18140003_moe,b18140004,b18140004_moe,b18140005,b18140005_moe,b18140006,b18140006_moe,b18140007,b18140007_moe
1.2,Fauntleroy/Seaview,109850,13036,63984,52635,106513,107477,57120,40885,111790,14316,148282,16862,90772,5682
1.3,West Seattle Junction/Genesee Hill,48312,4309,30488,8855,32104,52745,26250,31521,48847,3976,53833,12185,45867,4925
1.4,Alki/Admiral,103649,7379,79491,36102,103482,26456,16060,79268,104545,7648,135524,20495,87089,15470
2.2,High Point,67949,15883,23249,18507,36504,26602,43975,64686,73649,15725,100679,32284,62625,27825
2.3,Riverview,35487,5395,27188,23693,52875,44894,13472,17883,35752,4997,34655,7586,36610,6143
2.4,Roxhill/Westwood,113303,8707,84907,41724,134572,93561,70795,27139,114041,8709,123184,11194,106695,12461
2.5,Highland Park,26908,5798,17576,28947,4850,28625,17750,26093,28125,5919,32359,14334,24543,6177
3.1,South Park,24992,3987,19000,8641,23719,1048,15994,3360,26195,5047,31281,4049,20602,3227
3.4,South Beacon Hill/NewHolly,47622,3983,35539,28030,45779,93422,24746,50769,48054,4028,52103,5232,43151,6315
3.5,Beacon Hill,36298,7418,21458,16121,14107,13398,38026,28396,36623,8902,40574,9072,34792,9634
3.6,North Beacon Hill/Jefferson Park,58825,9396,43811,24478,40859,19223,32466,15181,61907,9928,64830,11729,61143,7835
4.1,Rainier Beach,62069,5279,64865,19463,72386,18494,29308,34823,62567,5293,66013,13412,60073,6774
4.2,Columbia City,59539,4266,64501,29775,72394,33830,33194,177162,59643,4408,57285,7605,57399,6168
4.3,Seward Park,31208,7697,39432,23302,24063,64842,40185,28761,30847,7622,26763,7665,36810,8430
4.4,Mt. Baker/North Rainier,53429,15883,34194,28838,45884,25252,33024,58451,56094,15334,72159,12419,43884,13480
5.1,Madrona/Leschi,106990,16523,36622,28499,198769,216939,34855,18843,109909,15309,148858,33371,85505,12669
5.2,Judkins Park,31111,3167,13404,5102,13322,4760,13750,25214,32350,4525,31733,5249,33917,5054
5.3,Central Area/Squire Park,130265,12229,114641,39510,180815,111683,112770,32113,132420,13796,145371,23069,119936,13217
6.1,First Hill,35467,5117,39786,36934,24571,39975,31785,46864,35088,5273,35127,7324,33481,7110
6.2,Capitol Hill,70226,14299,37190,45861,111140,233591,46947,31368,70993,15741,85695,16157,63998,8826
6.4,Miller Park,100525,9532,69375,19386,78634,44909,28357,78025,104246,9507,128417,19621,90893,12165
6.5,Madison Park,61422,10381,21953,35680,38365,44155,8750,16748,63100,11220,90714,17447,46563,7576
7.1,Montlake/Portage Bay,35800,5486,36384,11913,47734,26756,35167,6413,35680,5954,39609,16164,30865,5500
7.2,University District,19477,4225,30534,12618,28811,33710,36726,35692,18905,4121,25911,8478,13490,3962
7.3,Ravenna/Bryant,104505,11165,74876,295876,196790,135809,100040,64446,104872,12308,124335,15613,89226,10209
7.4,Wedgwood/View Ridge,182282,19001,186695,144965,188412,132893,118027,230204,181912,19706,205629,33526,160488,13970
8.1,Northgate/Maple Leaf,111779,9436,56821,29708,70967,67123,49390,31495,113982,11813,137525,19172,100697,10619
8.2,Olympic Hills/Victory Heights,106082,11702,59593,20468,59495,35942,35620,74637,110103,11295,137674,16107,93630,6247
8.3,Cedar Park/Meadowbrook,114380,9037,84436,81836,85063,136785,51023,153308,116694,8581,133286,15011,92622,24809
9.1,Broadview/Bitter Lake,68187,9704,72823,44249,81031,43689,71550,96450,67646,10617,87886,11589,54669,6609
9.2,Licton Springs,31454,2520,24952,30875,9135,13497,40379,17748,31460,2497,32045,4305,30863,4701
9.3,Greenwood/Phinney Ridge,130937,10663,97253,45267,102952,29314,65085,73919,132170,11328,145696,13711,121724,12793
9.5,Haller Lake,40899,3972,25329,31890,47934,42069,13365,20631,41062,3524,42944,7748,36667,8787
10.1,North Beach/Blue Ridge,78335,9182,32182,23816,39966,63092,18498,84630,80314,8660,89880,18677,74270,9889
10.2,Whittier Heights,97323,6740,49315,28431,47359,25910,30482,20490,99919,7766,112134,8818,92984,17178
10.3,Sunset Hill/Loyal Heights,91725,8316,29989,18432,53270,42579,26694,52464,93323,6222,100929,12280,75315,19254
10.4,Ballard,41048,5652,46833,35314,17167,87266,47167,35722,40901,5688,47024,11662,36585,8179
11.1,Fremont,133318,9302,72801,55835,77695,45301,66974,169785,134310,8735,144262,13706,122726,11445
11.2,Wallingford,99207,12168,79577,30079,80046,44711,81558,45415,101072,12459,114570,25494,88832,18935
11.3,Cascade/Eastlake,129343,9465,89626,45821,87833,34860,46301,54183,131816,9521,158756,27612,108889,16370
12.1,Magnolia,79211,16194,61696,87780,104125,9742,16902,46031,79507,15732,107195,13079,53323,8172
12.2,Interbay,87731,9094,85928,38919,89688,34239,68807,77774,88750,9640,100612,16576,83600,7904
12.3,Queen Anne,91043,9749,65487,34170,86847,98125,54419,39281,92332,10257,99338,18528,82463,10146
13.3,Pioneer Square/International District,47672,4734,37692,82318,34063,76962,28252,289349,48286,5527,53814,10957,42210,8869
