area_id,area_name,b19001b001,b19001b001_moe,b19001b002,b19001b002_moe,b19001b003,b19001b003_moe,b19001b004,b19001b004_moe,b19001b005,b19001b005_moe,b19001b006,b19001b006_moe,b19001b007,b19001b007_moe,b19001b008,b19001b008_moe,b19001b009,b19001b009_moe,b19001b010,b19001b010_moe,b19001b011,b19001b011_moe,b19001b012,b19001b012_moe,b19001b013,b19001b013_moe,b19001b014,b19001b014_moe,b19001b015,b19001b015_moe,b19001b016,b19001b016_moe,b19001b017,b19001b017_moe
1.1,Arbor Heights,54,53,0,17,0,17,0,17,28,47,0,17,0,17,0,17,0,17,0,17,14,23,0,17,0,17,0,17,12,23,0,17,0,17
1.2,Fauntleroy/Seaview,79,85,42,70,0,24,0,24,14,29,0,24,0,24,0,24,0,24,0,24,0,24,23,42,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,192,136,33,45,79,100,54,88,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,33,13,32,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,156,107,0,24,0,24,41,46,0,24,0,24,0,24,43,69,0,24,0,24,0,24,23,41,0,24,49,57,0,24,0,24,0,24
2.1,North Delridge,97,81,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,55,80,13,20,19,33,0,12,0,12
2.2,High Point,688,177,229,129,32,39,150,129,87,64,8,19,0,17,7,19,25,41,29,49,20,33,47,44,54,60,0,17,0,17,0,17,0,17
2.3,Riverview,151,74,0,12,43,52,0,12,25,33,0,12,0,12,0,12,10,16,0,12,0,12,23,34,0,12,0,12,50,70,0,12,0,12
2.4,Roxhill/Westwood,532,159,49,38,21,28,26,36,105,77,15,30,26,46,13,27,30,50,13,25,41,53,72,88,98,92,0,21,0,21,14,28,9,22
2.5,Highland Park,177,71,17,30,0,21,0,21,6,20,0,21,18,32,0,21,29,50,0,21,12,25,20,35,32,38,0,21,43,28,0,21,0,21
3.1,South Park,95,53,0,17,0,17,9,18,20,30,0,17,10,21,0,17,0,17,24,33,8,18,9,18,15,27,0,17,0,17,0,17,0,17
3.2,Georgetown,16,21,0,12,0,12,0,12,0,12,0,12,0,12,8,15,8,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,140,102,30,48,0,12,0,12,0,12,0,12,0,12,11,18,64,75,0,12,26,28,0,12,9,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,1281,221,288,137,97,70,72,65,138,84,124,106,62,60,63,73,87,73,109,83,74,52,17,29,44,44,57,51,0,24,35,57,14,31
3.5,Beacon Hill,347,130,73,49,0,17,22,27,42,69,0,17,20,31,13,24,0,17,0,17,32,39,0,17,9,19,0,17,37,36,70,64,29,43
3.6,North Beacon Hill/Jefferson Park,850,174,71,54,95,57,43,53,217,171,29,58,79,89,123,93,128,107,0,24,21,33,13,28,31,41,0,24,0,24,0,24,0,24
4.1,Rainier Beach,1829,237,243,116,40,39,65,70,119,97,162,125,162,104,80,72,129,119,96,81,232,120,189,123,123,104,122,95,48,53,19,33,0,27
4.2,Columbia City,1985,293,265,136,183,120,154,96,143,96,242,140,156,96,111,84,69,49,38,39,110,81,146,124,206,99,70,72,16,33,26,46,50,54
4.3,Seward Park,647,136,82,75,7,17,38,35,11,21,47,41,20,23,28,44,31,30,10,21,124,85,66,89,100,78,43,43,0,17,40,39,0,17
4.4,Mt. Baker/North Rainier,374,143,44,47,0,17,20,31,0,17,14,22,64,85,21,29,13,22,41,66,64,48,15,23,51,49,14,24,0,17,0,17,13,20
5.1,Madrona/Leschi,900,179,90,76,29,33,90,108,57,62,18,35,20,32,75,85,42,41,73,80,38,37,30,39,186,127,95,61,0,21,22,37,35,45
5.2,Judkins Park,433,128,85,57,61,56,15,18,16,28,12,19,55,65,8,12,33,52,0,12,83,52,31,37,32,46,2,7,0,12,0,12,0,12
5.3,Central Area/Squire Park,1611,237,210,105,188,105,58,41,158,99,127,69,94,77,53,48,50,46,101,69,115,73,86,70,151,114,67,68,72,71,26,36,55,50
6.1,First Hill,600,176,164,91,71,64,41,37,91,101,17,28,33,49,24,33,48,50,0,24,47,47,20,38,32,42,0,24,0,24,0,24,12,27
6.2,Capitol Hill,816,254,143,95,124,105,128,124,60,72,111,110,29,41,0,29,53,57,31,45,14,35,91,92,0,29,32,44,0,29,0,29,0,29
6.3,North Capitol Hill,18,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,284,93,17,22,24,27,0,17,7,17,55,50,41,51,23,38,10,20,9,18,48,42,0,17,0,17,33,39,9,18,0,17,8,17
6.5,Madison Park,40,40,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,32,0,17,10,16,0,17,0,17,0,17,0,17,10,17
7.1,Montlake/Portage Bay,86,76,0,21,0,21,0,21,0,21,11,25,0,21,0,21,0,21,0,21,0,21,0,21,13,27,23,38,0,21,0,21,39,63
7.2,University District,142,102,41,69,16,35,0,29,21,42,0,29,19,38,0,29,14,33,0,29,0,29,0,29,0,29,15,33,16,34,0,29,0,29
7.3,Ravenna/Bryant,218,95,5,31,8,31,24,39,0,32,18,42,15,37,0,32,0,32,31,44,9,33,13,35,36,41,6,32,0,32,34,59,19,43
7.4,Wedgwood/View Ridge,121,79,0,27,29,46,0,27,0,27,0,27,0,27,0,27,0,27,0,27,34,57,0,27,10,29,9,28,0,27,16,28,23,35
7.5,Laurelhurst/Sand Point,71,83,51,73,0,21,20,34,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,326,143,0,24,21,38,0,24,60,58,87,104,29,50,19,32,0,24,0,24,0,24,12,29,45,58,40,59,13,30,0,24,0,24
8.2,Olympic Hills/Victory Heights,299,150,85,94,0,24,0,24,0,24,0,24,40,65,41,71,0,24,0,24,37,43,44,52,18,33,0,24,0,24,12,29,22,39
8.3,Cedar Park/Meadowbrook,313,167,42,59,59,79,13,30,62,79,28,37,16,33,23,42,0,27,12,31,12,30,0,27,15,35,6,26,25,36,0,27,0,27
9.1,Broadview/Bitter Lake,529,195,127,116,69,67,64,75,71,86,86,100,20,44,0,27,16,33,29,41,17,37,20,38,10,28,0,27,0,27,0,27,0,27
9.2,Licton Springs,180,102,19,33,0,17,46,54,0,17,30,50,34,50,0,17,15,29,0,17,0,17,36,57,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,141,84,39,44,0,29,0,29,0,29,20,40,0,29,0,29,0,29,6,29,0,29,7,29,11,34,18,40,0,29,40,64,0,29
9.4,Green Lake,113,93,18,33,67,86,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,30,0,24,0,24,15,30,0,24
9.5,Haller Lake,236,141,83,95,0,21,18,31,0,21,0,21,12,25,0,21,0,21,31,39,20,34,49,81,0,21,23,37,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,47,70,0,21,0,21,0,21,0,21,0,21,47,70,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
10.2,Whittier Heights,57,65,0,24,0,24,0,24,0,24,0,24,0,24,18,33,0,24,0,24,0,24,0,24,0,24,39,61,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,14,28,17,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.4,Ballard,58,49,0,17,0,17,0,17,22,35,0,17,0,17,0,17,0,17,16,27,3,12,0,17,17,26,0,17,0,17,0,17,0,17
11.1,Fremont,51,48,13,28,0,24,0,24,0,24,0,24,0,24,18,35,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,20,38
11.2,Wallingford,206,131,42,67,17,33,87,101,0,27,32,41,0,27,0,27,0,27,0,27,0,27,15,32,0,27,0,27,0,27,13,32,0,27
11.3,Cascade/Eastlake,415,162,83,62,81,89,0,21,40,59,12,25,18,33,0,21,44,32,0,21,0,21,0,21,81,96,18,34,0,21,38,49,0,21
12.1,Magnolia,17,32,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,32
12.2,Interbay,224,129,0,21,0,21,0,21,0,21,19,32,0,21,16,29,0,21,0,21,28,32,74,80,48,78,0,21,39,59,0,21,0,21
12.3,Queen Anne,565,246,0,40,53,80,146,149,45,74,0,40,0,40,43,78,32,63,49,84,80,100,0,40,29,46,44,60,0,40,44,52,0,40
13.1,Belltown,499,216,147,144,124,103,34,41,37,49,18,34,46,75,67,77,0,21,0,21,0,21,0,21,14,27,0,21,0,21,12,22,0,21
13.2,Downtown Commercial Core,207,102,110,87,14,23,0,12,30,33,0,12,0,12,0,12,17,29,0,12,0,12,22,33,14,23,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,367,132,135,80,42,52,30,28,45,36,12,22,7,18,0,17,0,17,0,17,3,16,15,18,32,46,36,59,0,17,0,17,10,20
