area_id,area_name,b19001f001,b19001f001_moe,b19001f002,b19001f002_moe,b19001f003,b19001f003_moe,b19001f004,b19001f004_moe,b19001f005,b19001f005_moe,b19001f006,b19001f006_moe,b19001f007,b19001f007_moe,b19001f008,b19001f008_moe,b19001f009,b19001f009_moe,b19001f010,b19001f010_moe,b19001f011,b19001f011_moe,b19001f012,b19001f012_moe,b19001f013,b19001f013_moe,b19001f014,b19001f014_moe,b19001f015,b19001f015_moe,b19001f016,b19001f016_moe,b19001f017,b19001f017_moe
1.1,Arbor Heights,15,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,24,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,17,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,15,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,2,23
1.3,West Seattle Junction/Genesee Hill,13,31,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,13,31,0,29,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,83,73,0,12,0,12,0,12,54,81,0,12,0,12,0,12,0,12,0,12,0,12,16,26,13,22,0,12,0,12,0,12,0,12
2.2,High Point,14,21,0,17,0,17,0,17,10,22,0,17,0,17,0,17,0,17,0,17,4,16,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,191,111,0,21,31,51,32,49,36,60,0,21,22,38,0,21,10,25,21,39,0,21,0,21,22,37,17,32,0,21,0,21,0,21
2.5,Highland Park,40,48,0,21,0,21,19,33,0,21,21,35,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,32,32,0,17,7,16,0,17,0,17,0,17,0,17,0,17,0,17,10,21,0,17,15,28,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,18,24,0,12,0,12,0,12,0,12,0,12,0,12,18,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,21,33,0,12,0,12,21,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,28,34,0,24,0,24,0,24,0,24,0,24,0,24,16,33,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24
3.5,Beacon Hill,36,41,18,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,22,0,17,0,17,0,17,12,22
3.6,North Beacon Hill/Jefferson Park,95,87,0,24,0,24,10,27,0,24,66,81,0,24,0,24,0,24,0,24,19,37,0,24,0,24,0,24,0,24,0,24,0,24
4.1,Rainier Beach,110,93,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,47,58,14,31,49,75,0,27,0,27,0,27
4.2,Columbia City,80,67,40,48,0,27,0,27,0,27,0,27,16,33,0,27,0,27,0,27,0,27,0,27,17,34,7,33,0,27,0,27,0,27
4.3,Seward Park,32,40,24,40,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,18,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,22,0,17,0,17
5.1,Madrona/Leschi,52,50,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,16,32,0,21,21,39,0,21,15,27
5.2,Judkins Park,14,23,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,43,36,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,30,0,24,21,30,9,25,0,24,0,24,0,24
6.1,First Hill,138,80,24,33,0,24,0,24,0,24,14,30,29,50,0,24,23,42,18,35,0,24,19,39,0,24,11,32,0,24,0,24,0,24
6.2,Capitol Hill,80,53,30,39,0,29,0,29,0,29,0,29,0,29,0,29,12,33,0,29,0,29,0,29,0,29,24,35,0,29,0,29,14,33
6.3,North Capitol Hill,20,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,31,0,12,0,12,0,12
6.4,Miller Park,8,18,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,18,0,17,0,17
6.5,Madison Park,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,58,77,0,21,0,21,0,21,0,21,49,77,0,21,0,21,0,21,0,21,0,21,0,21,9,23,0,21,0,21,0,21,0,21
7.2,University District,121,121,50,84,53,84,0,29,0,29,0,29,0,29,0,29,18,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,88,69,44,61,0,32,14,38,0,32,0,32,13,36,0,32,0,32,0,32,0,32,0,32,9,33,0,32,0,32,8,32,0,32
7.4,Wedgwood/View Ridge,22,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,12,28,0,27,0,27,10,28,0,27,0,27
7.5,Laurelhurst/Sand Point,17,26,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,17,26,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,99,80,0,24,15,29,0,24,57,71,0,24,0,24,0,24,0,24,0,24,0,24,0,24,27,34,0,24,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,92,80,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,60,72,17,34,15,31,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,186,100,10,29,0,27,0,27,17,36,0,27,0,27,0,27,0,27,53,70,0,27,71,65,30,48,5,25,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,53,48,0,27,0,27,0,27,19,36,0,27,0,27,10,27,0,27,0,27,0,27,19,36,0,27,0,27,5,26,0,27,0,27
9.2,Licton Springs,82,61,0,17,0,17,0,17,0,17,0,17,0,17,0,17,29,30,12,22,30,49,0,17,11,21,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,189,108,0,29,0,29,9,31,39,66,0,29,45,64,10,31,8,30,51,61,13,34,0,29,0,29,14,35,0,29,0,29,0,29
9.4,Green Lake,115,89,18,34,0,24,0,24,0,24,0,24,46,70,15,30,0,24,0,24,0,24,20,38,0,24,0,24,0,24,16,30,0,24
9.5,Haller Lake,123,108,0,21,0,21,0,21,0,21,0,21,22,37,0,21,62,96,0,21,0,21,0,21,25,28,0,21,0,21,14,25,0,21
10.1,North Beach/Blue Ridge,41,52,0,21,0,21,11,25,0,21,0,21,0,21,0,21,30,50,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
10.2,Whittier Heights,52,62,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,33,0,24,0,24,35,58,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,33,35,19,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,27,0,24,0,24,0,24,0,24,0,24,0,24
10.4,Ballard,30,36,0,17,0,17,15,25,0,17,0,17,0,17,0,17,0,17,0,17,15,26,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,66,69,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,39,64,12,26,15,30,0,24,0,24,0,24
11.2,Wallingford,17,33,0,27,0,27,17,33,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,188,132,32,53,0,21,10,23,0,21,0,21,75,99,0,21,15,29,0,21,0,21,0,21,15,29,41,67,0,21,0,21,0,21
12.1,Magnolia,25,44,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,25,44
12.2,Interbay,22,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,24,10,22,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,139,91,0,40,30,61,0,40,0,40,0,40,0,40,0,40,23,45,0,40,0,40,50,74,22,44,14,44,0,40,0,40,0,40
13.1,Belltown,52,55,0,21,0,21,0,21,0,21,21,32,31,49,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,93,94,14,21,0,12,0,12,0,12,0,12,0,12,67,89,0,12,0,12,0,12,0,12,0,12,12,20,0,12,0,12,0,12
13.3,Pioneer Square/International District,33,38,8,18,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,25,36,0,17,0,17,0,17,0,17,0,17
