area_id,area_name,b19013a001,b19013a001_moe
1.1,Arbor Heights,183676,26190
1.2,Fauntleroy/Seaview,187440,11345
1.3,West Seattle Junction/Genesee Hill,219350,15098
1.4,Alki/Admiral,148534,14460
2.1,North Delridge,78000,12423
2.2,High Point,142214,26266
2.3,Riverview,65833,12259
2.4,Roxhill/Westwood,192575,22864
2.5,Highland Park,49615,12607
3.1,South Park,40375,9610
3.2,Georgetown,33646,13629
3.3,Duwamish/SODO,60577,7742
3.4,South Beacon Hill/NewHolly,177053,32111
3.5,Beacon Hill,185856,60267
3.6,North Beacon Hill/Jefferson Park,198958,36127
4.1,Rainier Beach,130236,20313
4.2,Columbia City,231238,33712
4.3,Seward Park,182519,26599
4.4,Mt. Baker/North Rainier,137857,41398
5.1,Madrona/Leschi,261475,28940
5.2,Judkins Park,53068,10004
5.3,Central Area/Squire Park,297070,29739
6.1,First Hill,164922,18250
6.2,Capitol Hill,188612,22091
6.3,North Capitol Hill,83167,14999
6.4,Miller Park,192851,14127
6.5,Madison Park,108203,20138
7.1,Montlake/Portage Bay,191964,18380
7.2,University District,84657,55775
7.3,Ravenna/Bryant,486077,35883
7.4,Wedgwood/View Ridge,363340,30573
7.5,Laurelhurst/Sand Point,190429,27193
8.1,Northgate/Maple Leaf,181088,16625
8.2,Olympic Hills/Victory Heights,194100,28215
8.3,Cedar Park/Meadowbrook,274263,28932
9.1,Broadview/Bitter Lake,195701,19612
9.2,Licton Springs,132206,13162
9.3,Greenwood/Phinney Ridge,483384,33859
9.4,Green Lake,271206,24678
9.5,Haller Lake,128935,20945
10.1,North Beach/Blue Ridge,260994,21971
10.2,Whittier Heights,164244,9252
10.3,Sunset Hill/Loyal Heights,165421,22710
10.4,Ballard,64266,6874
11.1,Fremont,213007,18246
11.2,Wallingford,314527,37958
11.3,Cascade/Eastlake,163307,18582
12.1,Magnolia,227160,14404
12.2,Interbay,129998,12659
12.3,Queen Anne,558651,36654
13.1,Belltown,139167,24392
13.2,Downtown Commercial Core,52903,24810
13.3,Pioneer Square/International District,63164,10053
