area_id,area_name,b19025d001,b19025d001_moe
1.1,Arbor Heights,12754600,9053057
1.2,Fauntleroy/Seaview,28016200,17223302
1.3,West Seattle Junction/Genesee Hill,18562000,11785559
1.4,Alki/Admiral,29784700,13188700
2.1,North Delridge,19034200,10636173
2.2,High Point,30581900,11060816
2.3,Riverview,35393400,12376183
2.4,Roxhill/Westwood,34091900,10512759
2.5,Highland Park,22656700,8715133
3.1,South Park,9924600,3492985
3.3,Duwamish/SODO,14733800,5684973
3.4,South Beacon Hill/NewHolly,134998500,18169216
3.5,Beacon Hill,118617300,20350224
3.6,North Beacon Hill/Jefferson Park,123077900,17012579
4.1,Rainier Beach,77233300,16116989
4.2,Columbia City,101634400,22833925
4.3,Seward Park,38492000,7914188
4.4,Mt. Baker/North Rainier,20071700,8790677
5.1,Madrona/Leschi,61583600,26625062
5.2,Judkins Park,20528800,6599062
5.3,Central Area/Squire Park,31838600,12499485
6.1,First Hill,50039100,17789355
6.2,Capitol Hill,73762000,21027474
6.3,North Capitol Hill,25093300,21727188
6.4,Miller Park,27088700,17234804
6.5,Madison Park,3543600,3450028
7.1,Montlake/Portage Bay,15310800,6361734
7.2,University District,31261500,9217278
7.3,Ravenna/Bryant,79598800,18680102
7.4,Wedgwood/View Ridge,71565800,18842443
7.5,Laurelhurst/Sand Point,80698700,34232009
8.1,Northgate/Maple Leaf,69814500,24387359
8.2,Olympic Hills/Victory Heights,70279400,17971856
8.3,Cedar Park/Meadowbrook,42507300,15114009
9.1,Broadview/Bitter Lake,30893700,12844237
9.2,Licton Springs,47435500,15642913
9.3,Greenwood/Phinney Ridge,53547100,16055728
9.4,Green Lake,30507700,10800038
9.5,Haller Lake,45538200,12382206
10.1,North Beach/Blue Ridge,20516600,8861198
10.2,Whittier Heights,21023200,10457183
10.3,Sunset Hill/Loyal Heights,18617800,8175101
10.4,Ballard,19508300,10913909
11.1,Fremont,44579400,16979271
11.2,Wallingford,50759800,17396295
11.3,Cascade/Eastlake,141746300,73976933
12.1,Magnolia,27320000,12672636
12.2,Interbay,17190400,9174438
12.3,Queen Anne,139774300,30798085
13.1,Belltown,64426400,26473061
13.2,Downtown Commercial Core,23295600,21640787
13.3,Pioneer Square/International District,35938600,6922135
