area_id,area_name,b19037d001,b19037d001_moe,b19037d002,b19037d002_moe,b19037d003,b19037d003_moe,b19037d004,b19037d004_moe,b19037d005,b19037d005_moe,b19037d006,b19037d006_moe,b19037d007,b19037d007_moe,b19037d008,b19037d008_moe,b19037d009,b19037d009_moe,b19037d010,b19037d010_moe,b19037d011,b19037d011_moe,b19037d012,b19037d012_moe,b19037d013,b19037d013_moe,b19037d014,b19037d014_moe,b19037d015,b19037d015_moe,b19037d016,b19037d016_moe,b19037d017,b19037d017_moe,b19037d018,b19037d018_moe,b19037d019,b19037d019_moe,b19037d020,b19037d020_moe,b19037d021,b19037d021_moe,b19037d022,b19037d022_moe,b19037d023,b19037d023_moe,b19037d024,b19037d024_moe,b19037d025,b19037d025_moe,b19037d026,b19037d026_moe,b19037d027,b19037d027_moe,b19037d028,b19037d028_moe,b19037d029,b19037d029_moe,b19037d030,b19037d030_moe,b19037d031,b19037d031_moe,b19037d032,b19037d032_moe,b19037d033,b19037d033_moe,b19037d034,b19037d034_moe,b19037d035,b19037d035_moe,b19037d036,b19037d036_moe,b19037d037,b19037d037_moe,b19037d038,b19037d038_moe,b19037d039,b19037d039_moe,b19037d040,b19037d040_moe,b19037d041,b19037d041_moe,b19037d042,b19037d042_moe,b19037d043,b19037d043_moe,b19037d044,b19037d044_moe,b19037d045,b19037d045_moe,b19037d046,b19037d046_moe,b19037d047,b19037d047_moe,b19037d048,b19037d048_moe,b19037d049,b19037d049_moe,b19037d050,b19037d050_moe,b19037d051,b19037d051_moe,b19037d052,b19037d052_moe,b19037d053,b19037d053_moe,b19037d054,b19037d054_moe,b19037d055,b19037d055_moe,b19037d056,b19037d056_moe,b19037d057,b19037d057_moe,b19037d058,b19037d058_moe,b19037d059,b19037d059_moe,b19037d060,b19037d060_moe,b19037d061,b19037d061_moe,b19037d062,b19037d062_moe,b19037d063,b19037d063_moe,b19037d064,b19037d064_moe,b19037d065,b19037d065_moe,b19037d066,b19037d066_moe,b19037d067,b19037d067_moe,b19037d068,b19037d068_moe,b19037d069,b19037d069_moe
1.1,Arbor Heights,106,53,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,24,23,32,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,32,0,17,0,17,69,40,0,17,0,17,13,23,20,25,13,23,0,17,0,17,0,17,0,17,0,17,6,16,9,18,0,17,0,17,0,17,8,18
1.2,Fauntleroy/Seaview,240,96,34,43,0,24,0,24,15,29,0,24,0,24,0,24,0,24,0,24,0,24,19,35,0,24,0,24,0,24,0,24,0,24,0,24,142,90,0,24,19,34,15,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,30,35,0,24,31,49,47,63,30,28,4,20,0,24,8,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,26,0,24,5,19,0,24,34,31,0,24,0,24,0,24,10,23,0,24,0,24,0,24,0,24,0,24,0,24,12,24,0,24,0,24,0,24,0,24,12,27
1.3,West Seattle Junction/Genesee Hill,178,79,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,82,62,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,16,36,0,29,0,29,33,43,0,29,0,29,15,33,18,38,76,49,0,29,0,29,0,29,0,29,0,29,0,29,0,29,14,33,10,29,32,33,0,29,0,29,0,29,0,29,11,31,9,28,20,35,0,29,0,29,0,29,11,31,0,29,0,29,0,29,0,29,0,29,0,29,9,28,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,302,114,24,40,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,40,0,24,0,24,0,24,0,24,0,24,142,70,0,24,0,24,0,24,0,24,0,24,19,33,0,24,0,24,0,24,0,24,36,44,31,39,41,40,0,24,0,24,15,29,80,87,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,31,52,83,11,25,0,24,0,24,56,51,13,27,0,24,0,24,0,24,0,24,0,24,24,40,0,24,0,24,0,24,0,24,0,24,0,24,0,24,19,35,0,24
2.1,North Delridge,212,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,105,77,0,12,0,12,0,12,0,12,0,12,0,12,14,23,0,12,35,57,10,20,13,22,16,26,0,12,0,12,0,12,17,26,73,52,24,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,0,12,35,45,0,12,34,39,0,12,0,12,0,12,0,12,11,19,0,12,0,12,0,12,0,12,0,12,0,12,23,34,0,12,0,12,0,12,0,12
2.2,High Point,590,146,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,184,125,52,81,0,17,0,17,14,24,0,17,0,17,0,17,0,17,0,17,0,17,0,17,61,82,16,30,41,48,0,17,0,17,292,107,17,30,59,52,29,48,0,17,0,17,0,17,26,35,55,74,0,17,44,46,15,26,8,18,0,17,0,17,24,30,15,25,114,67,83,73,0,17,9,20,0,17,0,17,0,17,0,17,16,26,0,17,6,19,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,228,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,57,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,16,13,21,0,12,0,12,32,27,132,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,24,26,48,36,8,13,0,12,9,16,33,44,39,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,9,16,8,15,10,15,0,12,0,12,7,11,0,12
2.4,Roxhill/Westwood,491,129,37,60,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,37,60,0,21,0,21,0,21,0,21,0,21,214,82,0,21,0,21,0,21,5,19,0,21,0,21,0,21,0,21,0,21,19,26,72,48,52,61,9,22,21,32,36,40,0,21,138,73,0,21,0,21,0,21,0,21,37,46,11,29,0,21,0,21,50,50,4,19,7,21,20,29,0,21,9,26,0,21,0,21,102,66,33,49,15,29,0,21,0,21,0,21,0,21,0,21,0,21,0,21,32,48,14,22,0,21,8,23,0,21,0,21,0,21
2.5,Highland Park,267,78,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,81,55,0,21,0,21,0,21,0,21,19,31,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,36,43,17,34,9,22,120,67,0,21,0,21,0,21,0,21,0,21,31,40,0,21,0,21,0,21,56,52,15,25,0,21,11,22,7,18,0,21,0,21,66,50,0,21,15,27,0,21,22,36,0,21,0,21,0,21,0,21,0,21,0,21,9,22,0,21,0,21,0,21,0,21,20,29
3.1,South Park,191,51,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,55,38,0,17,0,17,0,17,0,17,0,17,0,17,28,33,0,17,6,16,0,17,8,18,0,17,7,16,0,17,6,15,0,17,107,45,7,16,0,17,23,35,5,14,0,17,8,18,29,30,0,17,16,28,8,18,0,17,11,20,0,17,0,17,0,17,0,17,29,44,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,26,44,3,14,0,17,0,17,0,17,0,17
