area_id,area_name,b19037h001,b19037h001_moe,b19037h002,b19037h002_moe,b19037h003,b19037h003_moe,b19037h004,b19037h004_moe,b19037h005,b19037h005_moe,b19037h006,b19037h006_moe,b19037h007,b19037h007_moe,b19037h008,b19037h008_moe,b19037h009,b19037h009_moe,b19037h010,b19037h010_moe,b19037h011,b19037h011_moe,b19037h012,b19037h012_moe,b19037h013,b19037h013_moe,b19037h014,b19037h014_moe,b19037h015,b19037h015_moe,b19037h016,b19037h016_moe,b19037h017,b19037h017_moe,b19037h018,b19037h018_moe,b19037h019,b19037h019_moe,b19037h020,b19037h020_moe,b19037h021,b19037h021_moe,b19037h022,b19037h022_moe,b19037h023,b19037h023_moe,b19037h024,b19037h024_moe,b19037h025,b19037h025_moe,b19037h026,b19037h026_moe,b19037h027,b19037h027_moe,b19037h028,b19037h028_moe,b19037h029,b19037h029_moe,b19037h030,b19037h030_moe,b19037h031,b19037h031_moe,b19037h032,b19037h032_moe,b19037h033,b19037h033_moe,b19037h034,b19037h034_moe,b19037h035,b19037h035_moe,b19037h036,b19037h036_moe,b19037h037,b19037h037_moe,b19037h038,b19037h038_moe,b19037h039,b19037h039_moe,b19037h040,b19037h040_moe,b19037h041,b19037h041_moe,b19037h042,b19037h042_moe,b19037h043,b19037h043_moe,b19037h044,b19037h044_moe,b19037h045,b19037h045_moe,b19037h046,b19037h046_moe,b19037h047,b19037h047_moe,b19037h048,b19037h048_moe,b19037h049,b19037h049_moe,b19037h050,b19037h050_moe,b19037h051,b19037h051_moe,b19037h052,b19037h052_moe,b19037h053,b19037h053_moe,b19037h054,b19037h054_moe,b19037h055,b19037h055_moe,b19037h056,b19037h056_moe,b19037h057,b19037h057_moe,b19037h058,b19037h058_moe,b19037h059,b19037h059_moe,b19037h060,b19037h060_moe,b19037h061,b19037h061_moe,b19037h062,b19037h062_moe,b19037h063,b19037h063_moe,b19037h064,b19037h064_moe,b19037h065,b19037h065_moe,b19037h066,b19037h066_moe,b19037h067,b19037h067_moe,b19037h068,b19037h068_moe,b19037h069,b19037h069_moe
1.1,Arbor Heights,2258,138,15,28,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,28,0,17,0,17,0,17,0,17,0,17,0,17,814,116,0,17,0,17,8,17,6,16,43,39,0,17,20,21,78,62,0,17,40,44,71,43,176,63,154,82,37,29,89,57,92,54,965,107,10,21,0,17,7,16,0,17,12,23,18,20,45,34,28,28,32,27,98,50,85,43,218,82,128,66,33,34,139,57,112,61,464,76,0,17,10,20,13,19,27,27,29,29,50,37,35,29,7,17,35,24,29,23,92,65,21,19,43,34,40,33,23,22,10,19
1.2,Fauntleroy/Seaview,5752,238,54,50,0,24,16,30,0,24,0,24,0,24,0,24,0,24,20,34,18,32,0,24,0,24,0,24,0,24,0,24,0,24,0,24,2092,232,17,31,11,25,0,24,0,24,16,31,86,61,53,48,34,43,137,94,97,63,230,114,283,125,269,117,280,124,201,84,378,141,2427,203,103,72,84,54,47,47,71,77,87,57,61,57,70,72,59,41,71,53,122,70,143,72,268,98,415,126,181,81,251,97,394,116,1179,147,17,33,77,55,84,60,31,35,179,83,45,47,59,48,32,35,33,36,93,57,32,37,214,92,49,45,65,51,54,43,115,95
1.3,West Seattle Junction/Genesee Hill,7487,264,205,103,0,29,18,38,0,29,15,33,12,31,12,32,0,29,65,77,0,29,26,34,0,29,15,33,42,41,0,29,0,29,0,29,2872,235,131,88,59,52,20,29,26,49,18,38,90,62,84,82,16,35,107,97,286,113,353,152,433,123,308,99,167,84,494,144,280,115,2881,260,140,117,85,73,82,59,48,46,113,98,109,82,142,92,102,79,101,89,147,74,258,108,422,129,419,135,259,110,287,113,167,71,1529,186,61,50,117,86,88,54,160,99,92,54,161,86,86,59,73,52,57,45,111,68,115,67,228,97,67,57,69,60,0,29,44,44
1.4,Alki/Admiral,4972,268,22,30,0,24,0,24,0,24,0,24,0,24,0,24,22,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1752,238,52,64,52,49,41,69,40,48,170,104,71,54,73,67,19,35,175,90,69,71,202,103,177,91,198,87,107,71,124,68,182,98,1961,189,57,47,34,33,51,50,62,79,69,67,29,34,29,32,34,33,41,50,101,64,119,67,298,106,196,86,219,88,284,100,338,108,1237,151,60,49,146,94,82,72,17,30,76,50,99,77,31,39,102,60,46,42,111,64,104,51,120,60,41,37,50,42,9,23,143,105
2.1,North Delridge,1729,155,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,895,149,27,31,0,12,13,22,0,12,15,24,49,46,54,79,45,73,79,74,76,55,82,56,173,106,72,60,65,49,71,78,74,63,669,113,35,46,13,22,22,32,0,12,0,12,18,30,15,24,35,40,19,32,56,71,80,54,21,27,99,77,28,32,178,90,50,49,165,58,0,12,0,12,0,12,34,33,15,24,27,41,14,21,0,12,0,12,30,32,0,12,16,25,0,12,29,36,0,12,0,12
2.2,High Point,1295,194,96,89,13,24,0,17,0,17,13,25,55,85,0,17,0,17,0,17,4,14,0,17,11,20,0,17,0,17,0,17,0,17,0,17,713,148,47,75,11,22,0,17,26,43,0,17,10,20,41,68,16,28,0,17,60,52,24,38,166,84,26,32,60,44,126,92,100,84,324,97,33,31,49,42,10,19,17,30,0,17,0,17,0,17,13,25,0,17,6,16,56,59,52,40,52,45,8,18,28,29,0,17,162,70,37,36,13,26,9,18,9,20,24,33,11,22,10,20,11,15,8,18,11,20,0,17,7,17,12,22,0,17,0,17,0,17
2.3,Riverview,1079,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,453,105,0,12,0,12,29,46,0,12,20,22,37,44,0,12,16,19,0,12,26,24,81,58,66,41,112,59,14,17,26,25,26,40,503,97,29,27,0,12,26,26,24,23,17,19,17,21,58,49,42,50,0,12,31,29,56,35,87,58,38,29,47,33,18,21,13,21,123,48,0,12,0,12,0,12,40,36,8,13,16,19,0,12,0,12,7,11,0,12,0,12,24,21,7,13,7,11,5,9,9,14
2.4,Roxhill/Westwood,3331,244,74,49,11,25,13,29,0,21,0,21,9,23,0,21,0,21,14,28,0,21,15,29,12,25,0,21,0,21,0,21,0,21,0,21,1487,195,31,31,5,20,20,29,9,22,35,34,43,34,121,90,39,37,25,35,181,79,197,86,221,79,185,88,206,78,143,69,26,27,1140,136,28,31,29,35,39,36,46,40,48,37,78,54,38,32,17,23,41,35,116,62,111,57,182,68,148,69,129,80,60,43,30,32,630,124,13,27,73,46,113,59,33,36,57,42,34,30,56,49,24,29,7,20,50,43,42,38,97,73,0,21,11,25,0,21,20,27
2.5,Highland Park,1657,182,15,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,15,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,601,113,22,35,31,39,0,21,18,31,58,52,23,38,17,30,28,35,0,21,51,47,158,85,70,51,33,40,54,49,38,43,0,21,547,127,52,49,30,38,36,43,40,45,0,21,0,21,18,31,22,38,12,23,47,45,98,61,38,37,94,60,5,17,10,20,45,69,494,131,74,61,79,83,66,57,33,39,79,58,19,32,33,53,18,31,0,21,16,28,39,42,27,33,11,22,0,21,0,21,0,21
3.1,South Park,546,105,10,22,0,17,0,17,10,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,222,74,21,28,0,17,11,22,23,28,14,20,0,17,36,42,0,17,8,18,20,29,6,15,55,39,21,23,7,16,0,17,0,17,262,84,26,43,6,16,0,17,7,16,31,39,36,47,0,17,49,48,12,19,9,19,22,22,34,33,0,17,17,24,0,17,13,27,52,38,0,17,0,17,0,17,0,17,16,21,0,17,15,22,0,17,0,17,0,17,14,26,0,17,0,17,7,17,0,17,0,17
