area_id,area_name,b19101001,b19101001_moe,b19101002,b19101002_moe,b19101003,b19101003_moe,b19101004,b19101004_moe,b19101005,b19101005_moe,b19101006,b19101006_moe,b19101007,b19101007_moe,b19101008,b19101008_moe,b19101009,b19101009_moe,b19101010,b19101010_moe,b19101011,b19101011_moe,b19101012,b19101012_moe,b19101013,b19101013_moe,b19101014,b19101014_moe,b19101015,b19101015_moe,b19101016,b19101016_moe,b19101017,b19101017_moe
1.1,Arbor Heights,1585,134,0,17,0,17,35,35,36,37,57,49,7,17,32,28,16,22,64,42,94,52,156,59,301,86,250,81,144,64,190,74,203,79
1.2,Fauntleroy/Seaview,3390,270,29,33,24,28,49,41,50,44,65,54,62,60,120,81,100,68,55,50,80,58,254,107,419,140,518,159,393,141,460,118,712,170
1.3,West Seattle Junction/Genesee Hill,4165,272,91,77,50,52,8,27,27,36,112,96,48,49,131,102,136,72,110,84,277,104,374,130,665,158,595,156,472,152,584,139,485,148
1.4,Alki/Admiral,2475,222,46,42,0,24,41,46,90,92,31,35,43,39,59,52,45,37,25,43,132,98,193,85,273,110,344,110,328,115,310,102,515,141
2.1,North Delridge,979,163,15,24,17,26,13,22,54,81,13,22,20,31,14,23,16,27,35,57,102,79,95,63,202,107,101,60,92,62,119,71,71,61
2.2,High Point,1514,206,162,128,85,58,177,131,109,69,22,38,24,34,49,38,92,62,29,49,63,46,169,100,168,90,102,61,90,55,87,56,86,71
2.3,Riverview,1096,109,9,14,43,52,29,46,50,47,28,27,44,33,18,16,78,60,19,22,28,27,100,56,239,80,145,71,92,74,77,48,97,65
2.4,Roxhill/Westwood,2961,229,96,66,97,71,47,53,216,111,135,91,115,75,82,67,78,63,155,83,194,91,457,142,531,160,303,110,222,93,179,83,54,36
2.5,Highland Park,1348,186,17,30,14,26,0,21,109,92,73,65,54,50,82,61,51,61,17,30,96,64,261,120,126,76,177,84,189,77,8,22,74,79
3.1,South Park,823,106,47,49,47,49,32,37,58,57,44,50,32,30,95,55,44,49,64,44,54,53,145,80,99,48,39,49,17,24,6,15,0,17
3.2,Georgetown,190,74,0,12,0,12,0,12,0,12,9,12,0,12,31,33,0,12,30,44,4,7,22,23,65,37,12,18,0,12,17,29,0,12
3.3,Duwamish/SODO,317,99,6,10,7,11,0,12,0,12,0,12,28,44,11,17,64,75,13,24,17,22,23,22,73,36,27,22,21,22,5,8,22,22
3.4,South Beacon Hill/NewHolly,3415,239,219,118,177,109,160,97,259,117,163,86,125,72,220,106,210,103,295,112,250,109,232,96,502,120,225,81,178,98,150,86,50,38
3.5,Beacon Hill,1954,193,24,33,12,22,37,38,64,58,45,48,57,48,67,49,112,66,57,57,260,98,135,72,259,118,190,94,362,141,192,109,81,73
3.6,North Beacon Hill/Jefferson Park,3324,252,137,93,152,86,64,53,256,179,51,63,135,105,123,96,211,127,200,113,438,152,449,165,269,111,306,112,285,105,177,114,71,58
4.1,Rainier Beach,3431,277,290,144,62,64,128,120,185,115,195,107,256,141,89,79,158,127,150,92,393,146,372,152,359,141,370,118,184,87,72,74,168,103
4.2,Columbia City,3753,316,251,119,129,121,94,56,235,136,159,89,187,88,150,82,179,84,104,75,281,134,300,113,577,173,388,131,199,104,335,130,185,93
4.3,Seward Park,2162,160,26,36,97,73,50,51,24,26,96,69,45,37,29,26,70,52,59,41,175,73,279,125,281,112,248,84,194,77,241,92,248,96
4.4,Mt. Baker/North Rainier,1352,153,38,32,16,25,50,54,13,22,14,22,58,64,27,29,34,38,41,66,52,40,55,43,229,117,129,68,70,53,258,113,268,82
5.1,Madrona/Leschi,2490,254,112,86,33,39,63,104,31,36,117,105,54,46,85,84,25,29,90,87,56,36,138,100,273,135,161,80,111,67,332,105,809,165
5.2,Judkins Park,450,101,20,21,19,20,8,13,24,31,46,49,8,13,39,34,29,28,16,26,80,52,46,35,72,57,16,21,9,15,18,21,0,12
5.3,Central Area/Squire Park,2887,243,96,85,91,70,16,25,97,84,76,56,113,73,106,70,68,59,156,86,187,85,283,114,385,111,333,134,263,109,310,96,307,114
6.1,First Hill,1417,199,156,62,74,61,130,68,19,28,55,45,34,33,42,41,69,48,32,46,37,39,102,68,233,94,197,96,100,65,61,55,76,50
