area_id,area_name,b19101h001,b19101h001_moe,b19101h002,b19101h002_moe,b19101h003,b19101h003_moe,b19101h004,b19101h004_moe,b19101h005,b19101h005_moe,b19101h006,b19101h006_moe,b19101h007,b19101h007_moe,b19101h008,b19101h008_moe,b19101h009,b19101h009_moe,b19101h010,b19101h010_moe,b19101h011,b19101h011_moe,b19101h012,b19101h012_moe,b19101h013,b19101h013_moe,b19101h014,b19101h014_moe,b19101h015,b19101h015_moe,b19101h016,b19101h016_moe,b19101h017,b19101h017_moe
1.1,Arbor Heights,1345,132,0,17,0,17,16,18,14,16,57,49,7,17,32,28,16,22,64,42,58,32,150,58,279,79,221,80,114,59,159,70,158,71
1.2,Fauntleroy/Seaview,3058,271,29,33,24,28,25,33,11,23,65,54,62,60,73,56,68,55,55,50,80,58,165,67,417,140,475,155,393,141,426,115,690,169
1.3,West Seattle Junction/Genesee Hill,3728,263,91,77,39,47,8,27,27,36,112,96,48,49,131,102,109,67,87,81,232,97,307,102,630,153,594,156,392,135,525,130,396,133
1.4,Alki/Admiral,2173,205,46,42,0,24,0,24,90,92,31,35,24,27,35,41,37,34,25,43,78,52,147,70,273,110,268,94,309,111,310,102,500,141
2.1,North Delridge,608,144,15,24,0,12,13,22,0,12,13,22,20,31,0,12,16,27,0,12,68,72,55,44,110,68,87,56,73,55,84,62,54,55
2.2,High Point,595,126,0,17,15,26,10,19,13,25,0,17,24,34,16,20,35,36,0,17,6,16,115,89,103,60,64,45,52,43,71,51,71,74
2.3,Riverview,566,97,9,14,0,12,29,46,25,37,19,22,36,30,18,16,19,22,19,22,19,20,34,27,135,66,98,46,27,25,40,30,39,45
2.4,Roxhill/Westwood,1528,198,0,21,31,39,15,25,38,33,37,35,20,28,67,64,38,34,39,39,117,61,189,78,306,95,251,102,186,87,149,77,45,34
2.5,Highland Park,759,139,0,21,14,26,0,21,53,49,54,58,23,38,82,61,22,38,0,21,28,30,153,79,78,58,138,73,69,50,0,21,45,69
3.1,South Park,219,69,14,26,0,17,0,17,7,18,7,16,0,17,29,30,29,43,8,18,18,22,13,18,69,40,8,18,17,24,0,17,0,17
3.2,Georgetown,96,49,0,12,0,12,0,12,0,12,9,12,0,12,13,19,0,12,0,12,4,7,7,11,34,31,12,18,0,12,17,29,0,12
3.3,Duwamish/SODO,65,35,0,12,0,12,0,12,0,12,0,12,0,12,11,17,0,12,0,12,0,12,4,7,0,12,25,20,9,13,5,8,11,16
3.4,South Beacon Hill/NewHolly,451,129,0,24,0,24,79,79,37,46,0,24,0,24,6,20,7,20,15,24,34,32,58,41,130,62,54,35,24,30,7,21,0,24
3.5,Beacon Hill,487,148,0,17,0,17,0,17,18,24,11,22,26,34,0,17,20,30,17,31,39,41,0,17,51,44,81,60,126,87,27,30,71,67
3.6,North Beacon Hill/Jefferson Park,1003,174,14,27,0,24,11,25,12,25,0,24,19,36,0,24,0,24,62,63,133,74,129,85,131,77,107,72,214,93,117,92,54,57
4.1,Rainier Beach,867,172,33,53,0,27,17,34,48,45,24,40,12,29,0,27,17,37,33,44,85,62,86,63,126,83,171,76,22,37,40,64,153,100
4.2,Columbia City,1281,216,33,42,13,30,41,39,0,27,23,30,13,29,47,54,91,63,0,27,27,42,134,75,192,109,188,79,110,76,271,117,98,67
4.3,Seward Park,1177,127,0,17,30,37,0,17,0,17,27,27,6,16,20,23,49,48,19,22,101,52,121,58,84,47,155,62,162,73,186,79,217,87
4.4,Mt. Baker/North Rainier,825,115,13,21,16,25,0,17,0,17,0,17,0,17,0,17,34,38,0,17,20,23,47,41,125,93,89,58,39,38,186,98,256,83
5.1,Madrona/Leschi,1611,219,41,38,16,29,0,21,11,22,85,98,34,39,10,25,0,21,32,38,31,33,88,83,137,86,132,73,65,48,303,100,626,154
5.2,Judkins Park,81,36,0,12,0,12,0,12,0,12,0,12,0,12,9,15,12,19,0,12,0,12,0,12,33,25,0,12,9,15,18,21,0,12
5.3,Central Area/Squire Park,1670,206,34,58,12,27,0,24,0,24,0,24,50,45,80,64,9,25,58,53,94,55,194,95,262,102,257,112,177,90,211,75,232,102
6.1,First Hill,722,157,7,24,0,24,12,24,9,25,23,32,20,30,22,38,7,24,0,24,12,30,71,59,210,89,135,80,83,60,35,39,76,50
6.2,Capitol Hill,1497,331,13,33,0,29,5,29,14,35,28,54,117,105,23,36,31,43,73,73,121,95,160,83,241,124,235,134,251,201,89,75,96,53
6.3,North Capitol Hill,599,126,16,25,0,12,0,12,13,21,0,12,17,26,0,12,14,23,12,20,11,17,49,42,29,33,22,25,18,34,119,86,279,80
6.4,Miller Park,1039,133,0,17,0,17,0,17,0,17,8,17,19,26,8,18,7,17,15,20,60,58,89,48,100,55,110,53,166,73,127,61,330,86
6.5,Madison Park,1140,190,18,27,0,17,0,17,0,17,0,17,42,50,0,17,13,20,0,17,49,42,80,50,92,55,127,76,75,53,171,105,473,120
7.1,Montlake/Portage Bay,1923,204,8,21,38,47,17,29,22,25,67,74,32,34,12,25,39,46,28,31,100,80,114,56,181,86,263,106,118,55,222,79,662,132
7.2,University District,822,155,56,75,17,29,17,35,0,29,71,92,13,32,0,29,17,38,33,39,49,49,93,68,74,60,23,37,43,42,90,66,226,82
7.3,Ravenna/Bryant,4026,243,42,40,16,37,23,32,72,50,79,56,26,39,59,48,44,40,82,53,117,75,227,83,576,142,600,145,352,126,636,148,1075,167
7.4,Wedgwood/View Ridge,3174,180,23,33,10,28,19,33,8,27,51,51,54,39,92,64,92,53,41,35,170,81,286,90,465,132,445,120,482,119,441,122,495,111
7.5,Laurelhurst/Sand Point,2198,203,102,69,23,28,18,25,21,25,79,84,6,20,16,26,25,30,24,26,64,60,180,92,137,64,199,79,135,65,335,103,834,137
8.1,Northgate/Maple Leaf,1870,213,11,28,82,70,37,35,64,52,12,27,46,38,57,90,29,31,89,64,190,111,182,91,227,94,281,88,217,73,197,76,149,65
8.2,Olympic Hills/Victory Heights,2369,240,53,51,118,91,0,24,100,57,30,44,73,57,101,70,40,39,91,60,225,102,242,115,341,116,372,140,191,77,232,85,160,71
8.3,Cedar Park/Meadowbrook,2054,202,59,63,10,29,11,27,51,65,12,29,79,64,8,27,51,65,100,81,64,38,251,87,291,93,340,100,232,86,219,74,276,94
9.1,Broadview/Bitter Lake,2390,239,39,49,57,47,0,27,0,27,11,27,47,45,13,32,73,52,51,44,194,82,318,125,389,120,337,138,211,100,274,104,376,99
9.2,Licton Springs,1113,200,0,17,18,30,0,17,55,52,11,22,0,17,37,45,76,90,9,18,73,63,106,70,217,100,193,85,124,68,96,59,98,76
9.3,Greenwood/Phinney Ridge,4424,305,12,33,18,40,64,47,79,55,69,53,109,60,107,66,116,58,59,52,254,125,279,93,800,173,772,175,630,146,589,151,467,114
9.4,Green Lake,2560,233,47,63,33,46,0,24,16,35,26,31,80,68,36,39,67,50,64,57,60,45,290,120,314,111,411,157,256,107,369,102,491,117
9.5,Haller Lake,1657,200,22,21,36,37,13,22,17,30,42,43,44,39,29,34,49,41,48,42,222,105,203,83,292,96,224,98,156,97,146,75,114,64
10.1,North Beach/Blue Ridge,2781,174,29,29,10,22,39,48,94,81,50,48,38,39,16,31,57,43,48,35,148,79,314,98,454,130,371,109,398,116,329,100,386,100
10.2,Whittier Heights,2492,238,67,64,0,24,11,25,25,30,29,33,27,29,52,47,73,54,62,62,121,83,268,108,525,161,446,124,339,116,243,96,204,87
10.3,Sunset Hill/Loyal Heights,3029,218,72,54,18,34,43,40,0,24,16,31,24,27,28,32,70,83,66,49,327,130,273,107,441,135,496,125,348,125,450,132,357,101
10.4,Ballard,1052,227,0,17,0,17,0,17,15,23,86,92,0,17,0,17,9,14,83,68,61,51,144,90,175,120,262,179,80,79,100,71,37,46
11.1,Fremont,2411,242,32,34,14,29,30,38,7,24,23,36,53,49,53,49,87,77,121,88,64,50,308,117,407,132,245,97,274,91,491,152,202,86
11.2,Wallingford,2137,214,49,66,8,26,45,42,41,45,24,33,84,49,40,40,107,74,32,31,71,57,99,61,205,66,270,96,187,66,322,86,553,120
11.3,Cascade/Eastlake,898,216,0,21,8,23,18,34,15,32,0,21,89,119,16,40,56,62,0,21,52,57,85,81,140,71,108,69,124,92,55,45,132,92
12.1,Magnolia,3117,222,16,30,27,46,40,45,0,24,15,29,52,43,26,37,40,37,37,42,99,82,245,97,236,115,316,109,357,125,635,175,976,177
12.2,Interbay,1582,198,8,18,9,23,0,21,13,24,0,21,95,58,38,34,90,77,41,40,89,53,66,55,281,103,212,102,268,109,79,65,293,125
12.3,Queen Anne,5819,404,90,56,39,48,52,52,99,63,74,62,171,88,67,62,85,69,80,78,260,120,405,146,843,201,753,193,537,151,835,194,1429,212
13.1,Belltown,872,207,0,21,0,21,14,25,0,21,0,21,0,21,0,21,45,72,0,21,14,25,145,100,72,70,169,58,39,46,97,83,277,110
13.2,Downtown Commercial Core,299,98,9,16,14,24,0,12,0,12,0,12,0,12,0,12,15,24,0,12,44,35,23,27,9,16,12,20,13,20,25,28,135,67
13.3,Pioneer Square/International District,84,52,0,17,0,17,8,18,0,17,5,16,0,17,0,17,8,18,6,16,11,22,22,28,0,17,0,17,0,17,24,32,0,17
