area_id,area_name,b19127001,b19127001_moe
1.1,Arbor Heights,195002000,28120084
1.2,Fauntleroy/Seaview,481519200,54401970
1.3,West Seattle Junction/Genesee Hill,473084600,40341872
1.4,Alki/Admiral,398825500,71304440
2.1,North Delridge,94431000,16887406
2.2,High Point,104603600,19241279
2.3,Riverview,103206900,14066415
2.4,Roxhill/Westwood,222988600,21950905
2.5,Highland Park,110813600,19082852
3.1,South Park,42280000,8585754
3.2,Georgetown,14281500,6106096
3.3,Duwamish/SODO,26706300,7644373
3.4,South Beacon Hill/NewHolly,212733100,21539407
3.5,Beacon Hill,186461200,30136970
3.6,North Beacon Hill/Jefferson Park,233600700,23085456
4.1,Rainier Beach,242751600,35000874
4.2,Columbia City,321431600,46465680
4.3,Seward Park,256319900,32001589
4.4,Mt. Baker/North Rainier,197765500,29651175
5.1,Madrona/Leschi,533408000,117304219
5.2,Judkins Park,26103400,6721589
5.3,Central Area/Squire Park,316003600,46178825
6.1,First Hill,118792200,31719516
6.2,Capitol Hill,198590700,41823421
6.3,North Capitol Hill,158984200,49366001
6.4,Miller Park,240100300,37653294
6.5,Madison Park,329994400,78964262
7.1,Montlake/Portage Bay,356380800,42718133
7.2,University District,139266400,26325227
7.3,Ravenna/Bryant,718062700,59498435
7.4,Wedgwood/View Ridge,545967600,48519606
7.5,Laurelhurst/Sand Point,543350500,90254106
8.1,Northgate/Maple Leaf,272233600,33129265
8.2,Olympic Hills/Victory Heights,312640500,28460187
8.3,Cedar Park/Meadowbrook,308592200,35088263
9.1,Broadview/Bitter Lake,381188000,53020139
9.2,Licton Springs,158175100,30056745
9.3,Greenwood/Phinney Ridge,597899100,45136652
9.4,Green Lake,390180700,39691515
9.5,Haller Lake,213425100,24133269
10.1,North Beach/Blue Ridge,394004100,38199989
10.2,Whittier Heights,299279000,29329318
10.3,Sunset Hill/Loyal Heights,379461200,32207036
10.4,Ballard,122372400,30651088
11.1,Fremont,310680000,35232371
11.2,Wallingford,360731900,41151035
11.3,Cascade/Eastlake,146915700,37288794
12.1,Magnolia,607840600,58236126
12.2,Interbay,264593600,56484557
12.3,Queen Anne,1110556800,114777706
13.1,Belltown,224897600,78188866
13.2,Downtown Commercial Core,113783200,57336432
13.3,Pioneer Square/International District,29701700,7719889
