area_id,area_name,b19202g001,b19202g001_moe
1.1,Arbor Heights,60114,17250
1.2,Fauntleroy/Seaview,42159,198375
1.3,West Seattle Junction/Genesee Hill,43188,3309
1.4,Alki/Admiral,50375,52265
2.1,North Delridge,11250,6316
2.2,High Point,14167,55261
2.3,Riverview,73103,31255
2.4,Roxhill/Westwood,125677,66043
2.5,Highland Park,19891,25058
3.2,Georgetown,31250,46812
3.3,Duwamish/SODO,99688,34223
3.5,Beacon Hill,24688,50161
3.6,North Beacon Hill/Jefferson Park,53849,167371
4.1,Rainier Beach,51538,45210
4.2,Columbia City,107545,158053
4.3,Seward Park,49643,200772
5.1,Madrona/Leschi,61007,6961
5.3,Central Area/Squire Park,221288,47490
6.1,First Hill,24934,89986
6.2,Capitol Hill,137147,65627
6.3,North Capitol Hill,163010,211694
6.4,Miller Park,34710,101524
6.5,Madison Park,29773,128367
7.1,Montlake/Portage Bay,170110,184128
7.2,University District,31364,31774
7.3,Ravenna/Bryant,216875,346477
7.4,Wedgwood/View Ridge,80357,32765
7.5,Laurelhurst/Sand Point,16944,95264
8.1,Northgate/Maple Leaf,122380,155431
8.2,Olympic Hills/Victory Heights,65508,20768
8.3,Cedar Park/Meadowbrook,168740,100892
9.1,Broadview/Bitter Lake,156240,91920
9.2,Licton Springs,70134,122571
9.3,Greenwood/Phinney Ridge,107608,104479
9.4,Green Lake,24539,47048
10.1,North Beach/Blue Ridge,141250,132250
10.2,Whittier Heights,122058,90829
10.3,Sunset Hill/Loyal Heights,26111,82723
10.4,Ballard,31563,11871
11.1,Fremont,154803,123466
11.2,Wallingford,59346,127238
11.3,Cascade/Eastlake,165134,129018
12.2,Interbay,64137,35308
12.3,Queen Anne,252307,199119
13.1,Belltown,80615,124944
13.2,Downtown Commercial Core,19056,15807
13.3,Pioneer Square/International District,91950,91103
