area_id,area_name,b19301b001,b19301b001_moe
1.2,Fauntleroy/Seaview,163757,223505
1.3,West Seattle Junction/Genesee Hill,88162,39520
1.4,Alki/Admiral,18325,9099
2.1,North Delridge,41232,31739
2.2,High Point,18248,5583
2.3,Riverview,18534,15273
2.4,Roxhill/Westwood,79346,22984
2.5,Highland Park,26278,6373
3.1,South Park,21703,12733
3.2,Georgetown,23504,13515
3.3,Duwamish/SODO,15977,6136
3.4,South Beacon Hill/NewHolly,31448,7531
3.5,Beacon Hill,74249,27810
3.6,North Beacon Hill/Jefferson Park,52506,12933
4.1,Rainier Beach,70602,7049
4.2,Columbia City,68918,17013
4.3,Seward Park,53765,10231
4.4,Mt. Baker/North Rainier,26679,10992
5.1,Madrona/Leschi,56386,14694
5.2,Judkins Park,17680,4411
5.3,Central Area/Squire Park,93923,17062
6.1,First Hill,189463,205385
6.2,Capitol Hill,82568,26910
6.4,Miller Park,87476,29475
6.5,Madison Park,50894,9696
7.1,Montlake/Portage Bay,132749,146038
7.2,University District,37870,19276
7.3,Ravenna/Bryant,223734,68212
7.4,Wedgwood/View Ridge,160515,66506
7.5,Laurelhurst/Sand Point,3941,1355
8.1,Northgate/Maple Leaf,110148,69889
8.2,Olympic Hills/Victory Heights,78764,31531
8.3,Cedar Park/Meadowbrook,51876,17188
9.1,Broadview/Bitter Lake,27702,5796
9.2,Licton Springs,15712,9000
9.3,Greenwood/Phinney Ridge,135980,34274
9.4,Green Lake,57603,16346
9.5,Haller Lake,39103,12489
10.4,Ballard,21265,15172
11.1,Fremont,18311,17870
11.2,Wallingford,30288,25361
11.3,Cascade/Eastlake,61312,27604
12.2,Interbay,70427,29875
12.3,Queen Anne,160381,47269
13.1,Belltown,35096,12539
13.2,Downtown Commercial Core,16497,7018
13.3,Pioneer Square/International District,34848,19647
