area_id,area_name,b19313c001,b19313c001_moe
1.1,Arbor Heights,1235900,1400283
1.2,Fauntleroy/Seaview,1580300,1560401
1.3,West Seattle Junction/Genesee Hill,2810600,2593395
1.4,Alki/Admiral,2494200,3063088
3.3,Duwamish/SODO,1198700,1963779
3.4,South Beacon Hill/NewHolly,5962900,6270013
4.1,Rainier Beach,930700,1267473
4.3,Seward Park,699600,880136
4.4,Mt. Baker/North Rainier,3544200,4162069
5.3,Central Area/Squire Park,2147100,2239171
6.1,First Hill,3894600,2311112
6.2,Capitol Hill,4252300,2651396
7.2,University District,1164400,1689849
7.5,Laurelhurst/Sand Point,1149600,1920742
8.1,Northgate/Maple Leaf,3074100,2631422
8.3,Cedar Park/Meadowbrook,3018800,2733739
9.1,Broadview/Bitter Lake,4686400,3298120
9.3,Greenwood/Phinney Ridge,2916400,2998387
9.5,Haller Lake,8304800,10718815
10.1,North Beach/Blue Ridge,1130000,1045976
10.3,Sunset Hill/Loyal Heights,1703100,2123382
11.2,Wallingford,2806200,2311471
11.3,Cascade/Eastlake,4205100,3817778
12.1,Magnolia,1639000,2066373
12.2,Interbay,2081600,2360030
12.3,Queen Anne,16065500,11270064
13.1,Belltown,1667400,1836803
13.2,Downtown Commercial Core,137300,174250
