area_id,area_name,b23009001,b23009001_moe,b23009002,b23009002_moe,b23009003,b23009003_moe,b23009004,b23009004_moe,b23009005,b23009005_moe,b23009006,b23009006_moe,b23009007,b23009007_moe,b23009008,b23009008_moe,b23009009,b23009009_moe,b23009010,b23009010_moe,b23009011,b23009011_moe,b23009012,b23009012_moe,b23009013,b23009013_moe,b23009014,b23009014_moe,b23009015,b23009015_moe,b23009016,b23009016_moe,b23009017,b23009017_moe,b23009018,b23009018_moe,b23009019,b23009019_moe,b23009020,b23009020_moe,b23009021,b23009021_moe,b23009022,b23009022_moe,b23009023,b23009023_moe,b23009024,b23009024_moe,b23009025,b23009025_moe,b23009026,b23009026_moe,b23009027,b23009027_moe,b23009028,b23009028_moe,b23009029,b23009029_moe,b23009030,b23009030_moe,b23009031,b23009031_moe,b23009032,b23009032_moe,b23009033,b23009033_moe,b23009034,b23009034_moe,b23009035,b23009035_moe,b23009036,b23009036_moe,b23009037,b23009037_moe,b23009038,b23009038_moe,b23009039,b23009039_moe,b23009040,b23009040_moe,b23009041,b23009041_moe,b23009042,b23009042_moe,b23009043,b23009043_moe
1.1,Arbor Heights,1585,134,725,85,601,85,9,18,73,53,483,76,483,76,0,17,36,32,22,26,14,22,124,66,66,46,0,17,42,41,24,27,0,17,58,47,0,17,58,47,0,17,0,17,860,118,743,113,223,58,107,61,314,95,314,95,0,17,99,42,99,42,0,17,117,59,6,16,0,17,0,17,6,16,0,17,111,57,0,17,44,38,50,43,17,20
1.2,Fauntleroy/Seaview,3390,270,1475,165,1136,143,0,24,238,91,845,167,845,167,0,24,53,45,53,45,0,24,339,139,41,43,0,24,29,38,12,25,0,24,298,133,0,24,267,131,31,40,0,24,1915,251,1633,244,200,86,152,76,1192,215,1152,220,40,36,89,56,89,56,0,24,282,103,33,38,0,24,8,23,25,33,0,24,249,99,77,50,86,62,71,57,15,30
1.3,West Seattle Junction/Genesee Hill,4165,272,2002,209,1479,167,0,29,234,96,1177,163,1134,167,43,55,68,54,68,54,0,29,523,182,62,54,0,29,43,45,19,38,0,29,461,175,51,72,353,150,57,48,0,29,2163,228,1802,214,243,95,321,114,1042,201,965,194,77,74,196,88,196,88,0,29,361,134,135,71,32,39,61,45,42,46,0,29,226,115,61,84,79,63,68,50,18,38
1.4,Alki/Admiral,2475,222,997,128,844,123,0,24,224,104,550,122,526,121,24,39,70,50,70,50,0,24,153,75,32,43,23,41,0,24,9,23,0,24,121,59,19,33,91,58,11,25,0,24,1478,223,1340,212,314,108,250,88,710,165,710,165,0,24,66,53,66,53,0,24,138,105,87,94,8,21,0,24,79,93,0,24,51,45,19,34,7,23,25,34,0,24
2.1,North Delridge,979,163,438,137,334,125,0,12,19,33,261,125,261,125,0,12,54,54,37,44,17,29,104,61,43,40,15,24,28,32,0,12,0,12,61,53,0,12,48,46,13,22,0,12,541,154,406,140,15,23,67,48,296,125,296,125,0,12,28,42,0,12,28,42,135,79,70,55,0,12,49,60,7,13,14,23,65,54,0,12,17,26,48,46,0,12
2.2,High Point,1514,206,840,178,381,114,0,17,59,43,322,110,296,103,26,35,0,17,0,17,0,17,459,169,32,31,0,17,23,30,9,18,0,17,427,164,75,56,288,156,64,54,0,17,674,161,437,109,6,16,119,60,282,97,272,97,10,20,30,32,30,32,0,17,237,131,10,19,0,17,0,17,10,19,0,17,227,132,102,93,29,32,96,64,0,17
2.3,Riverview,1096,109,538,119,302,82,0,12,34,48,186,65,186,65,0,12,82,52,82,52,0,12,236,97,52,37,0,12,18,20,34,30,0,12,184,84,16,26,127,76,41,48,0,12,558,100,336,78,23,23,30,27,217,65,183,62,34,28,66,52,56,50,10,15,222,94,94,86,7,12,87,88,0,12,0,12,128,49,0,12,75,41,22,23,31,32
2.4,Roxhill/Westwood,2961,229,1412,189,907,164,0,21,347,114,514,133,514,133,0,21,46,37,35,34,11,25,505,145,96,62,17,32,54,46,3,21,22,38,409,130,46,48,306,131,57,61,0,21,1549,240,1124,198,147,86,275,118,572,142,535,144,37,36,130,71,88,56,42,48,425,166,260,154,0,21,17,32,216,147,27,39,165,75,33,33,43,36,78,56,11,25
2.5,Highland Park,1348,186,562,145,269,92,0,21,44,44,197,85,197,85,0,21,28,37,28,37,0,21,293,129,101,67,0,21,33,38,33,40,35,44,192,107,18,31,78,62,67,83,29,39,786,174,710,181,90,51,138,70,356,148,342,147,14,25,126,63,107,60,19,27,76,46,0,21,0,21,0,21,0,21,0,21,76,46,0,21,19,23,32,40,25,29
3.1,South Park,823,106,486,88,330,103,0,17,54,49,234,83,167,53,67,57,42,52,42,52,0,17,156,87,16,22,0,17,16,22,0,17,0,17,140,82,35,45,105,69,0,17,0,17,337,85,164,67,0,17,27,30,103,47,93,47,10,21,34,44,10,21,24,40,173,66,82,62,19,30,0,17,55,53,8,17,91,53,9,18,46,45,36,38,0,17
3.2,Georgetown,190,74,66,55,56,51,0,12,30,44,11,14,11,14,0,12,15,19,15,19,0,12,10,17,10,17,0,12,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,124,51,106,39,9,12,0,12,76,45,76,45,0,12,21,19,21,19,0,12,18,24,18,24,0,12,0,12,18,24,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,317,99,124,50,101,58,0,12,0,12,101,58,101,58,0,12,0,12,0,12,0,12,23,27,0,12,0,12,0,12,0,12,0,12,23,27,0,12,5,10,6,10,12,22,193,73,135,51,18,19,19,19,78,41,78,41,0,12,20,22,20,22,0,12,58,53,0,12,0,12,0,12,0,12,0,12,58,53,6,10,13,24,32,44,7,14
3.4,South Beacon Hill/NewHolly,3415,239,1814,221,1130,184,30,52,291,115,659,159,580,157,79,55,150,79,140,78,10,22,684,185,192,104,10,23,143,83,0,24,39,58,492,159,50,48,390,141,9,19,43,55,1601,193,994,161,156,72,204,83,305,104,211,94,94,51,329,97,305,101,24,29,607,160,207,100,9,26,45,38,84,68,69,56,400,135,44,37,113,65,152,98,91,55
3.5,Beacon Hill,1954,193,848,133,677,124,6,17,88,63,341,120,341,120,0,17,242,106,105,60,137,108,171,76,49,44,8,18,22,32,19,30,0,17,122,69,18,33,78,59,18,31,8,18,1106,163,760,143,131,66,189,90,325,120,294,117,31,38,115,56,95,54,20,30,346,126,138,81,17,31,11,22,36,35,74,71,208,105,0,17,81,66,74,62,53,69
3.6,North Beacon Hill/Jefferson Park,3324,252,1516,180,976,225,12,30,145,99,659,196,659,196,0,24,160,99,160,99,0,24,540,173,124,82,0,24,59,50,52,61,13,30,416,177,0,24,406,176,0,24,10,28,1808,243,1196,216,237,109,188,83,617,170,594,169,23,34,154,93,112,69,42,61,612,157,229,106,12,30,95,78,107,74,15,31,383,134,101,83,84,64,143,89,55,49
4.1,Rainier Beach,3431,277,1511,221,761,227,63,76,182,141,309,134,300,133,9,27,207,125,184,126,23,42,750,209,142,96,0,27,142,96,0,27,0,27,608,200,101,81,470,180,37,64,0,27,1920,243,1082,179,142,67,282,110,421,150,375,144,46,45,237,103,194,91,43,43,838,223,262,131,82,70,59,76,121,97,0,27,576,176,56,66,254,106,204,111,62,64
4.2,Columbia City,3753,316,1553,237,1114,204,0,27,255,122,624,156,609,154,15,34,235,112,206,108,29,39,439,154,84,73,12,30,72,72,0,27,0,27,355,148,57,61,260,128,38,39,0,27,2200,291,1504,262,245,107,309,144,806,206,722,202,84,66,144,76,137,76,7,26,696,183,136,68,29,34,40,37,52,45,15,30,560,173,38,36,252,120,219,123,51,48
4.3,Seward Park,2162,160,962,146,740,119,0,17,186,78,473,125,473,125,0,17,81,52,81,52,0,17,222,87,76,43,0,17,76,43,0,17,0,17,146,76,5,16,97,59,44,50,0,17,1200,170,912,161,141,55,277,96,392,117,371,113,21,25,102,55,92,54,10,21,288,107,120,78,10,19,59,54,7,16,44,57,168,76,15,20,54,34,73,51,26,29
4.4,Mt. Baker/North Rainier,1352,153,683,107,388,117,0,17,113,89,257,82,226,73,31,34,18,26,18,26,0,17,295,113,105,72,0,17,105,72,0,17,0,17,190,109,13,21,177,114,0,17,0,17,669,137,529,133,54,41,80,49,351,112,314,101,37,39,44,42,44,42,0,17,140,83,26,32,11,22,0,17,0,17,15,24,114,70,0,17,74,59,40,40,0,17
5.1,Madrona/Leschi,2490,254,1178,188,897,182,0,21,205,88,590,170,590,170,0,21,102,54,102,54,0,21,281,142,18,30,0,21,0,21,0,21,18,30,263,144,10,20,243,138,10,23,0,21,1312,200,1096,192,136,72,254,109,654,147,566,142,88,98,52,43,38,37,14,26,216,108,27,38,0,21,0,21,27,38,0,21,189,103,73,74,84,83,32,35,0,21
5.2,Judkins Park,450,101,173,66,150,64,0,12,84,72,66,45,46,42,20,26,0,12,0,12,0,12,23,27,0,12,0,12,0,12,0,12,0,12,23,27,0,12,23,27,0,12,0,12,277,80,198,64,60,25,21,27,98,46,98,46,0,12,19,23,19,23,0,12,79,57,14,22,0,12,14,22,0,12,0,12,65,53,9,14,18,19,38,46,0,12
5.3,Central Area/Squire Park,2887,243,1215,178,753,141,0,24,260,97,458,126,451,125,7,25,35,42,35,42,0,24,462,153,139,83,14,30,125,80,0,24,0,24,323,123,48,62,247,97,28,50,0,24,1672,217,1218,183,74,48,221,90,835,159,766,160,69,64,88,57,88,57,0,24,454,144,120,90,0,24,50,58,70,72,0,24,334,122,93,73,102,62,123,79,16,27
6.1,First Hill,1417,199,313,88,79,50,9,26,43,42,27,41,27,41,0,24,0,24,0,24,0,24,234,79,70,49,11,27,59,46,0,24,0,24,164,89,32,34,114,77,6,24,12,33,1104,183,941,168,228,70,85,52,613,152,605,151,8,24,15,25,15,25,0,24,163,76,107,67,7,24,7,24,68,65,25,41,56,57,23,42,10,27,23,43,0,24
6.2,Capitol Hill,2188,369,633,198,370,183,0,29,184,98,177,163,177,163,0,29,9,30,9,30,0,29,263,124,30,42,0,29,30,42,0,29,0,29,233,120,30,53,180,109,23,49,0,29,1555,324,1391,303,102,70,124,79,1165,295,1133,289,32,57,0,29,0,29,0,29,164,119,59,78,0,29,59,78,0,29,0,29,105,93,40,42,14,26,51,84,0,29
6.3,North Capitol Hill,727,127,159,53,159,53,0,12,59,32,91,53,91,53,0,12,9,17,9,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,568,125,523,118,56,42,185,123,246,107,224,102,22,34,36,45,36,45,0,12,45,43,0,12,0,12,0,12,0,12,0,12,45,43,17,26,28,32,0,12,0,12
6.4,Miller Park,1365,136,662,92,575,84,0,17,126,52,383,80,361,79,22,25,66,42,66,42,0,17,87,59,22,24,12,22,10,19,0,17,0,17,65,53,0,17,65,53,0,17,0,17,703,125,626,119,55,40,147,55,404,107,404,107,0,17,20,22,20,22,0,17,77,51,33,43,0,17,24,33,0,17,9,20,44,30,0,17,36,28,8,17,0,17
6.5,Madison Park,1217,182,510,135,422,125,8,12,89,48,318,123,300,121,18,23,7,14,7,14,0,17,88,60,9,15,0,17,9,15,0,17,0,17,79,59,0,17,79,59,0,17,0,17,707,111,648,114,181,65,232,72,235,77,226,78,9,14,0,17,0,17,0,17,59,43,28,34,0,17,0,17,28,34,0,17,31,36,18,27,0,17,0,17,13,21
7.1,Montlake/Portage Bay,2107,213,694,84,538,81,7,20,168,58,302,79,302,79,0,21,61,41,61,41,0,21,156,76,50,42,0,21,50,42,0,21,0,21,106,60,8,21,73,47,25,42,0,21,1413,208,1147,170,210,69,157,88,750,146,729,145,21,29,30,33,26,30,4,19,266,124,63,47,0,21,14,26,49,42,0,21,203,113,0,21,47,37,147,107,9,21
7.2,University District,1138,181,363,70,303,60,0,29,50,53,221,69,202,72,19,38,32,42,32,42,0,29,60,42,13,32,0,29,13,32,0,29,0,29,47,36,0,29,47,36,0,29,0,29,775,177,541,144,28,40,86,54,409,134,396,132,13,33,18,31,18,31,0,29,234,105,150,91,13,32,26,35,88,78,23,45,84,54,0,29,13,32,71,53,0,29
7.3,Ravenna/Bryant,4872,251,2363,168,2072,174,16,37,345,105,1561,175,1545,174,16,37,150,65,150,65,0,32,291,98,40,39,0,32,34,40,6,31,0,32,251,92,16,33,180,79,55,52,0,32,2509,226,2211,222,325,97,368,119,1282,203,1273,203,9,33,236,97,231,96,5,30,298,109,51,45,20,41,0,32,31,37,0,32,247,101,0,32,132,67,102,75,13,30
7.4,Wedgwood/View Ridge,3927,197,1802,144,1493,140,0,27,468,101,954,139,941,139,13,26,71,44,71,44,0,27,309,102,96,73,0,27,96,73,0,27,0,27,213,80,8,27,167,65,29,48,9,28,2125,184,1748,163,320,85,383,112,813,150,720,142,93,61,232,83,223,82,9,28,377,120,124,80,0,27,0,27,74,64,50,48,253,92,58,40,97,61,75,46,23,45
7.5,Laurelhurst/Sand Point,2695,190,1340,152,1108,132,12,23,363,123,680,108,650,113,30,37,53,40,53,40,0,21,232,97,62,52,0,21,24,30,38,43,0,21,170,80,0,21,153,76,17,30,0,21,1355,169,1150,161,133,61,308,97,598,145,562,143,36,31,111,60,102,59,9,18,205,85,69,45,30,27,39,38,0,21,0,21,136,76,6,20,37,35,93,67,0,21
8.1,Northgate/Maple Leaf,2868,271,1172,185,888,149,0,24,244,93,560,146,560,146,0,24,84,45,71,41,13,29,284,136,45,37,11,28,12,22,22,33,0,24,239,131,35,36,204,124,0,24,0,24,1696,235,1238,221,224,91,261,122,710,160,663,153,47,66,43,39,43,39,0,24,458,128,221,109,9,23,92,67,116,92,4,22,237,100,25,32,96,62,76,56,40,56
8.2,Olympic Hills/Victory Heights,3632,274,1365,190,969,160,0,24,261,117,611,134,611,134,0,24,97,64,94,64,3,22,396,143,82,75,0,24,82,75,0,24,0,24,314,127,84,67,148,82,37,38,45,75,2267,223,1631,207,312,98,218,81,928,172,896,171,32,39,173,74,173,74,0,24,636,168,249,125,39,66,88,78,122,77,0,24,387,126,54,51,68,58,251,109,14,29
8.3,Cedar Park/Meadowbrook,2665,229,1141,194,844,146,23,31,231,99,547,115,515,112,32,36,43,36,43,36,0,27,297,136,15,30,0,27,11,29,4,25,0,27,282,136,38,58,202,104,30,48,12,30,1524,197,1238,174,178,67,217,75,742,149,663,136,79,74,101,52,101,52,0,27,286,107,161,87,15,33,32,41,53,43,61,64,125,70,0,27,47,40,78,64,0,27
9.1,Broadview/Bitter Lake,2993,252,1225,165,856,125,0,27,157,70,588,118,577,117,11,29,111,83,111,83,0,27,369,157,81,75,0,27,81,75,0,27,0,27,288,136,64,87,198,113,18,38,8,27,1768,237,1529,222,283,105,267,91,886,177,755,175,131,67,93,58,93,58,0,27,239,91,26,35,0,27,10,26,16,35,0,27,213,85,71,56,79,48,63,48,0,27
9.2,Licton Springs,1744,248,790,180,608,166,0,17,157,93,441,145,441,145,0,17,10,20,10,20,0,17,182,86,41,38,0,17,41,38,0,17,0,17,141,82,17,31,66,57,58,55,0,17,954,183,786,178,92,60,123,67,509,158,509,158,0,17,62,42,62,42,0,17,168,82,25,28,0,17,14,24,11,22,0,17,143,75,17,30,21,25,105,63,0,17
9.3,Greenwood/Phinney Ridge,5397,306,2382,199,2052,189,0,29,528,133,1407,187,1372,189,35,40,117,63,117,63,0,29,330,107,78,67,0,29,44,43,34,59,0,29,252,88,0,29,252,88,0,29,0,29,3015,270,2460,280,316,101,450,124,1514,239,1466,234,48,49,180,82,161,79,19,34,555,141,105,64,22,35,26,42,57,51,0,29,450,133,136,79,108,60,198,88,8,30
9.4,Green Lake,2937,232,1148,135,955,120,10,27,207,77,682,123,676,124,6,24,56,51,56,51,0,24,193,84,58,41,8,25,50,39,0,24,0,24,135,73,0,24,135,73,0,24,0,24,1789,234,1496,216,102,59,318,136,1025,183,988,183,37,34,51,37,42,34,9,28,293,119,51,41,0,24,24,33,10,22,17,36,242,114,15,33,70,52,145,98,12,28
9.5,Haller Lake,2381,228,981,168,781,159,0,21,191,102,536,141,536,141,0,21,54,42,54,42,0,21,200,81,96,60,0,21,96,60,0,21,0,21,104,60,3,16,101,59,0,21,0,21,1400,213,1167,218,141,60,233,88,720,203,720,203,0,21,73,54,37,42,36,35,233,101,84,58,28,26,19,31,19,32,18,33,149,86,10,21,107,78,16,27,16,25
10.1,North Beach/Blue Ridge,3159,193,1265,164,947,164,0,21,248,90,579,160,552,159,27,43,120,58,120,58,0,21,318,111,104,69,10,22,94,65,0,21,0,21,214,96,19,27,145,80,50,63,0,21,1894,160,1736,166,301,80,313,93,1027,156,940,148,87,57,95,51,95,51,0,21,158,67,11,18,0,21,0,21,11,18,0,21,147,65,16,30,43,32,88,55,0,21
10.2,Whittier Heights,2878,246,1366,169,1000,145,0,24,200,78,741,144,741,144,0,24,59,43,59,43,0,24,366,148,180,106,14,28,151,97,15,30,0,24,186,100,0,24,170,101,16,30,0,24,1512,245,1319,231,130,58,135,65,998,225,998,225,0,24,56,54,56,54,0,24,193,103,17,32,0,24,17,32,0,24,0,24,176,97,45,52,61,55,70,60,0,24
10.3,Sunset Hill/Loyal Heights,3269,202,1420,159,1176,159,36,43,170,70,941,174,928,172,13,27,29,39,29,39,0,24,244,101,71,70,0,24,27,33,44,63,0,24,173,80,11,24,149,76,13,27,0,24,1849,194,1575,198,197,82,268,106,935,189,892,186,43,39,175,83,159,79,16,28,274,112,115,82,0,24,27,30,78,75,10,23,159,76,42,39,29,38,88,59,0,24
10.4,Ballard,1233,229,384,98,312,101,0,17,106,70,206,101,187,91,19,32,0,17,0,17,0,17,72,47,0,17,0,17,0,17,0,17,0,17,72,47,0,17,53,51,19,32,0,17,849,238,618,207,39,47,71,64,508,201,508,201,0,17,0,17,0,17,0,17,231,120,78,71,19,30,0,17,59,64,0,17,153,92,0,17,63,53,90,91,0,17
11.1,Fremont,2776,260,985,131,759,125,0,24,207,101,546,101,546,101,0,24,6,24,6,24,0,24,226,94,123,73,0,24,123,73,0,24,0,24,103,71,19,31,84,61,0,24,0,24,1791,239,1577,233,56,48,341,124,1113,218,1088,214,25,36,67,51,67,51,0,24,214,85,25,33,0,24,17,33,8,24,0,24,189,80,29,37,101,61,59,49,0,24
11.2,Wallingford,2475,231,1135,139,885,118,0,27,133,65,708,121,708,121,0,27,44,37,30,33,14,33,250,95,64,40,0,27,64,40,0,27,0,27,186,88,0,27,186,88,0,27,0,27,1340,196,1107,162,107,54,212,79,689,129,689,129,0,27,99,53,99,53,0,27,233,118,139,100,8,27,9,27,85,90,37,47,94,54,26,33,16,29,52,45,0,27
11.3,Cascade/Eastlake,1426,294,391,137,192,105,0,21,13,29,179,111,179,111,0,21,0,21,0,21,0,21,199,124,58,97,0,21,58,97,0,21,0,21,141,78,0,21,120,73,21,31,0,21,1035,258,868,219,156,69,242,124,470,189,470,189,0,21,0,21,0,21,0,21,167,143,148,140,81,127,0,21,67,67,0,21,19,28,11,25,8,21,0,21,0,21
