area_id,area_name,b23022001,b23022001_moe,b23022002,b23022002_moe,b23022003,b23022003_moe,b23022004,b23022004_moe,b23022005,b23022005_moe,b23022006,b23022006_moe,b23022007,b23022007_moe,b23022008,b23022008_moe,b23022009,b23022009_moe,b23022010,b23022010_moe,b23022011,b23022011_moe,b23022012,b23022012_moe,b23022013,b23022013_moe,b23022014,b23022014_moe,b23022015,b23022015_moe,b23022016,b23022016_moe,b23022017,b23022017_moe,b23022018,b23022018_moe,b23022019,b23022019_moe,b23022020,b23022020_moe,b23022021,b23022021_moe,b23022022,b23022022_moe,b23022023,b23022023_moe,b23022024,b23022024_moe,b23022025,b23022025_moe,b23022026,b23022026_moe,b23022027,b23022027_moe,b23022028,b23022028_moe,b23022029,b23022029_moe,b23022030,b23022030_moe,b23022031,b23022031_moe,b23022032,b23022032_moe,b23022033,b23022033_moe,b23022034,b23022034_moe,b23022035,b23022035_moe,b23022036,b23022036_moe,b23022037,b23022037_moe,b23022038,b23022038_moe,b23022039,b23022039_moe,b23022040,b23022040_moe,b23022041,b23022041_moe,b23022042,b23022042_moe,b23022043,b23022043_moe,b23022044,b23022044_moe,b23022045,b23022045_moe,b23022046,b23022046_moe,b23022047,b23022047_moe,b23022048,b23022048_moe,b23022049,b23022049_moe
1.1,Arbor Heights,4207,213,2102,135,1927,141,1672,147,1456,151,9,19,35,32,42,36,108,64,22,30,220,67,131,58,8,18,35,31,17,24,0,17,29,33,35,33,0,17,0,17,0,17,0,17,0,17,35,33,175,76,2105,161,1796,146,1206,140,1063,127,9,19,19,22,57,43,50,43,8,18,447,121,284,93,46,49,18,19,50,43,7,16,42,34,143,65,47,47,0,17,32,37,9,19,8,17,47,35,309,96
1.2,Fauntleroy/Seaview,9613,488,4570,367,3976,306,3618,303,3198,326,57,46,123,72,169,98,48,55,23,27,302,104,134,69,11,25,15,28,44,40,18,34,80,57,56,46,15,29,0,24,0,24,13,27,28,36,0,24,594,196,5043,265,4356,285,3021,273,2490,250,81,58,137,72,83,60,144,81,86,61,1148,241,708,177,17,33,160,87,179,115,72,55,12,25,187,78,16,31,0,24,25,39,48,46,19,35,79,54,687,166
1.3,West Seattle Junction/Genesee Hill,12527,506,5977,385,5009,369,4156,328,3506,298,108,87,193,100,248,105,59,81,42,42,749,197,205,99,25,39,216,101,144,107,29,37,130,88,104,66,0,29,0,29,0,29,30,43,19,32,55,47,968,194,6550,380,5574,370,4201,366,3533,356,85,56,164,85,214,120,130,83,75,53,1107,203,630,163,79,61,157,79,101,62,89,60,51,48,266,103,26,32,0,29,27,40,39,49,23,33,151,90,976,234
1.4,Alki/Admiral,7769,413,3679,276,3266,259,2803,243,2345,246,46,43,147,87,113,70,32,37,120,72,276,94,131,66,0,24,40,47,25,29,12,26,68,50,187,113,111,97,0,24,0,24,19,35,0,24,57,44,413,127,4090,337,3291,284,2399,262,1969,241,25,29,32,36,103,62,157,112,113,67,703,194,293,123,35,39,98,67,150,73,23,42,104,68,189,85,11,25,0,24,0,24,18,34,19,34,141,77,799,204
2.1,North Delridge,3799,267,1886,192,1735,181,1526,185,1224,190,36,42,72,69,28,32,51,50,115,106,173,87,61,54,0,12,26,30,0,12,51,77,35,33,36,44,1,3,0,12,0,12,0,12,21,32,14,22,151,91,1913,194,1673,208,1276,220,937,224,45,47,94,85,123,82,51,66,26,30,331,123,160,82,0,12,0,12,59,71,39,43,73,69,66,59,0,12,0,12,0,12,0,12,16,28,50,53,240,94
2.2,High Point,4505,400,2060,270,1568,197,1165,199,1004,195,15,27,10,21,36,40,71,68,29,36,345,136,161,89,0,17,14,30,102,94,7,18,61,77,58,50,22,26,0,17,0,17,7,18,0,17,29,41,492,186,2445,300,1672,240,1156,227,882,172,14,24,59,42,99,119,96,104,6,18,446,140,319,117,5,16,36,32,29,32,37,38,20,25,70,69,29,45,0,17,41,55,0,17,0,17,0,17,773,204
2.3,Riverview,3467,230,1883,224,1531,213,1218,210,931,156,28,24,119,89,30,32,83,59,27,25,302,119,121,74,0,12,25,24,56,53,46,48,54,55,11,18,0,12,0,12,0,12,0,12,11,18,0,12,352,115,1584,145,1398,135,1020,125,913,128,16,19,8,13,27,28,30,37,26,20,243,89,135,67,0,12,27,23,39,37,29,46,13,20,135,54,41,32,0,12,0,12,34,29,31,25,29,26,186,75
2.4,Roxhill/Westwood,9169,563,4449,392,3871,380,3350,359,2813,314,51,41,115,96,216,137,100,59,55,41,457,151,236,118,7,21,21,30,2,18,113,78,78,53,64,60,38,61,0,21,0,21,12,31,0,21,14,28,578,163,4720,406,3580,301,2580,288,2113,263,153,96,130,90,108,61,36,42,40,35,779,155,336,93,68,48,78,53,157,94,77,57,63,45,221,101,42,38,0,21,19,33,2,18,24,31,134,81,1140,330
2.5,Highland Park,4156,335,2284,251,1832,208,1390,195,1093,188,18,30,72,51,85,75,84,62,38,49,350,114,119,68,0,21,0,21,58,60,56,50,117,69,92,60,23,37,0,21,0,21,0,21,36,35,33,43,452,187,1872,195,1611,196,929,144,789,149,11,24,17,30,79,70,14,25,19,26,556,172,359,156,0,21,84,79,0,21,53,53,60,54,126,98,66,81,18,32,13,23,0,21,0,21,29,36,261,108
3.1,South Park,2869,433,1535,382,1249,379,879,294,649,193,0,17,103,75,57,56,46,67,24,27,347,214,112,59,11,23,67,83,118,189,19,30,20,29,23,22,15,21,0,17,8,18,0,17,0,17,0,17,286,105,1334,194,954,183,596,120,500,122,0,17,47,49,16,30,0,17,33,35,253,140,155,101,0,17,0,17,45,43,21,24,32,51,105,58,25,29,7,18,26,34,0,17,0,17,47,49,380,100
