area_id,area_name,b25003a001,b25003a001_moe,b25003a002,b25003a002_moe,b25003a003,b25003a003_moe
1.1,Arbor Heights,2333,129,1917,147,416,111
1.2,Fauntleroy/Seaview,5908,239,4334,255,1574,223
1.3,West Seattle Junction/Genesee Hill,7684,277,4695,282,2989,325
1.4,Alki/Admiral,5148,253,2824,231,2324,260
2.1,North Delridge,1838,170,1100,181,738,167
2.2,High Point,1340,196,765,144,575,162
2.3,Riverview,1134,108,780,104,354,118
2.4,Roxhill/Westwood,3933,227,2365,200,1568,225
2.5,Highland Park,1917,191,962,157,955,204
3.1,South Park,884,126,360,100,524,129
3.2,Georgetown,527,62,140,61,387,71
3.3,Duwamish/SODO,536,109,323,82,213,83
3.4,South Beacon Hill/NewHolly,927,162,635,135,292,116
3.5,Beacon Hill,876,166,650,161,226,108
3.6,North Beacon Hill/Jefferson Park,2179,252,1050,183,1129,203
4.1,Rainier Beach,2088,229,1322,199,766,184
4.2,Columbia City,2627,289,1896,239,731,208
4.3,Seward Park,1976,146,1671,140,305,110
4.4,Mt. Baker/North Rainier,1388,137,1144,132,244,101
5.1,Madrona/Leschi,2846,222,2158,212,688,207
5.2,Judkins Park,435,101,147,58,288,92
5.3,Central Area/Squire Park,5565,296,2531,247,3034,296
6.1,First Hill,5278,346,955,171,4323,347
6.2,Capitol Hill,11199,492,2197,314,9002,498
6.3,North Capitol Hill,2018,165,980,172,1038,199
6.4,Miller Park,2558,146,1236,135,1322,141
6.5,Madison Park,2482,171,1418,159,1064,155
7.1,Montlake/Portage Bay,4072,171,2229,160,1843,178
7.2,University District,3313,295,726,117,2587,298
7.3,Ravenna/Bryant,8229,290,5193,250,3036,296
7.4,Wedgwood/View Ridge,5200,186,4283,197,917,159
7.5,Laurelhurst/Sand Point,3623,211,2444,193,1179,191
8.1,Northgate/Maple Leaf,5069,247,2276,180,2793,269
8.2,Olympic Hills/Victory Heights,4962,243,2843,221,2119,274
8.3,Cedar Park/Meadowbrook,4470,263,2582,179,1888,248
9.1,Broadview/Bitter Lake,5290,276,2855,200,2435,279
9.2,Licton Springs,3147,212,1308,210,1839,262
9.3,Greenwood/Phinney Ridge,9468,281,5688,297,3780,293
9.4,Green Lake,5867,273,3147,243,2720,265
9.5,Haller Lake,3321,180,2229,205,1092,213
10.1,North Beach/Blue Ridge,4624,161,3398,187,1226,185
10.2,Whittier Heights,5092,161,2840,239,2252,256
10.3,Sunset Hill/Loyal Heights,5961,201,3853,224,2108,236
10.4,Ballard,3549,237,792,169,2757,283
11.1,Fremont,7522,284,2875,258,4647,324
11.2,Wallingford,5943,280,2726,195,3217,289
11.3,Cascade/Eastlake,6103,433,720,153,5383,428
12.1,Magnolia,5208,192,4004,250,1204,203
12.2,Interbay,4505,256,1974,214,2531,286
12.3,Queen Anne,16100,490,6797,390,9303,509
13.1,Belltown,4350,343,1248,223,3102,322
13.2,Downtown Commercial Core,1864,218,399,102,1465,224
13.3,Pioneer Square/International District,1220,160,65,40,1155,160
