area_id,area_name,b25014d001,b25014d001_moe,b25014d002,b25014d002_moe,b25014d003,b25014d003_moe
1.1,Arbor Heights,106,53,106,53,0,17
1.2,Fauntleroy/Seaview,240,96,240,96,0,24
1.3,West Seattle Junction/Genesee Hill,178,79,157,77,21,33
1.4,Alki/Admiral,302,114,302,114,0,24
2.1,North Delridge,212,100,212,100,0,12
2.2,High Point,590,146,528,137,62,77
2.3,Riverview,228,61,187,70,41,29
2.4,Roxhill/Westwood,491,129,413,122,78,66
2.5,Highland Park,267,78,258,81,9,22
3.1,South Park,191,51,180,56,11,20
3.2,Georgetown,25,20,15,19,10,7
3.3,Duwamish/SODO,209,55,204,54,5,10
3.4,South Beacon Hill/NewHolly,2013,195,1779,193,234,99
3.5,Beacon Hill,1505,186,1396,196,109,68
3.6,North Beacon Hill/Jefferson Park,2271,215,2132,236,139,73
4.1,Rainier Beach,1148,198,1073,208,75,58
4.2,Columbia City,1359,191,1213,193,146,71
4.3,Seward Park,565,83,502,90,63,39
4.4,Mt. Baker/North Rainier,382,82,360,82,22,31
5.1,Madrona/Leschi,254,91,237,94,17,28
5.2,Judkins Park,597,106,538,100,59,37
5.3,Central Area/Squire Park,473,150,473,150,0,24
6.1,First Hill,1179,208,1119,201,60,55
6.2,Capitol Hill,1106,279,1083,281,23,32
6.3,North Capitol Hill,187,107,187,107,0,12
6.4,Miller Park,180,65,180,65,0,17
6.5,Madison Park,125,99,125,99,0,17
7.1,Montlake/Portage Bay,202,81,191,82,11,25
7.2,University District,1400,220,1350,220,50,63
7.3,Ravenna/Bryant,977,185,961,186,16,35
7.4,Wedgwood/View Ridge,623,103,614,105,9,27
7.5,Laurelhurst/Sand Point,486,143,463,145,23,26
8.1,Northgate/Maple Leaf,1211,201,1115,206,96,76
8.2,Olympic Hills/Victory Heights,1062,198,961,185,101,102
8.3,Cedar Park/Meadowbrook,532,135,532,135,0,27
9.1,Broadview/Bitter Lake,513,135,513,135,0,27
9.2,Licton Springs,835,175,800,169,35,55
9.3,Greenwood/Phinney Ridge,701,155,627,145,74,72
9.4,Green Lake,403,118,403,118,0,24
9.5,Haller Lake,523,130,512,134,11,22
10.1,North Beach/Blue Ridge,220,77,213,77,7,21
10.2,Whittier Heights,212,82,212,82,0,24
10.3,Sunset Hill/Loyal Heights,231,102,231,102,0,24
10.4,Ballard,273,124,256,127,17,27
11.1,Fremont,390,117,382,117,8,27
11.2,Wallingford,868,185,842,185,26,37
11.3,Cascade/Eastlake,1391,291,1356,290,35,41
12.1,Magnolia,214,89,214,89,0,24
12.2,Interbay,256,128,256,128,0,21
12.3,Queen Anne,1492,276,1449,276,43,51
13.1,Belltown,640,203,640,203,0,21
13.2,Downtown Commercial Core,194,105,166,100,28,38
13.3,Pioneer Square/International District,1302,146,1183,156,119,60
