area_id,area_name,b25036001,b25036001_moe,b25036002,b25036002_moe,b25036003,b25036003_moe,b25036004,b25036004_moe,b25036005,b25036005_moe,b25036006,b25036006_moe,b25036007,b25036007_moe,b25036008,b25036008_moe,b25036009,b25036009_moe,b25036010,b25036010_moe,b25036011,b25036011_moe,b25036012,b25036012_moe,b25036013,b25036013_moe,b25036014,b25036014_moe,b25036015,b25036015_moe,b25036016,b25036016_moe,b25036017,b25036017_moe,b25036018,b25036018_moe,b25036019,b25036019_moe,b25036020,b25036020_moe,b25036021,b25036021_moe
1.1,Arbor Heights,2639,96,2173,132,0,17,127,56,57,39,121,61,165,63,247,85,553,114,554,112,349,99,466,107,0,17,9,18,43,47,0,17,73,47,36,28,45,36,190,90,70,50
1.2,Fauntleroy/Seaview,6410,211,4581,249,0,24,228,115,184,76,300,111,306,120,364,116,863,160,955,200,1381,239,1829,241,0,24,50,48,211,112,260,110,194,88,176,97,335,139,235,101,368,138
1.3,West Seattle Junction/Genesee Hill,8391,238,4963,275,18,38,421,148,277,95,210,85,168,81,166,79,857,157,760,173,2086,250,3428,333,0,29,295,114,531,171,217,98,196,115,424,125,597,194,477,157,691,210
1.4,Alki/Admiral,5786,190,3091,242,0,24,226,99,238,103,419,127,191,86,170,77,436,138,371,133,1040,175,2695,240,0,24,246,89,272,124,422,163,373,137,423,141,382,124,234,97,343,160
2.1,North Delridge,2387,100,1294,174,0,12,247,98,180,80,104,92,25,40,14,23,42,37,188,94,494,157,1093,168,0,12,95,77,174,95,170,123,112,62,89,85,118,89,86,71,249,105
2.2,High Point,2731,199,1098,171,0,17,356,120,100,63,34,32,96,48,56,73,98,88,192,59,166,77,1633,227,0,17,537,125,98,58,121,92,333,157,103,90,87,83,117,95,237,133
2.3,Riverview,1680,73,1161,125,0,12,155,77,167,74,164,64,95,46,65,37,165,87,162,71,188,65,519,122,0,12,35,35,49,50,14,17,85,65,111,70,84,55,99,57,42,45
2.4,Roxhill/Westwood,5489,176,2881,214,17,30,277,116,90,58,169,74,255,88,168,80,597,146,768,133,540,116,2608,233,0,21,104,83,283,115,268,111,722,185,476,149,335,123,184,95,236,128
2.5,Highland Park,2563,202,1290,156,0,21,138,88,52,49,55,49,92,60,162,72,190,88,290,104,311,97,1273,220,73,53,444,133,71,58,172,101,86,68,142,123,87,62,115,95,83,60
3.1,South Park,1323,80,610,110,0,17,109,53,53,38,0,17,9,18,14,26,115,55,80,49,230,83,713,122,0,17,62,55,65,56,79,66,23,31,85,66,91,69,78,60,230,96
3.2,Georgetown,630,55,195,59,0,12,43,27,7,12,0,12,0,12,0,12,11,18,0,12,134,56,435,76,0,12,4,6,7,11,0,12,30,31,4,6,79,74,74,55,237,70
3.3,Duwamish/SODO,944,90,494,93,0,12,35,36,13,24,86,55,28,28,50,36,93,45,62,44,127,50,450,116,0,12,0,12,0,12,119,82,67,50,72,42,0,12,48,50,144,89
3.4,South Beacon Hill/NewHolly,4531,190,2403,205,0,24,607,130,267,85,154,89,214,88,270,103,389,105,184,80,318,102,2128,233,0,24,884,171,258,115,175,91,117,94,226,98,220,111,147,95,101,75
3.5,Beacon Hill,2893,137,2074,222,0,17,298,121,168,85,140,82,186,113,205,81,442,121,277,107,358,130,819,197,0,17,147,97,106,79,81,65,138,85,0,17,197,89,75,78,75,57
3.6,North Beacon Hill/Jefferson Park,5765,192,2583,244,12,28,356,107,303,132,91,59,100,83,49,44,335,122,335,117,1002,166,3182,273,0,24,580,151,167,109,64,44,280,109,388,150,488,168,286,134,929,214
4.1,Rainier Beach,5403,197,3197,260,0,27,140,79,325,119,85,61,220,116,352,124,850,160,344,122,881,220,2206,294,46,62,47,49,379,157,27,38,359,168,522,208,447,189,230,114,149,113
4.2,Columbia City,6493,254,3378,280,0,27,442,163,191,96,124,58,61,46,272,98,430,142,394,119,1464,223,3115,312,27,35,698,210,102,79,125,77,374,154,589,199,674,209,259,154,267,106
4.3,Seward Park,3376,140,2646,140,0,17,244,81,140,65,122,81,53,38,269,104,664,142,477,120,677,140,730,135,0,17,51,42,12,16,0,17,115,66,125,89,173,88,66,47,188,87
4.4,Mt. Baker/North Rainier,2340,165,1640,130,0,17,104,62,184,67,44,44,22,31,36,33,109,66,157,99,984,137,700,146,0,17,15,26,115,65,56,73,61,43,257,125,27,32,41,40,128,93
5.1,Madrona/Leschi,4262,205,2999,239,0,21,239,120,167,85,227,113,123,87,57,49,190,92,237,110,1759,236,1263,209,0,21,109,64,97,62,58,59,204,135,225,138,197,141,47,43,326,162
5.2,Judkins Park,1553,98,417,95,0,12,211,76,18,20,31,30,10,15,0,12,14,22,17,21,116,63,1136,129,0,12,413,106,86,58,116,74,239,96,85,47,7,12,108,62,82,63
5.3,Central Area/Squire Park,8106,238,3478,250,34,44,528,132,176,82,277,113,97,61,137,91,230,86,178,92,1821,197,4628,310,0,24,435,151,181,77,429,164,613,202,400,146,358,126,293,135,1919,249
6.1,First Hill,7537,281,1118,179,0,24,294,121,65,43,138,57,83,44,206,86,67,57,91,59,174,85,6419,309,32,35,1132,222,488,133,397,131,673,168,787,163,596,167,563,179,1751,267
6.2,Capitol Hill,13942,322,2655,326,23,44,402,133,363,122,588,175,162,95,384,157,121,81,49,60,563,204,11287,402,190,187,963,277,769,203,504,145,945,255,1478,313,955,247,489,177,4994,455
6.3,North Capitol Hill,2363,123,1181,173,0,12,107,59,0,12,88,53,86,81,123,86,72,64,33,36,672,157,1182,192,0,12,62,63,16,26,17,30,111,81,134,88,233,108,117,97,492,154
6.4,Miller Park,3180,100,1539,129,7,16,172,67,97,57,58,52,29,28,19,23,24,25,22,26,1111,120,1641,131,0,17,128,65,29,29,104,75,179,64,121,57,148,63,48,38,884,132
6.5,Madison Park,2679,129,1515,141,0,17,143,72,100,54,104,52,60,51,215,99,199,80,87,57,607,114,1164,153,0,17,0,17,29,36,32,36,36,39,295,119,98,91,106,96,568,148
7.1,Montlake/Portage Bay,4576,111,2427,160,0,21,163,58,81,56,84,60,123,68,55,41,96,51,93,47,1732,162,2149,176,0,21,293,129,98,69,79,63,244,108,279,103,202,111,227,129,727,161
7.2,University District,5280,209,774,113,0,29,0,29,23,32,0,29,0,29,16,34,4,25,0,29,731,116,4506,235,0,29,436,129,417,159,321,121,551,195,657,201,153,79,260,132,1711,294
7.3,Ravenna/Bryant,9895,238,5892,251,14,35,394,102,144,62,99,66,183,93,172,72,818,150,1220,179,2848,229,4003,299,27,44,570,141,216,101,577,142,517,153,480,153,436,130,335,127,845,185
7.4,Wedgwood/View Ridge,6148,153,4860,199,19,28,261,91,236,103,274,99,454,115,441,125,1456,182,1379,172,340,85,1288,178,0,27,97,54,95,71,96,51,108,54,195,86,272,93,353,111,72,47
7.5,Laurelhurst/Sand Point,4412,158,2853,202,0,21,206,87,32,39,65,48,380,97,134,79,360,127,858,151,818,135,1559,212,0,21,272,97,220,93,114,76,240,80,160,97,145,79,285,120,123,70
8.1,Northgate/Maple Leaf,6976,196,2723,187,0,24,160,69,192,101,249,61,286,98,107,54,397,105,567,138,765,121,4253,238,106,77,496,136,549,168,548,186,1151,231,486,156,549,169,167,79,201,85
8.2,Olympic Hills/Victory Heights,6737,204,3497,241,0,24,332,124,214,83,289,105,430,108,361,126,852,148,664,152,355,135,3240,292,87,96,292,125,305,101,501,165,763,199,478,150,386,153,193,85,235,127
8.3,Cedar Park/Meadowbrook,5748,207,2854,179,0,27,114,56,201,80,170,70,188,70,361,116,671,143,494,110,655,155,2894,245,0,27,456,119,409,126,391,157,695,185,395,143,207,98,118,72,223,97
9.1,Broadview/Bitter Lake,6683,218,3285,224,0,27,177,102,105,86,324,104,194,81,382,113,886,128,784,160,433,136,3398,253,15,33,646,174,521,169,611,161,522,182,565,189,311,122,92,75,115,85
9.2,Licton Springs,4422,146,1802,240,0,17,560,158,235,102,289,122,61,35,58,68,159,70,132,69,308,108,2620,254,0,17,417,175,377,114,463,166,403,136,213,84,385,182,239,149,123,72
9.3,Greenwood/Phinney Ridge,10923,235,6353,313,13,33,390,105,232,83,413,117,292,107,189,96,329,111,465,118,4030,279,4570,322,0,29,328,104,380,131,521,152,725,177,524,152,282,92,267,102,1543,248
9.4,Green Lake,6673,219,3442,241,0,24,466,130,211,91,96,55,103,88,49,39,90,68,177,78,2250,226,3231,254,19,34,319,113,335,152,330,124,319,127,616,159,474,168,174,88,645,160
9.5,Haller Lake,4467,139,2687,222,18,30,104,59,228,107,303,108,276,116,225,90,897,186,506,161,130,62,1780,238,0,21,128,90,283,176,376,130,368,187,312,139,113,55,131,62,69,52
10.1,North Beach/Blue Ridge,5103,114,3604,180,11,25,177,68,166,65,174,78,153,65,305,106,997,141,775,133,846,144,1499,180,0,21,90,71,117,74,296,105,236,89,189,86,234,76,232,118,105,58
10.2,Whittier Heights,5610,116,3010,236,0,24,265,94,130,71,145,76,28,33,71,54,184,77,390,117,1797,199,2600,254,0,24,116,86,129,86,220,106,566,173,396,118,238,103,351,131,584,178
10.3,Sunset Hill/Loyal Heights,6432,193,4062,235,0,24,277,102,197,78,122,70,80,52,180,66,346,127,769,163,2091,247,2370,246,0,24,93,78,146,100,195,97,333,127,347,128,286,112,360,116,610,188
10.4,Ballard,4091,212,926,189,0,17,342,130,85,71,68,57,15,25,43,51,30,34,64,45,279,110,3165,293,268,123,788,218,299,159,244,131,421,147,334,120,388,154,12,19,411,165
11.1,Fremont,8389,231,3272,278,0,24,695,177,193,84,259,97,215,103,96,56,100,60,250,88,1464,212,5117,318,12,28,315,118,369,135,594,164,955,239,579,166,529,144,312,126,1452,288
11.2,Wallingford,7409,188,2998,202,0,27,226,86,106,59,91,47,130,73,75,46,70,60,59,43,2241,190,4411,250,0,27,574,159,670,168,465,166,645,155,436,162,276,118,131,72,1214,216
11.3,Cascade/Eastlake,8722,431,914,176,0,21,512,143,18,34,95,55,24,33,68,61,0,21,27,42,170,63,7808,430,97,92,2689,356,1369,286,366,153,654,173,550,195,422,169,227,127,1434,277
12.1,Magnolia,5548,152,4234,252,13,26,400,142,205,91,185,95,200,118,150,73,569,140,1114,186,1398,224,1314,210,0,24,64,71,79,53,164,91,115,81,180,101,227,97,313,123,172,103
12.2,Interbay,5251,185,2230,221,0,21,113,68,108,54,218,116,428,143,331,113,465,149,218,99,349,109,3021,259,16,28,198,103,138,91,395,169,845,196,608,178,408,165,139,85,274,137
12.3,Queen Anne,19175,394,7628,391,24,52,934,199,689,162,728,176,428,144,506,149,228,85,288,120,3803,300,11547,494,35,55,1378,259,945,263,959,252,1470,295,1561,252,1377,287,928,261,2894,358
13.1,Belltown,5934,298,1587,279,0,21,631,219,376,156,452,127,49,42,0,21,0,21,0,21,79,54,4347,335,52,59,1458,264,804,165,387,145,230,66,153,93,29,34,88,68,1146,208
13.2,Downtown Commercial Core,2452,178,444,105,0,12,104,48,159,66,67,48,29,32,0,12,0,12,0,12,85,55,2008,197,0,12,356,134,421,131,214,85,104,83,0,12,70,73,64,69,779,194
13.3,Pioneer Square/International District,3024,156,144,59,0,17,85,47,12,20,11,21,0,17,9,20,0,17,0,17,27,25,2880,161,0,17,481,111,277,100,211,92,137,61,130,57,200,88,190,94,1254,183
