area_id,area_name,b25045001,b25045001_moe,b25045002,b25045002_moe,b25045003,b25045003_moe,b25045004,b25045004_moe,b25045005,b25045005_moe,b25045006,b25045006_moe,b25045007,b25045007_moe,b25045008,b25045008_moe,b25045009,b25045009_moe,b25045010,b25045010_moe,b25045011,b25045011_moe,b25045012,b25045012_moe,b25045013,b25045013_moe,b25045014,b25045014_moe,b25045015,b25045015_moe,b25045016,b25045016_moe,b25045017,b25045017_moe,b25045018,b25045018_moe,b25045019,b25045019_moe
1.1,Arbor Heights,2639,96,2173,132,35,31,0,17,24,29,11,21,2138,138,193,85,1437,127,508,73,466,107,17,23,9,19,8,17,0,17,449,108,160,66,256,98,33,32
1.2,Fauntleroy/Seaview,6410,211,4581,249,102,65,0,24,43,42,59,52,4479,253,543,160,2885,237,1051,145,1829,241,230,97,50,47,130,80,50,45,1599,232,595,159,909,204,95,57
1.3,West Seattle Junction/Genesee Hill,8391,238,4963,275,146,92,15,35,65,78,66,52,4817,278,479,146,3387,259,951,136,3428,333,577,171,100,66,186,131,291,111,2851,321,1089,210,1490,257,272,101
1.4,Alki/Admiral,5786,190,3091,242,82,63,0,24,67,60,15,29,3009,249,157,92,1893,197,959,124,2695,240,268,105,65,66,88,54,115,73,2427,253,982,179,1219,215,226,130
2.1,North Delridge,2387,100,1294,174,26,30,0,12,0,12,26,30,1268,180,251,111,820,158,197,54,1093,168,151,76,54,43,97,62,0,12,942,156,392,146,535,144,15,24
2.2,High Point,2731,199,1098,171,53,45,9,18,34,39,10,20,1045,171,255,124,667,151,123,58,1633,227,537,169,40,43,312,125,185,110,1096,227,498,163,539,188,59,45
2.3,Riverview,1680,73,1161,125,8,13,0,12,0,12,8,13,1153,125,140,57,849,109,164,44,519,122,60,58,0,12,60,58,0,12,459,118,195,98,255,97,9,14
2.4,Roxhill/Westwood,5489,176,2881,214,78,49,8,21,7,20,63,49,2803,218,421,121,1944,189,438,81,2608,233,396,114,75,53,175,84,146,64,2212,244,957,213,1049,215,206,101
2.5,Highland Park,2563,202,1290,156,27,34,0,21,0,21,27,34,1263,156,207,100,872,157,184,69,1273,220,454,143,25,29,186,88,243,116,819,198,320,148,351,138,148,85
3.1,South Park,1323,80,610,110,15,21,0,17,7,17,8,17,595,109,53,32,444,109,98,51,713,122,138,72,32,44,77,53,29,39,575,122,310,100,231,93,34,46
3.2,Georgetown,630,55,195,59,0,12,0,12,0,12,0,12,195,59,17,24,158,63,20,14,435,76,84,73,43,47,41,48,0,12,351,83,98,58,220,78,33,42
3.3,Duwamish/SODO,944,90,494,93,14,17,0,12,0,12,14,17,480,91,99,50,273,72,108,39,450,116,69,62,19,32,43,52,7,13,381,123,217,97,124,72,40,28
3.4,South Beacon Hill/NewHolly,4531,190,2403,205,79,51,0,24,42,41,37,34,2324,209,292,109,1565,202,467,89,2128,233,412,115,60,60,93,76,259,82,1716,232,568,184,995,199,153,81
3.5,Beacon Hill,2893,137,2074,222,181,90,0,17,32,38,149,83,1893,224,313,144,1147,197,433,120,819,197,125,84,49,60,36,42,40,47,694,176,232,112,407,159,55,53
3.6,North Beacon Hill/Jefferson Park,5765,192,2583,244,186,72,18,34,38,35,130,60,2397,236,309,123,1793,206,295,95,3182,273,916,234,99,70,378,166,439,151,2266,309,990,223,1018,240,258,126
4.1,Rainier Beach,5403,197,3197,260,77,54,0,27,40,40,37,38,3120,263,151,99,2184,230,785,132,2206,294,456,152,126,103,177,102,153,93,1750,292,626,212,1003,258,121,81
4.2,Columbia City,6493,254,3378,280,132,76,11,30,48,48,73,57,3246,285,332,125,2364,245,550,113,3115,312,796,201,166,139,356,150,274,119,2319,306,507,171,1604,285,208,88
4.3,Seward Park,3376,140,2646,140,60,40,0,17,38,31,22,26,2586,136,267,102,1744,148,575,99,730,135,154,71,60,60,85,59,9,18,576,132,169,74,382,124,25,22
4.4,Mt. Baker/North Rainier,2340,165,1640,130,51,40,25,32,0,17,26,26,1589,141,53,45,1247,127,289,87,700,146,221,78,0,17,134,69,87,56,479,135,163,90,309,123,7,16
5.1,Madrona/Leschi,4262,205,2999,239,90,89,0,21,76,87,14,25,2909,255,233,109,1975,236,701,116,1263,209,95,64,53,51,12,23,30,38,1168,212,521,171,549,159,98,59
5.2,Judkins Park,1553,98,417,95,55,50,0,12,55,50,0,12,362,96,78,48,236,82,48,32,1136,129,443,101,42,35,60,37,341,95,693,155,300,102,268,108,125,52
5.3,Central Area/Squire Park,8106,238,3478,250,342,116,38,38,166,83,138,69,3136,253,483,136,2236,214,417,112,4628,310,1175,224,417,151,410,137,348,118,3453,319,1701,258,1469,272,283,152
6.1,First Hill,7537,281,1118,179,273,106,62,66,141,70,70,47,845,158,229,89,436,140,180,78,6419,309,3318,321,1594,282,961,214,763,142,3101,322,1714,247,940,233,447,102
6.2,Capitol Hill,13942,322,2655,326,466,181,130,108,248,144,88,61,2189,303,546,155,1402,268,241,98,11287,402,4885,471,2245,345,2130,337,510,184,6402,504,4298,470,1967,378,137,87
6.3,North Capitol Hill,2363,123,1181,173,115,103,0,12,89,96,26,37,1066,165,51,46,695,132,320,101,1182,192,236,103,68,59,140,68,28,32,946,173,587,156,359,151,0,12
6.4,Miller Park,3180,100,1539,129,39,28,8,17,9,19,22,23,1500,133,179,75,1059,108,262,51,1641,131,395,100,196,80,176,67,23,25,1246,155,818,150,377,94,51,40
6.5,Madison Park,2679,129,1515,141,51,47,0,17,0,17,51,47,1464,136,67,46,841,107,556,115,1164,153,97,86,0,17,61,75,36,42,1067,152,357,143,525,168,185,97
7.1,Montlake/Portage Bay,4576,111,2427,160,108,60,0,21,76,51,32,31,2319,150,202,78,1488,142,629,75,2149,176,128,80,63,54,65,59,0,21,2021,203,1383,208,589,160,49,40
