area_id,area_name,b25063001,b25063001_moe,b25063002,b25063002_moe,b25063003,b25063003_moe,b25063004,b25063004_moe,b25063005,b25063005_moe,b25063006,b25063006_moe,b25063007,b25063007_moe,b25063008,b25063008_moe,b25063009,b25063009_moe,b25063010,b25063010_moe,b25063011,b25063011_moe,b25063012,b25063012_moe,b25063013,b25063013_moe,b25063014,b25063014_moe,b25063015,b25063015_moe,b25063016,b25063016_moe,b25063017,b25063017_moe,b25063018,b25063018_moe,b25063019,b25063019_moe,b25063020,b25063020_moe,b25063021,b25063021_moe,b25063022,b25063022_moe,b25063023,b25063023_moe,b25063024,b25063024_moe
1.1,Arbor Heights,466,107,425,106,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,17,23,0,17,27,30,21,23,52,44,103,56,176,83,29,26,41,44
1.2,Fauntleroy/Seaview,1829,241,1818,240,0,24,42,70,18,34,11,25,0,24,19,34,0,24,0,24,50,42,31,39,28,37,36,57,16,31,56,75,93,64,76,53,235,119,429,132,369,129,204,105,105,60,11,25
1.3,West Seattle Junction/Genesee Hill,3428,333,3243,340,0,29,0,29,0,29,61,84,14,33,80,57,0,29,92,90,0,29,0,29,10,30,94,67,38,45,71,56,56,49,326,128,272,128,734,203,447,137,746,202,202,110,185,114
1.4,Alki/Admiral,2695,240,2671,243,0,24,52,67,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,23,30,37,25,33,172,79,95,77,348,141,329,118,582,171,256,107,496,162,279,106,24,40
2.1,North Delridge,1093,168,1042,162,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,26,0,12,0,12,0,12,16,26,67,81,15,24,14,23,101,63,148,104,325,127,168,116,134,93,38,40,51,46
2.2,High Point,1633,227,1567,221,59,77,0,17,123,89,55,51,60,58,147,117,50,56,47,38,15,27,95,102,17,23,17,26,72,105,0,17,8,18,146,85,87,60,262,148,137,81,72,53,98,61,66,52
2.3,Riverview,519,122,510,120,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,43,9,12,0,12,0,12,0,12,0,12,11,16,0,12,9,14,0,12,90,63,142,67,184,86,38,46,9,14
2.4,Roxhill/Westwood,2608,233,2544,229,0,21,0,21,12,27,21,27,90,62,81,77,0,21,57,73,81,72,0,21,13,27,45,43,125,93,177,125,104,78,369,141,306,127,411,117,258,106,281,138,113,79,64,42
2.5,Highland Park,1273,220,1244,224,0,21,0,21,0,21,0,21,0,21,0,21,0,21,21,35,0,21,15,27,21,35,18,31,98,88,85,74,77,68,170,128,247,103,152,79,202,105,82,66,56,45,29,37
3.1,South Park,713,122,700,122,0,17,0,17,0,17,0,17,11,22,29,39,0,17,26,43,0,17,18,23,31,43,21,38,36,40,63,57,37,48,77,67,41,44,75,56,83,62,152,84,0,17,13,19
3.2,Georgetown,435,76,435,76,0,12,0,12,0,12,0,12,3,6,0,12,4,7,29,31,0,12,41,50,40,41,21,21,9,15,30,31,65,54,99,71,0,12,66,70,7,11,21,30,0,12,0,12
3.3,Duwamish/SODO,450,116,401,114,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,19,51,57,21,33,43,40,47,47,74,42,110,75,29,26,0,12,49,66
3.4,South Beacon Hill/NewHolly,2128,233,1981,227,26,37,0,24,57,59,137,80,54,67,67,49,12,28,0,24,136,111,41,54,22,39,65,82,21,33,111,59,36,36,115,77,81,72,397,142,299,149,176,91,128,78,147,88
3.5,Beacon Hill,819,197,819,197,0,17,0,17,0,17,0,17,0,17,0,17,0,17,37,57,12,22,0,17,20,31,17,28,22,37,24,29,18,33,104,80,99,82,90,66,84,65,249,117,43,40,0,17
3.6,North Beacon Hill/Jefferson Park,3182,273,3056,278,28,29,30,38,50,66,148,103,28,35,35,36,103,74,66,64,75,73,77,68,55,75,24,31,120,104,287,142,154,116,499,180,211,119,373,155,296,138,286,123,111,83,126,77
4.1,Rainier Beach,2206,294,2165,297,0,27,0,27,0,27,46,59,33,53,59,76,52,61,0,27,9,26,60,68,34,42,94,101,99,76,129,124,192,112,285,146,259,138,148,73,238,133,270,151,158,109,41,40
4.2,Columbia City,3115,312,3065,310,0,27,14,31,0,27,61,56,54,53,54,59,27,36,43,42,45,43,48,58,58,60,42,42,291,169,164,82,203,119,427,182,311,161,469,181,276,144,365,134,113,89,50,47
4.3,Seward Park,730,135,712,134,0,17,0,17,0,17,0,17,51,59,6,17,0,17,0,17,9,19,0,17,10,19,0,17,26,29,22,26,75,65,203,99,50,44,81,61,68,50,76,42,35,30,18,24
4.4,Mt. Baker/North Rainier,700,146,675,144,41,43,0,17,10,18,26,30,25,30,42,33,0,17,26,30,50,82,0,17,0,17,63,59,15,25,12,23,0,17,78,71,43,45,61,77,44,41,107,84,32,34,25,30
5.1,Madrona/Leschi,1263,209,1233,213,0,21,0,21,0,21,0,21,0,21,0,21,18,34,17,30,0,21,0,21,18,32,0,21,59,83,0,21,13,24,223,119,115,92,369,145,207,98,37,42,157,85,30,38
5.2,Judkins Park,1136,129,1126,129,0,12,23,36,42,47,115,68,79,44,68,50,20,21,14,12,0,12,67,63,35,47,0,12,30,30,34,36,15,17,114,75,99,71,171,83,82,54,118,70,0,12,10,15
5.3,Central Area/Squire Park,4628,310,4517,309,0,24,0,24,31,36,150,89,50,56,33,48,76,100,141,99,80,75,72,67,110,104,123,103,57,61,201,109,170,101,411,158,314,120,923,225,616,170,577,155,382,127,111,76
6.1,First Hill,6419,309,6277,308,75,74,0,24,165,87,198,88,70,60,132,84,64,48,39,30,62,63,34,31,79,73,146,78,294,132,380,139,291,115,713,175,547,149,1106,213,667,180,810,206,405,125,142,75
6.2,Capitol Hill,11287,402,11096,408,0,29,67,92,9,28,293,150,58,50,21,29,132,72,151,104,95,116,21,30,227,129,203,109,322,166,556,173,503,191,1451,292,1572,345,2719,409,1336,283,1032,286,328,156,191,130
6.3,North Capitol Hill,1182,192,1169,194,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,50,76,13,22,0,12,30,33,15,24,137,85,214,99,324,114,141,92,207,130,38,43,13,20
6.4,Miller Park,1641,131,1609,133,0,17,0,17,10,20,7,16,44,36,19,28,8,18,9,20,13,23,0,17,0,17,0,17,10,19,30,32,63,53,148,95,138,62,375,98,318,98,265,97,152,72,32,36
6.5,Madison Park,1164,153,1148,153,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,24,0,17,0,17,0,17,18,29,0,17,0,17,0,17,0,17,156,98,263,114,164,95,311,135,221,102,16,28
7.1,Montlake/Portage Bay,2149,176,2055,187,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,56,72,44,70,0,21,14,25,61,69,57,49,132,97,167,85,643,166,228,101,334,152,319,138,94,58
7.2,University District,4506,235,4475,237,0,29,0,29,36,38,75,98,33,46,35,55,66,89,12,31,74,77,51,76,120,80,268,153,272,133,216,106,285,152,562,163,619,188,570,151,478,168,298,139,405,139,31,44
