area_id,area_name,b25118001,b25118001_moe,b25118002,b25118002_moe,b25118003,b25118003_moe,b25118004,b25118004_moe,b25118005,b25118005_moe,b25118006,b25118006_moe,b25118007,b25118007_moe,b25118008,b25118008_moe,b25118009,b25118009_moe,b25118010,b25118010_moe,b25118011,b25118011_moe,b25118012,b25118012_moe,b25118013,b25118013_moe,b25118014,b25118014_moe,b25118015,b25118015_moe,b25118016,b25118016_moe,b25118017,b25118017_moe,b25118018,b25118018_moe,b25118019,b25118019_moe,b25118020,b25118020_moe,b25118021,b25118021_moe,b25118022,b25118022_moe,b25118023,b25118023_moe,b25118024,b25118024_moe,b25118025,b25118025_moe
1.1,Arbor Heights,2639,96,2173,132,10,21,0,17,10,20,45,39,47,32,84,44,232,81,400,110,346,94,458,121,541,117,466,107,0,17,0,17,0,17,15,22,34,47,81,52,70,51,107,64,100,58,59,45,0,17
1.2,Fauntleroy/Seaview,6410,211,4581,249,107,67,0,24,74,54,108,68,68,50,262,99,251,94,463,124,574,151,1164,202,1510,234,1829,241,51,71,81,78,133,71,77,51,58,75,212,94,405,139,365,154,208,108,172,98,67,55
1.3,West Seattle Junction/Genesee Hill,8391,238,4963,275,20,32,34,44,65,68,81,51,112,72,324,132,373,129,715,171,782,190,1203,218,1254,205,3428,333,174,119,168,112,293,145,163,105,159,98,316,117,581,172,743,209,425,127,220,91,186,112
1.4,Alki/Admiral,5786,190,3091,242,37,34,47,47,99,64,92,74,79,84,138,80,200,85,343,107,413,120,666,165,977,172,2695,240,65,67,33,41,133,86,123,87,40,48,451,157,489,158,543,191,244,112,388,133,186,116
2.1,North Delridge,2387,100,1294,174,0,12,19,28,0,12,22,32,34,33,76,59,153,109,271,102,67,47,262,98,390,125,1093,168,59,41,53,48,55,67,29,34,54,81,83,60,157,108,181,99,284,130,103,76,35,55
2.2,High Point,2731,199,1098,171,56,75,11,22,0,17,0,17,0,17,57,51,122,89,207,87,182,104,237,91,226,86,1633,227,141,93,307,141,179,86,207,141,176,78,89,89,146,101,139,75,166,95,0,17,83,87
2.3,Riverview,1680,73,1161,125,0,12,19,22,0,12,26,26,64,40,58,38,125,55,201,84,250,89,250,98,168,67,519,122,0,12,10,17,43,52,29,46,25,33,66,58,75,67,112,63,32,26,88,61,39,38
2.4,Roxhill/Westwood,5489,176,2881,214,8,22,6,20,65,45,86,49,45,36,184,77,237,93,614,137,567,141,724,164,345,86,2608,233,65,51,111,62,181,91,162,78,251,118,386,132,398,146,662,182,329,155,54,41,9,22
2.5,Highland Park,2563,202,1290,156,0,21,16,29,23,31,0,21,40,45,80,70,125,74,409,133,173,86,281,105,143,99,1273,220,117,75,102,67,143,100,144,91,129,100,234,102,127,74,176,118,17,30,58,49,26,37
3.1,South Park,1323,80,610,110,7,16,14,26,22,30,32,37,12,19,80,53,186,89,76,41,110,53,65,36,6,15,713,122,26,43,50,47,80,70,21,30,69,59,113,73,81,56,184,75,17,24,0,17,72,70
