area_id,area_name,b25125001,b25125001_moe,b25125002,b25125002_moe,b25125003,b25125003_moe,b25125004,b25125004_moe,b25125005,b25125005_moe,b25125006,b25125006_moe,b25125007,b25125007_moe,b25125008,b25125008_moe,b25125009,b25125009_moe,b25125010,b25125010_moe,b25125011,b25125011_moe,b25125012,b25125012_moe,b25125013,b25125013_moe,b25125014,b25125014_moe,b25125015,b25125015_moe,b25125016,b25125016_moe,b25125017,b25125017_moe,b25125018,b25125018_moe,b25125019,b25125019_moe,b25125020,b25125020_moe,b25125021,b25125021_moe,b25125022,b25125022_moe,b25125023,b25125023_moe,b25125024,b25125024_moe,b25125025,b25125025_moe,b25125026,b25125026_moe,b25125027,b25125027_moe,b25125028,b25125028_moe,b25125029,b25125029_moe,b25125030,b25125030_moe,b25125031,b25125031_moe,b25125032,b25125032_moe,b25125033,b25125033_moe,b25125034,b25125034_moe,b25125035,b25125035_moe,b25125036,b25125036_moe,b25125037,b25125037_moe,b25125038,b25125038_moe,b25125039,b25125039_moe,b25125040,b25125040_moe,b25125041,b25125041_moe,b25125042,b25125042_moe,b25125043,b25125043_moe,b25125044,b25125044_moe,b25125045,b25125045_moe
1.1,Arbor Heights,2639,96,2173,132,193,85,193,85,0,17,0,17,0,17,0,17,0,17,1461,126,1373,129,16,25,38,36,34,31,0,17,0,17,519,72,465,75,0,17,23,29,0,17,21,25,10,19,466,107,169,66,160,66,9,19,0,17,0,17,0,17,0,17,264,98,223,93,0,17,0,17,41,42,0,17,0,17,33,32,20,24,0,17,0,17,13,23,0,17,0,17
1.2,Fauntleroy/Seaview,6410,211,4581,249,543,160,525,166,0,24,0,24,18,34,0,24,0,24,2928,233,2872,226,0,24,15,30,41,38,0,24,0,24,1110,144,1047,139,0,24,0,24,48,47,15,31,0,24,1829,241,645,157,144,94,108,67,150,71,80,61,163,110,0,24,1039,215,432,144,60,40,286,103,222,130,39,34,0,24,145,68,14,28,0,24,0,24,113,57,18,34,0,24
1.3,West Seattle Junction/Genesee Hill,8391,238,4963,275,494,148,432,138,0,29,31,43,31,43,0,29,0,29,3452,268,3275,264,10,29,67,58,73,56,16,35,11,30,1017,143,914,135,0,29,21,41,59,37,23,35,0,29,3428,333,1189,209,371,163,233,102,287,116,139,79,159,103,0,29,1676,281,636,184,362,148,353,135,192,116,122,95,11,29,563,148,95,60,56,78,154,85,74,56,184,98,0,29
1.4,Alki/Admiral,5786,190,3091,242,157,92,131,86,0,24,0,24,13,27,13,28,0,24,1960,191,1501,179,57,48,231,102,82,53,89,58,0,24,974,126,625,110,58,47,96,51,126,59,69,58,0,24,2695,240,1047,184,270,102,229,92,399,145,149,96,0,24,0,24,1307,216,216,82,258,111,535,160,241,85,57,72,0,24,341,143,0,24,56,66,129,104,69,53,87,73,0,24
2.1,North Delridge,2387,100,1294,174,251,111,145,95,10,19,14,23,46,41,36,31,0,12,820,158,739,141,35,57,0,12,0,12,34,32,12,20,223,57,189,58,0,12,34,42,0,12,0,12,0,12,1093,168,446,147,93,74,46,35,27,37,175,99,105,80,0,12,632,161,236,128,108,78,109,66,83,85,96,79,0,12,15,24,0,12,15,24,0,12,0,12,0,12,0,12
2.2,High Point,2731,199,1098,171,264,123,214,95,0,17,50,78,0,17,0,17,0,17,701,153,607,138,41,68,28,22,0,17,14,24,11,21,133,60,133,60,0,17,0,17,0,17,0,17,0,17,1633,227,538,173,233,112,68,73,146,106,41,36,50,76,0,17,851,199,437,141,155,102,148,128,69,51,42,38,0,17,244,112,5,16,0,17,74,88,18,23,147,65,0,17
2.3,Riverview,1680,73,1161,125,140,57,133,55,7,12,0,12,0,12,0,12,0,12,849,109,831,108,0,12,10,16,0,12,8,11,0,12,172,45,152,48,0,12,0,12,0,12,0,12,20,24,519,122,195,98,195,98,0,12,0,12,0,12,0,12,0,12,315,113,245,95,59,59,0,12,11,16,0,12,0,12,9,14,9,14,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,5489,176,2881,214,429,121,387,113,9,29,19,34,14,27,0,21,0,21,1951,188,1834,182,49,46,11,24,14,29,43,43,0,21,501,80,475,76,18,25,0,21,8,21,0,21,0,21,2608,233,1032,207,285,130,83,81,441,161,109,82,67,58,47,70,1224,227,489,157,201,87,247,119,174,94,113,62,0,21,352,111,54,38,15,29,85,70,62,46,136,69,0,21
2.5,Highland Park,2563,202,1290,156,207,100,207,100,0,21,0,21,0,21,0,21,0,21,872,157,872,157,0,21,0,21,0,21,0,21,0,21,211,70,211,70,0,21,0,21,0,21,0,21,0,21,1273,220,345,149,166,92,29,37,56,53,81,106,13,24,0,21,537,163,171,85,73,68,178,115,20,32,95,68,0,21,391,131,14,26,15,26,60,75,50,49,252,92,0,21
3.1,South Park,1323,80,610,110,53,32,53,32,0,17,0,17,0,17,0,17,0,17,451,111,436,110,0,17,7,16,0,17,0,17,8,18,106,53,106,53,0,17,0,17,0,17,0,17,0,17,713,122,342,104,163,78,86,71,74,63,19,32,0,17,0,17,308,97,141,66,108,75,40,46,19,26,0,17,0,17,63,62,34,46,0,17,0,17,29,39,0,17,0,17
3.2,Georgetown,630,55,195,59,17,24,17,24,0,12,0,12,0,12,0,12,0,12,158,63,146,57,12,16,0,12,0,12,0,12,0,12,20,14,20,14,0,12,0,12,0,12,0,12,0,12,435,76,141,70,42,42,26,22,73,54,0,12,0,12,0,12,261,70,179,70,22,25,30,25,21,32,9,15,0,12,33,42,0,12,26,40,3,6,4,9,0,12,0,12
3.3,Duwamish/SODO,944,90,494,93,99,50,42,25,0,12,9,13,0,12,48,41,0,12,273,72,151,54,0,12,35,29,28,32,59,33,0,12,122,42,81,41,0,12,13,20,10,15,18,16,0,12,450,116,236,92,0,12,49,65,120,86,18,22,49,42,0,12,167,83,19,21,13,20,11,18,98,69,26,35,0,12,47,31,21,22,0,12,0,12,12,18,14,16,0,12
3.4,South Beacon Hill/NewHolly,4531,190,2403,205,292,109,292,109,0,24,0,24,0,24,0,24,0,24,1607,201,1607,201,0,24,0,24,0,24,0,24,0,24,504,96,504,96,0,24,0,24,0,24,0,24,0,24,2128,233,628,189,404,150,136,90,63,65,25,42,0,24,0,24,1088,206,651,156,232,130,153,107,26,37,26,36,0,24,412,109,79,48,72,59,8,22,34,38,219,77,0,24
3.5,Beacon Hill,2893,137,2074,222,313,144,313,144,0,17,0,17,0,17,0,17,0,17,1179,196,1142,191,6,16,0,17,0,17,0,17,31,40,582,121,582,121,0,17,0,17,0,17,0,17,0,17,819,197,281,125,231,106,13,24,0,17,37,57,0,17,0,17,443,160,342,140,0,17,101,92,0,17,0,17,0,17,95,70,67,56,0,17,28,45,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,5765,192,2583,244,327,126,327,126,0,24,0,24,0,24,0,24,0,24,1831,207,1693,210,90,81,0,24,0,24,26,29,22,37,425,108,390,98,13,28,22,30,0,24,0,24,0,24,3182,273,1089,228,349,140,384,147,290,135,40,41,26,28,0,24,1396,256,451,166,284,148,398,149,160,153,103,86,0,24,697,179,206,127,33,39,50,43,79,78,329,119,0,24
4.1,Rainier Beach,5403,197,3197,260,151,99,151,99,0,27,0,27,0,27,0,27,0,27,2224,228,2224,228,0,27,0,27,0,27,0,27,0,27,822,134,749,132,9,26,15,31,8,25,41,38,0,27,2206,294,752,236,187,149,240,145,111,103,96,103,87,88,31,34,1180,274,584,214,143,94,67,65,184,104,162,96,40,49,274,121,83,60,31,42,58,69,72,76,30,40,0,27
4.2,Columbia City,6493,254,3378,280,343,126,343,126,0,27,0,27,0,27,0,27,0,27,2412,248,2331,250,29,30,0,27,39,62,0,27,13,31,623,119,623,119,0,27,0,27,0,27,0,27,0,27,3115,312,673,208,234,108,80,79,172,133,61,63,126,111,0,27,1960,315,564,161,330,159,710,241,72,77,284,117,0,27,482,128,57,44,19,29,57,45,82,79,267,93,0,27
4.3,Seward Park,3376,140,2646,140,267,102,267,102,0,17,0,17,0,17,0,17,0,17,1782,148,1771,149,11,22,0,17,0,17,0,17,0,17,597,102,588,100,0,17,9,18,0,17,0,17,0,17,730,135,229,87,74,42,4,27,31,31,33,54,87,72,0,17,467,131,154,64,57,65,66,41,72,51,108,88,10,19,34,26,8,17,0,17,9,18,6,17,11,13,0,17
4.4,Mt. Baker/North Rainier,2340,165,1640,130,78,55,78,55,0,17,0,17,0,17,0,17,0,17,1247,127,1224,132,23,34,0,17,0,17,0,17,0,17,315,80,298,76,0,17,0,17,0,17,0,17,17,25,700,146,163,90,137,86,11,17,15,25,0,17,0,17,0,17,443,144,121,75,114,97,27,36,71,67,110,57,0,17,94,56,0,17,0,17,24,31,10,17,60,46,0,17
