area_id,area_name,b25129001,b25129001_moe,b25129002,b25129002_moe,b25129003,b25129003_moe,b25129004,b25129004_moe,b25129005,b25129005_moe,b25129006,b25129006_moe,b25129007,b25129007_moe,b25129008,b25129008_moe,b25129009,b25129009_moe,b25129010,b25129010_moe,b25129011,b25129011_moe,b25129012,b25129012_moe,b25129013,b25129013_moe,b25129014,b25129014_moe,b25129015,b25129015_moe,b25129016,b25129016_moe,b25129017,b25129017_moe,b25129018,b25129018_moe,b25129019,b25129019_moe,b25129020,b25129020_moe,b25129021,b25129021_moe,b25129022,b25129022_moe,b25129023,b25129023_moe,b25129024,b25129024_moe,b25129025,b25129025_moe,b25129026,b25129026_moe,b25129027,b25129027_moe,b25129028,b25129028_moe,b25129029,b25129029_moe,b25129030,b25129030_moe,b25129031,b25129031_moe,b25129032,b25129032_moe,b25129033,b25129033_moe,b25129034,b25129034_moe,b25129035,b25129035_moe,b25129036,b25129036_moe,b25129037,b25129037_moe,b25129038,b25129038_moe,b25129039,b25129039_moe,b25129040,b25129040_moe,b25129041,b25129041_moe,b25129042,b25129042_moe,b25129043,b25129043_moe,b25129044,b25129044_moe,b25129045,b25129045_moe,b25129046,b25129046_moe,b25129047,b25129047_moe,b25129048,b25129048_moe,b25129049,b25129049_moe,b25129050,b25129050_moe,b25129051,b25129051_moe,b25129052,b25129052_moe,b25129053,b25129053_moe,b25129054,b25129054_moe,b25129055,b25129055_moe,b25129056,b25129056_moe,b25129057,b25129057_moe,b25129058,b25129058_moe,b25129059,b25129059_moe,b25129060,b25129060_moe,b25129061,b25129061_moe,b25129062,b25129062_moe,b25129063,b25129063_moe,b25129064,b25129064_moe,b25129065,b25129065_moe,b25129066,b25129066_moe,b25129067,b25129067_moe,b25129068,b25129068_moe,b25129069,b25129069_moe,b25129070,b25129070_moe,b25129071,b25129071_moe,b25129072,b25129072_moe,b25129073,b25129073_moe,b25129074,b25129074_moe,b25129075,b25129075_moe,b25129076,b25129076_moe,b25129077,b25129077_moe,b25129078,b25129078_moe,b25129079,b25129079_moe,b25129080,b25129080_moe,b25129081,b25129081_moe,b25129082,b25129082_moe,b25129083,b25129083_moe,b25129084,b25129084_moe,b25129085,b25129085_moe,b25129086,b25129086_moe,b25129087,b25129087_moe
1.1,Arbor Heights,2639,96,2173,132,720,144,645,139,16,25,24,31,24,27,11,20,0,17,308,88,292,87,0,17,16,29,0,17,0,17,0,17,476,109,466,108,0,17,10,20,0,17,0,17,0,17,295,79,265,71,0,17,0,17,10,20,10,19,10,19,224,74,213,69,0,17,11,21,0,17,0,17,0,17,150,54,150,54,0,17,0,17,0,17,0,17,0,17,466,107,344,91,306,86,9,19,0,17,29,38,0,17,0,17,47,46,35,41,0,17,0,17,12,23,0,17,0,17,21,25,21,25,0,17,0,17,0,17,0,17,0,17,27,32,14,24,0,17,0,17,13,23,0,17,0,17,27,41,27,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,6410,211,4581,249,1259,213,1170,210,0,24,15,30,59,47,15,31,0,24,948,202,932,199,0,24,0,24,16,30,0,24,0,24,957,168,925,163,0,24,0,24,32,40,0,24,0,24,641,144,641,144,0,24,0,24,0,24,0,24,0,24,441,130,441,130,0,24,0,24,0,24,0,24,0,24,335,101,335,101,0,24,0,24,0,24,0,24,0,24,1829,241,1334,217,392,128,138,73,320,123,298,120,186,113,0,24,352,145,141,113,30,33,46,45,101,83,34,41,0,24,143,75,57,50,0,24,70,50,16,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,8391,238,4963,275,1538,243,1402,232,0,29,65,56,59,51,12,31,0,29,1035,187,942,184,0,29,0,29,66,48,27,34,0,29,964,192,851,182,10,29,54,45,38,46,0,29,11,30,570,146,570,146,0,29,0,29,0,29,0,29,0,29,429,135,429,135,0,29,0,29,0,29,0,29,0,29,427,141,427,141,0,29,0,29,0,29,0,29,0,29,3428,333,2569,315,777,224,575,185,544,151,268,115,394,132,11,29,476,150,223,98,52,53,128,78,60,81,13,31,0,29,248,128,0,29,12,31,122,99,56,43,58,79,0,29,51,61,30,54,0,29,0,29,21,41,0,29,0,29,44,40,44,40,0,29,0,29,0,29,0,29,0,29,40,45,28,41,12,31,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,5786,190,3091,242,763,177,460,139,9,24,161,86,95,64,38,36,0,24,681,152,457,141,25,28,99,72,49,46,51,49,0,24,739,174,514,151,81,57,67,55,12,26,65,59,0,24,454,123,420,114,0,24,0,24,34,42,0,24,0,24,268,98,220,94,0,24,0,24,31,39,17,30,0,24,186,77,186,77,0,24,0,24,0,24,0,24,0,24,2695,240,2139,222,402,121,415,128,858,211,379,125,85,77,0,24,373,129,48,47,74,59,112,71,80,56,59,70,0,24,149,81,36,35,54,65,59,45,0,24,0,24,0,24,34,43,0,24,0,24,34,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,2387,100,1294,174,660,171,491,156,45,60,34,42,46,41,44,39,0,12,170,84,144,76,0,12,0,12,0,12,26,29,0,12,266,103,240,97,0,12,14,21,0,12,0,12,12,20,83,67,83,67,0,12,0,12,0,12,0,12,0,12,60,44,60,44,0,12,0,12,0,12,0,12,0,12,55,50,55,50,0,12,0,12,0,12,0,12,0,12,1093,168,848,192,227,118,154,84,97,65,204,104,166,110,0,12,189,111,89,68,0,12,24,28,54,81,22,26,0,12,41,38,13,22,0,12,15,24,0,12,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,24,0,12,15,24,0,12,0,12,0,12,0,12
2.2,High Point,2731,199,1098,171,519,145,386,107,41,68,78,84,0,17,14,24,0,17,175,77,175,77,0,17,0,17,0,17,0,17,0,17,212,116,212,116,0,17,0,17,0,17,0,17,0,17,139,66,128,66,0,17,0,17,0,17,0,17,11,21,27,27,27,27,0,17,0,17,0,17,0,17,0,17,26,28,26,28,0,17,0,17,0,17,0,17,0,17,1633,227,1333,230,556,157,163,114,334,150,103,56,177,85,0,17,132,85,36,46,60,61,19,26,9,20,8,18,0,17,112,86,27,40,0,17,15,25,16,30,54,74,0,17,56,74,56,74,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,1680,73,1161,125,210,83,199,80,0,12,0,12,0,12,0,12,11,16,379,106,354,106,7,12,10,16,0,12,8,11,0,12,251,80,251,80,0,12,0,12,0,12,0,12,0,12,167,77,158,83,0,12,0,12,0,12,0,12,9,16,92,48,92,48,0,12,0,12,0,12,0,12,0,12,62,40,62,40,0,12,0,12,0,12,0,12,0,12,519,122,454,118,420,111,34,48,0,12,0,12,0,12,0,12,56,45,20,22,25,33,0,12,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,12,9,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,5489,176,2881,214,1028,175,946,161,26,37,19,34,14,27,23,41,0,21,539,117,503,114,16,30,0,21,0,21,20,30,0,21,600,133,541,125,34,35,11,24,14,29,0,21,0,21,277,95,269,92,0,21,0,21,8,21,0,21,0,21,203,83,203,83,0,21,0,21,0,21,0,21,0,21,234,70,234,70,0,21,0,21,0,21,0,21,0,21,2608,233,1839,236,548,173,196,100,622,179,194,101,279,104,0,21,382,141,140,74,45,46,57,54,103,93,37,38,0,21,324,138,89,66,58,51,94,79,36,36,0,21,47,70,41,37,29,30,0,21,0,21,12,27,0,21,0,21,12,25,12,25,0,21,0,21,0,21,0,21,0,21,10,23,10,23,0,21,0,21,0,21,0,21,0,21
2.5,Highland Park,2563,202,1290,156,519,130,519,130,0,21,0,21,0,21,0,21,0,21,277,128,277,128,0,21,0,21,0,21,0,21,0,21,198,82,198,82,0,21,0,21,0,21,0,21,0,21,183,74,183,74,0,21,0,21,0,21,0,21,0,21,75,55,75,55,0,21,0,21,0,21,0,21,0,21,38,38,38,38,0,21,0,21,0,21,0,21,0,21,1273,220,1055,206,241,104,111,82,212,127,131,114,360,111,0,21,103,68,62,55,6,20,15,27,20,32,0,21,0,21,96,72,29,35,0,21,67,61,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,19,31,19,31,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,1323,80,610,110,214,80,199,78,0,17,7,16,0,17,0,17,8,18,136,62,136,62,0,17,0,17,0,17,0,17,0,17,128,63,128,63,0,17,0,17,0,17,0,17,0,17,62,49,62,49,0,17,0,17,0,17,0,17,0,17,33,31,33,31,0,17,0,17,0,17,0,17,0,17,37,32,37,32,0,17,0,17,0,17,0,17,0,17,713,122,577,116,269,98,145,88,107,74,56,49,0,17,0,17,31,32,31,32,0,17,0,17,0,17,0,17,0,17,85,52,18,24,49,46,7,16,11,22,0,17,0,17,20,29,20,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
