area_id,area_name,b992704001,b992704001_moe,b992704002,b992704002_moe,b992704003,b992704003_moe
1.1,Arbor Heights,6251,-1,292,-1,5959,-1
1.2,Fauntleroy/Seaview,13653,-1,748,-1,12905,-1
1.3,West Seattle Junction/Genesee Hill,17521,-1,830,-1,16691,-1
1.4,Alki/Admiral,11124,-1,702,-1,10422,-1
2.1,North Delridge,4749,-1,226,-1,4523,-1
2.2,High Point,6452,-1,418,-1,6034,-1
2.3,Riverview,4685,-1,432,-1,4253,-1
2.4,Roxhill/Westwood,12524,-1,746,-1,11778,-1
2.5,Highland Park,5814,-1,517,-1,5297,-1
3.1,South Park,4310,-1,643,-1,3667,-1
3.2,Georgetown,1184,-1,86,-1,1098,-1
3.3,Duwamish/SODO,2332,-1,93,-1,2239,-1
3.4,South Beacon Hill/NewHolly,15604,-1,1771,-1,13833,-1
3.5,Beacon Hill,9332,-1,993,-1,8339,-1
3.6,North Beacon Hill/Jefferson Park,14180,-1,1048,-1,13132,-1
4.1,Rainier Beach,15144,-1,1340,-1,13804,-1
4.2,Columbia City,16249,-1,1042,-1,15207,-1
4.3,Seward Park,8589,-1,630,-1,7959,-1
4.4,Mt. Baker/North Rainier,5483,-1,430,-1,5053,-1
5.1,Madrona/Leschi,9977,-1,785,-1,9192,-1
5.2,Judkins Park,2735,-1,297,-1,2438,-1
5.3,Central Area/Squire Park,16546,-1,946,-1,15600,-1
6.1,First Hill,12940,-1,1267,-1,11673,-1
6.2,Capitol Hill,20179,-1,822,-1,19357,-1
6.3,North Capitol Hill,3918,-1,73,-1,3845,-1
6.4,Miller Park,7268,-1,215,-1,7053,-1
6.5,Madison Park,5099,-1,606,-1,4493,-1
7.1,Montlake/Portage Bay,9397,-1,308,-1,9089,-1
7.2,University District,19393,-1,2465,-1,16928,-1
7.3,Ravenna/Bryant,24600,-1,1682,-1,22918,-1
7.4,Wedgwood/View Ridge,14935,-1,1026,-1,13909,-1
7.5,Laurelhurst/Sand Point,10791,-1,651,-1,10140,-1
8.1,Northgate/Maple Leaf,13239,-1,1092,-1,12147,-1
8.2,Olympic Hills/Victory Heights,14590,-1,1016,-1,13574,-1
8.3,Cedar Park/Meadowbrook,12033,-1,1104,-1,10929,-1
9.1,Broadview/Bitter Lake,13305,-1,1140,-1,12165,-1
9.2,Licton Springs,8916,-1,689,-1,8227,-1
9.3,Greenwood/Phinney Ridge,23508,-1,1633,-1,21875,-1
9.4,Green Lake,13753,-1,1082,-1,12671,-1
9.5,Haller Lake,9784,-1,859,-1,8925,-1
10.1,North Beach/Blue Ridge,11516,-1,938,-1,10578,-1
10.2,Whittier Heights,11717,-1,383,-1,11334,-1
10.3,Sunset Hill/Loyal Heights,13970,-1,854,-1,13116,-1
10.4,Ballard,7123,-1,684,-1,6439,-1
11.1,Fremont,15385,-1,736,-1,14649,-1
11.2,Wallingford,16358,-1,1198,-1,15160,-1
11.3,Cascade/Eastlake,12372,-1,629,-1,11743,-1
12.1,Magnolia,12491,-1,1061,-1,11430,-1
12.2,Interbay,9757,-1,793,-1,8964,-1
12.3,Queen Anne,36820,-1,2352,-1,34468,-1
13.1,Belltown,8214,-1,486,-1,7728,-1
13.2,Downtown Commercial Core,3653,-1,362,-1,3291,-1
13.3,Pioneer Square/International District,5239,-1,593,-1,4646,-1
