area_id,area_name,c02003001,c02003001_moe,c02003002,c02003002_moe,c02003003,c02003003_moe,c02003004,c02003004_moe,c02003005,c02003005_moe,c02003006,c02003006_moe,c02003007,c02003007_moe,c02003008,c02003008_moe,c02003009,c02003009_moe,c02003010,c02003010_moe,c02003011,c02003011_moe,c02003012,c02003012_moe,c02003013,c02003013_moe,c02003014,c02003014_moe,c02003015,c02003015_moe,c02003016,c02003016_moe,c02003017,c02003017_moe,c02003018,c02003018_moe,c02003019,c02003019_moe
1.1,Arbor Heights,6254,299,5793,307,5148,327,69,59,111,127,424,142,0,17,41,37,461,239,34,56,427,221,364,176,50,51,42,45,227,131,0,17,45,59,97,90,0,17
1.2,Fauntleroy/Seaview,13775,587,13277,622,12294,634,217,116,50,40,558,167,57,82,101,134,498,206,13,27,485,207,419,167,91,90,88,84,227,115,0,24,13,27,67,92,12,27
1.3,West Seattle Junction/Genesee Hill,18076,645,17242,657,15697,648,328,172,151,116,846,237,52,77,168,137,834,243,64,65,770,239,779,228,111,82,135,114,402,164,0,29,131,101,55,88,0,29
1.4,Alki/Admiral,11229,569,10764,598,9879,574,304,173,49,50,486,170,22,56,24,43,465,216,0,24,465,216,465,216,64,95,105,72,291,176,0,24,5,20,0,24,0,24
2.1,North Delridge,4760,357,4515,379,3367,449,434,329,42,49,524,281,0,12,148,153,245,125,0,12,245,125,245,125,42,64,60,59,63,80,0,12,80,80,0,12,0,12
2.2,High Point,6489,426,6244,437,2695,380,2132,408,8,20,1332,293,22,38,55,79,245,123,15,23,230,119,238,121,61,59,30,36,132,96,0,17,15,23,7,17,0,17
2.3,Riverview,4691,295,4302,314,2653,290,532,243,44,67,997,224,59,53,17,17,389,174,0,12,389,174,288,122,94,102,36,39,51,46,34,48,73,70,101,97,0,12
2.4,Roxhill/Westwood,12555,705,11861,717,8379,771,1087,345,101,128,1455,347,134,117,705,410,694,219,128,95,566,181,612,209,95,82,64,62,257,134,24,31,172,119,63,50,19,34
2.5,Highland Park,5836,461,5488,495,3569,422,509,128,37,47,1246,370,60,123,67,61,348,197,74,69,274,176,282,152,75,88,0,21,73,75,22,37,112,85,50,62,16,30
3.1,South Park,4402,608,4114,616,2774,610,209,127,28,47,757,225,214,219,132,160,288,257,0,17,288,257,288,257,149,221,44,51,12,22,77,99,6,16,0,17,0,17
3.2,Georgetown,1184,151,1104,160,838,211,27,36,25,26,156,100,0,12,58,79,80,84,51,78,29,37,69,85,14,33,0,12,0,12,0,12,55,75,11,14,0,12
3.3,Duwamish/SODO,2381,378,2306,356,1266,261,394,273,66,103,522,140,0,12,58,94,75,55,0,12,75,55,75,55,13,30,0,12,45,38,0,12,17,30,0,12,0,12
3.4,South Beacon Hill/NewHolly,15604,1277,15116,1277,2098,403,4895,1096,249,199,7652,972,140,149,82,89,488,218,50,57,438,202,388,175,50,49,0,24,122,93,44,58,172,126,86,78,14,30
3.5,Beacon Hill,9357,703,8966,745,1856,365,901,352,36,39,5919,780,0,17,254,320,391,227,20,32,371,224,350,220,32,49,42,48,234,180,13,22,29,33,16,28,25,43
3.6,North Beacon Hill/Jefferson Park,14254,731,13489,759,5176,639,2135,436,60,73,5733,592,143,153,242,231,765,274,44,41,721,273,753,275,39,57,270,202,254,139,66,78,124,103,12,27,0,24
4.1,Rainier Beach,15163,980,14350,973,4289,608,5061,778,131,108,4300,733,0,27,569,540,813,410,15,31,798,409,721,372,141,126,257,320,136,116,83,137,104,94,92,131,0,27
4.2,Columbia City,16534,862,15767,915,6103,682,4541,815,56,47,4561,587,334,353,172,128,767,263,48,65,719,251,682,239,151,112,108,93,183,99,117,116,123,91,61,53,24,42
4.3,Seward Park,8790,580,8347,596,5178,559,1340,287,51,61,1707,232,19,35,52,51,443,172,7,16,436,173,395,141,64,49,73,60,187,94,6,16,65,51,48,59,0,17
4.4,Mt. Baker/North Rainier,5485,466,5126,469,3395,318,736,316,139,127,842,155,0,17,14,22,359,172,0,17,359,172,266,140,18,28,78,86,119,101,0,17,51,53,93,105,0,17
5.1,Madrona/Leschi,10109,542,9526,608,6302,475,2264,570,87,94,711,164,0,21,162,112,583,354,34,57,549,346,544,352,104,110,83,71,188,120,135,203,34,57,39,49,0,21
