area_id,area_name,c15002g001,c15002g001_moe,c15002g002,c15002g002_moe,c15002g003,c15002g003_moe,c15002g004,c15002g004_moe,c15002g005,c15002g005_moe,c15002g006,c15002g006_moe,c15002g007,c15002g007_moe,c15002g008,c15002g008_moe,c15002g009,c15002g009_moe,c15002g010,c15002g010_moe,c15002g011,c15002g011_moe
1.1,Arbor Heights,198,122,77,58,0,17,27,31,27,44,23,29,121,77,0,17,0,17,34,39,87,66
1.2,Fauntleroy/Seaview,177,90,62,50,0,24,0,24,42,43,20,36,115,72,0,24,3,20,56,51,56,46
1.3,West Seattle Junction/Genesee Hill,351,123,189,90,10,29,34,45,44,57,101,73,162,82,0,29,0,29,49,48,113,69
1.4,Alki/Admiral,273,115,106,75,5,20,20,35,0,24,81,66,167,89,0,24,22,35,56,49,89,65
2.1,North Delridge,142,94,39,41,1,2,37,41,1,2,0,12,103,78,0,12,17,26,62,69,24,36
2.2,High Point,93,59,60,44,0,17,0,17,23,26,37,36,33,36,18,24,0,17,0,17,15,27
2.3,Riverview,129,81,53,50,0,12,0,12,24,22,29,47,76,61,0,12,29,36,8,13,39,50
2.4,Roxhill/Westwood,294,115,100,59,11,24,13,25,55,51,21,29,194,94,0,21,12,25,45,44,137,79
2.5,Highland Park,157,106,95,67,0,21,14,26,58,52,23,37,62,76,0,21,0,21,62,76,0,21
3.1,South Park,105,75,45,41,0,17,24,32,21,30,0,17,60,60,0,17,30,49,30,43,0,17
3.2,Georgetown,58,69,19,20,15,16,0,12,4,9,0,12,39,54,0,12,11,18,28,41,0,12
3.3,Duwamish/SODO,55,52,47,49,0,12,34,39,0,12,13,30,8,15,0,12,0,12,0,12,8,15
3.4,South Beacon Hill/NewHolly,255,120,102,62,7,20,26,33,13,26,56,51,153,90,0,24,36,44,83,73,34,35
3.5,Beacon Hill,183,117,80,66,17,30,0,17,0,17,63,61,103,72,19,33,0,17,57,42,27,42
3.6,North Beacon Hill/Jefferson Park,446,173,247,113,41,57,27,37,41,34,138,92,199,104,87,70,32,45,35,60,45,39
4.1,Rainier Beach,433,210,59,56,0,27,3,22,56,54,0,27,374,192,59,62,68,79,69,76,178,126
4.2,Columbia City,407,146,153,76,0,27,23,24,104,69,26,34,254,117,0,27,17,33,153,107,84,51
4.3,Seward Park,257,112,138,72,0,17,37,35,54,45,47,35,119,63,0,17,7,16,36,33,76,52
4.4,Mt. Baker/North Rainier,186,99,34,29,8,17,0,17,0,17,26,31,152,86,46,53,0,17,26,31,80,58
5.1,Madrona/Leschi,310,236,179,131,9,21,0,21,29,34,141,124,131,117,0,21,0,21,14,27,117,114
5.2,Judkins Park,87,76,49,41,0,12,10,17,13,20,26,29,38,36,0,12,0,12,9,15,29,35
5.3,Central Area/Squire Park,628,216,162,77,13,24,0,24,109,63,40,48,466,209,20,31,22,41,218,126,206,127
6.1,First Hill,310,94,185,61,52,41,42,43,74,39,17,28,125,69,7,25,21,31,29,43,68,52
6.2,Capitol Hill,535,179,286,140,16,35,12,31,153,96,105,97,249,113,0,29,0,29,94,62,155,96
6.3,North Capitol Hill,65,78,65,78,0,12,0,12,16,27,49,74,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,175,85,70,57,7,19,0,17,10,20,53,54,105,65,0,17,11,23,25,28,69,50
6.5,Madison Park,50,42,33,30,0,17,0,17,13,20,20,23,17,28,0,17,0,17,0,17,17,28
7.1,Montlake/Portage Bay,243,114,111,84,0,21,42,67,0,21,69,52,132,74,0,21,28,45,18,22,86,52
7.2,University District,197,107,106,74,19,40,19,39,37,34,31,55,91,62,0,29,0,29,22,30,69,57
7.3,Ravenna/Bryant,444,136,198,89,34,46,5,30,53,54,106,63,246,105,0,32,0,32,56,60,190,92
7.4,Wedgwood/View Ridge,271,110,162,83,13,30,49,53,8,28,92,59,109,67,15,33,19,30,18,30,57,59
7.5,Laurelhurst/Sand Point,232,132,100,76,5,20,0,21,0,21,95,75,132,105,0,21,13,25,110,102,9,23
8.1,Northgate/Maple Leaf,270,106,129,69,0,24,31,31,11,28,87,60,141,79,0,24,12,25,81,67,48,45
8.2,Olympic Hills/Victory Heights,415,208,206,104,31,37,12,27,104,80,59,57,209,167,0,24,0,24,125,152,84,58
8.3,Cedar Park/Meadowbrook,245,96,185,89,21,33,20,32,94,77,50,39,60,41,4,25,4,25,24,39,28,30
