area_id,area_name,c15002h001,c15002h001_moe,c15002h002,c15002h002_moe,c15002h003,c15002h003_moe,c15002h004,c15002h004_moe,c15002h005,c15002h005_moe,c15002h006,c15002h006_moe,c15002h007,c15002h007_moe,c15002h008,c15002h008_moe,c15002h009,c15002h009_moe,c15002h010,c15002h010_moe,c15002h011,c15002h011_moe
1.1,Arbor Heights,3883,242,1881,144,39,38,375,101,551,111,916,140,2002,174,44,33,303,95,705,141,950,133
1.2,Fauntleroy/Seaview,9730,486,4608,348,154,115,587,171,1281,221,2586,322,5122,286,110,93,681,162,1403,221,2928,288
1.3,West Seattle Junction/Genesee Hill,11996,527,5646,395,267,130,715,179,1369,231,3295,382,6350,386,147,85,946,215,1695,295,3562,329
1.4,Alki/Admiral,7841,369,3653,252,54,43,306,122,1143,220,2150,261,4188,278,73,49,539,150,1111,225,2465,248
2.1,North Delridge,2744,301,1399,197,29,30,206,124,339,121,825,166,1345,230,77,67,56,67,339,147,873,216
2.2,High Point,1941,255,946,169,81,83,194,82,349,110,322,118,995,166,58,58,231,89,174,78,532,141
2.3,Riverview,2034,244,1093,236,94,61,326,160,403,157,270,79,941,113,53,47,150,67,317,88,421,110
2.4,Roxhill/Westwood,5429,430,2491,269,137,69,353,126,871,196,1130,165,2938,305,183,105,474,134,1045,232,1236,197
2.5,Highland Park,2545,297,1339,236,152,92,207,96,468,147,512,139,1206,156,102,67,222,86,449,144,433,102
3.1,South Park,952,181,573,142,38,31,88,56,326,103,121,62,379,88,7,16,94,67,172,72,106,51
3.2,Georgetown,629,151,404,82,20,24,109,76,210,76,65,43,225,88,3,6,0,12,124,65,98,52
3.3,Duwamish/SODO,1015,219,644,189,77,74,73,66,175,99,319,143,371,154,31,45,38,42,84,49,218,100
3.4,South Beacon Hill/NewHolly,1398,257,688,155,64,43,212,110,135,60,277,95,710,173,92,67,131,67,220,99,267,99
3.5,Beacon Hill,1628,305,870,206,36,68,53,47,213,89,568,168,758,169,6,16,165,95,176,77,411,133
