area_id,area_name,c18131001,c18131001_moe,c18131002,c18131002_moe,c18131003,c18131003_moe,c18131004,c18131004_moe,c18131005,c18131005_moe,c18131006,c18131006_moe,c18131007,c18131007_moe,c18131008,c18131008_moe,c18131009,c18131009_moe,c18131010,c18131010_moe,c18131011,c18131011_moe,c18131012,c18131012_moe,c18131013,c18131013_moe,c18131014,c18131014_moe,c18131015,c18131015_moe,c18131016,c18131016_moe
1.1,Arbor Heights,6244,300,131,65,3,4,128,65,30,27,18,22,12,21,247,156,95,61,152,105,250,130,31,28,219,121,5586,294,294,86,5292,295
1.2,Fauntleroy/Seaview,13653,592,574,226,223,141,351,168,219,157,55,44,164,151,567,177,128,76,439,158,571,253,67,65,504,248,11722,625,602,156,11120,647
1.3,West Seattle Junction/Genesee Hill,17511,594,699,280,99,91,600,265,553,194,165,113,388,165,670,212,171,117,499,187,985,337,161,179,824,320,14604,706,958,209,13646,693
1.4,Alki/Admiral,11080,562,446,177,51,42,395,160,339,177,22,37,317,172,524,183,68,51,456,181,363,200,0,24,363,200,9408,526,743,203,8665,505
2.1,North Delridge,4749,359,102,76,2,4,100,76,309,166,86,55,223,136,225,144,46,41,179,126,174,166,2,4,172,166,3939,380,137,70,3802,377
2.2,High Point,6430,409,1122,547,164,164,958,527,1077,343,309,150,768,275,628,330,87,75,541,321,333,206,48,76,285,158,3270,497,299,140,2971,466
2.3,Riverview,4674,298,100,65,23,27,77,58,297,218,26,29,271,208,501,314,41,46,460,284,218,135,17,20,201,129,3558,255,154,78,3404,271
2.4,Roxhill/Westwood,12514,701,362,176,118,81,244,145,1515,516,158,79,1357,523,816,337,151,75,665,327,783,298,89,58,694,293,9038,684,801,221,8237,619
2.5,Highland Park,5814,462,396,169,54,48,342,150,244,113,165,91,79,70,529,336,70,59,459,316,803,346,80,78,723,341,3842,491,244,116,3598,466
3.1,South Park,4287,602,481,321,45,46,436,313,500,369,88,74,412,318,452,232,32,37,420,237,474,203,10,22,464,202,2380,693,231,117,2149,673
3.2,Georgetown,1184,151,40,50,29,46,11,19,104,56,56,46,48,32,138,80,81,70,57,43,85,55,41,41,44,34,817,160,29,25,788,163
3.3,Duwamish/SODO,2332,380,280,136,127,61,153,116,311,128,164,74,147,81,101,63,32,41,69,48,157,72,8,12,149,68,1483,201,157,78,1326,195
3.4,South Beacon Hill/NewHolly,15525,1272,1186,537,245,154,941,438,2584,1114,343,175,2241,1098,1989,555,307,122,1682,515,820,299,137,76,683,279,8946,1087,654,175,8292,1054
3.5,Beacon Hill,9295,693,387,177,70,87,317,168,386,278,109,91,277,222,663,350,84,66,579,338,1086,450,123,93,963,434,6773,723,394,149,6379,687
