area_id,area_name,c21001h001,c21001h001_moe,c21001h002,c21001h002_moe,c21001h003,c21001h003_moe,c21001h004,c21001h004_moe,c21001h005,c21001h005_moe,c21001h006,c21001h006_moe,c21001h007,c21001h007_moe,c21001h008,c21001h008_moe,c21001h009,c21001h009_moe,c21001h010,c21001h010_moe,c21001h011,c21001h011_moe,c21001h012,c21001h012_moe,c21001h013,c21001h013_moe,c21001h014,c21001h014_moe,c21001h015,c21001h015_moe
1.1,Arbor Heights,4076,252,2015,154,1704,148,195,84,1509,163,311,63,158,63,153,50,2061,186,1688,169,36,41,1652,167,373,73,0,17,373,73
1.2,Fauntleroy/Seaview,9941,484,4669,349,4023,347,492,154,3531,344,646,134,392,124,254,98,5272,289,4230,274,67,55,4163,270,1042,123,16,30,1026,123
1.3,West Seattle Junction/Genesee Hill,12569,533,5843,411,4896,382,505,158,4391,384,947,162,507,117,440,151,6726,411,5337,337,190,120,5147,346,1389,239,28,34,1361,238
1.4,Alki/Admiral,8108,391,3715,260,2969,233,323,120,2646,248,746,164,480,126,266,110,4393,304,3333,291,61,49,3272,293,1060,165,9,23,1051,166
2.1,North Delridge,2777,311,1432,194,1355,191,218,105,1137,176,77,57,34,35,43,47,1345,230,1206,217,18,30,1188,219,139,56,0,12,139,56
2.2,High Point,2253,356,1106,233,1055,233,130,105,925,229,51,36,13,19,38,30,1147,195,1018,183,0,17,1018,183,129,72,0,17,129,72
2.3,Riverview,2138,248,1178,236,1095,241,120,63,975,239,83,38,25,25,58,31,960,117,833,112,0,12,833,112,127,49,0,12,127,49
2.4,Roxhill/Westwood,5746,454,2625,280,2292,261,256,84,2036,263,333,102,244,85,89,60,3121,324,2668,288,68,51,2600,278,453,112,0,21,453,112
2.5,Highland Park,2589,300,1348,238,1064,201,221,102,843,200,284,120,200,104,84,65,1241,154,872,128,0,21,872,128,369,115,0,21,369,115
3.1,South Park,1000,197,613,154,555,155,81,61,474,152,58,36,26,26,32,33,387,89,338,80,0,17,338,80,49,36,0,17,49,36
3.2,Georgetown,683,144,425,91,418,92,51,44,367,90,7,9,7,9,0,12,258,82,217,76,0,12,217,76,41,41,0,12,41,41
3.3,Duwamish/SODO,1105,247,659,183,578,161,74,62,504,146,81,78,49,54,32,31,446,155,395,153,7,15,388,158,51,41,0,12,51,41
3.4,South Beacon Hill/NewHolly,1529,267,781,177,668,175,115,63,553,155,113,55,57,37,56,40,748,172,479,141,6,20,473,142,269,101,7,24,262,100
3.5,Beacon Hill,1652,325,894,226,845,225,197,110,648,201,49,49,30,37,19,34,758,169,607,154,0,17,607,154,151,85,0,17,151,85
3.6,North Beacon Hill/Jefferson Park,3760,364,2033,269,1936,262,158,86,1778,259,97,65,79,60,18,27,1727,220,1621,216,7,26,1614,217,106,81,0,24,106,81
4.1,Rainier Beach,3026,392,1483,257,1197,226,158,102,1039,219,286,111,184,80,102,79,1543,264,1274,240,27,37,1247,237,269,100,0,27,269,100
4.2,Columbia City,4403,494,1990,280,1741,266,41,39,1700,266,249,103,151,78,98,61,2413,292,2021,262,15,27,2006,261,392,117,12,28,380,117
4.3,Seward Park,3648,285,1537,147,1286,145,137,66,1149,151,251,80,164,65,87,43,2111,221,1716,176,7,16,1709,175,395,154,6,19,389,144
4.4,Mt. Baker/North Rainier,2625,293,1255,190,1108,194,54,43,1054,192,147,78,32,50,115,62,1370,187,1252,182,12,20,1240,183,118,60,0,17,118,60
5.1,Madrona/Leschi,5128,370,2400,217,1948,222,101,66,1847,221,452,91,165,69,287,78,2728,281,2388,271,37,35,2351,269,340,102,6,21,334,101
5.2,Judkins Park,625,140,363,108,319,106,27,26,292,105,44,35,0,12,44,35,262,71,202,64,0,12,202,64,60,38,11,17,49,33
5.3,Central Area/Squire Park,8974,559,4315,378,4013,361,291,131,3722,355,302,122,214,107,88,56,4659,399,4208,377,11,27,4197,376,451,163,0,24,451,163
6.1,First Hill,8801,682,4335,477,3867,471,226,117,3641,450,468,118,247,95,221,84,4466,467,3443,435,43,53,3400,433,1023,165,42,42,981,166
6.2,Capitol Hill,14701,771,7754,608,7398,598,397,173,7001,608,356,121,213,101,143,67,6947,565,6372,558,34,47,6338,556,575,166,12,33,563,165
6.3,North Capitol Hill,2906,268,1606,183,1324,190,96,82,1228,185,282,94,175,93,107,66,1300,196,1131,181,0,12,1131,181,169,56,0,12,169,56
6.4,Miller Park,4593,311,2489,230,2267,218,125,55,2142,220,222,67,85,40,137,67,2104,199,1898,204,0,17,1898,204,206,54,4,16,202,53
6.5,Madison Park,3767,296,1655,273,1248,260,78,48,1170,260,407,98,284,93,123,59,2112,227,1508,206,0,17,1508,206,604,126,0,17,604,126
7.1,Montlake/Portage Bay,7062,419,3177,312,2745,304,207,78,2538,306,432,81,187,66,245,79,3885,331,3323,334,45,43,3278,340,562,83,0,21,562,83
