area_id,area_name,c23002e001,c23002e001_moe,c23002e002,c23002e002_moe,c23002e003,c23002e003_moe,c23002e004,c23002e004_moe,c23002e005,c23002e005_moe,c23002e006,c23002e006_moe,c23002e007,c23002e007_moe,c23002e008,c23002e008_moe,c23002e009,c23002e009_moe,c23002e010,c23002e010_moe,c23002e011,c23002e011_moe,c23002e012,c23002e012_moe,c23002e013,c23002e013_moe,c23002e014,c23002e014_moe,c23002e015,c23002e015_moe,c23002e016,c23002e016_moe,c23002e017,c23002e017_moe,c23002e018,c23002e018_moe,c23002e019,c23002e019_moe,c23002e020,c23002e020_moe,c23002e021,c23002e021_moe,c23002e022,c23002e022_moe,c23002e023,c23002e023_moe,c23002e024,c23002e024_moe,c23002e025,c23002e025_moe,c23002e026,c23002e026_moe,c23002e027,c23002e027_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,57,82,57,82,0,24,57,82,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,52,77,52,77,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,22,56,15,41,15,41,7,24,0,24,7,24,7,24,0,24,8,26,0,24,0,24,0,24,0,24,0,24,7,23,7,23,7,23,0,24,7,23,7,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,22,38
2.3,Riverview,21,23,21,23,10,16,10,16,0,12,10,16,10,16,0,12,0,12,11,16,11,16,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,122,106,87,90,87,90,78,89,0,21,78,89,78,89,0,21,9,23,0,21,0,21,0,21,0,21,0,21,35,44,35,44,35,44,0,21,35,44,35,44,0,21,0,21,0,21,0,21,0,21,0,21,0,21
2.5,Highland Park,53,106,26,62,26,62,26,62,0,21,26,62,26,62,0,21,0,21,0,21,0,21,0,21,0,21,0,21,27,48,27,48,27,48,0,21,27,48,27,48,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,118,111,50,54,41,46,33,42,0,17,33,42,33,42,0,17,8,21,9,21,9,21,9,21,0,17,0,17,68,61,68,61,57,53,0,17,57,53,42,48,15,23,11,22,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
