area_id,area_name,c24010f001,c24010f001_moe,c24010f002,c24010f002_moe,c24010f003,c24010f003_moe,c24010f004,c24010f004_moe,c24010f005,c24010f005_moe,c24010f006,c24010f006_moe,c24010f007,c24010f007_moe,c24010f008,c24010f008_moe,c24010f009,c24010f009_moe,c24010f010,c24010f010_moe,c24010f011,c24010f011_moe,c24010f012,c24010f012_moe,c24010f013,c24010f013_moe
1.1,Arbor Heights,34,30,34,30,34,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,67,85,32,36,17,31,15,30,0,24,0,24,0,24,35,57,20,33,15,30,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,27,46,14,31,14,31,0,29,0,29,0,29,0,29,13,31,0,29,13,31,0,29,0,29,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,80,70,13,22,51,77,0,12,16,26,0,12,68,85,14,24,54,81,0,12,0,12,0,12
2.2,High Point,21,31,7,18,0,17,0,17,7,18,0,17,0,17,14,21,4,16,0,17,10,22,0,17,0,17
2.3,Riverview,17,17,9,12,0,12,0,12,0,12,0,12,9,12,8,13,8,13,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,357,222,304,208,0,21,162,155,22,37,69,114,51,63,53,60,0,21,22,38,31,51,0,21,0,21
2.5,Highland Park,46,51,0,21,0,21,0,21,0,21,0,21,0,21,46,51,0,21,19,33,27,44,0,21,0,21
3.1,South Park,41,56,16,30,0,17,16,30,0,17,0,17,0,17,25,33,0,17,15,28,0,17,0,17,10,21
3.2,Georgetown,42,58,42,58,0,12,42,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,12,30,12,30,0,12,0,12,0,12,12,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,41,49,29,36,0,24,0,24,0,24,29,36,0,24,12,25,0,24,12,25,0,24,0,24,0,24
3.5,Beacon Hill,58,92,47,80,0,17,23,38,0,17,24,47,0,17,11,22,0,17,0,17,0,17,11,22,0,17
3.6,North Beacon Hill/Jefferson Park,119,146,97,142,0,24,0,24,43,72,54,73,0,24,22,43,22,43,0,24,0,24,0,24,0,24
4.1,Rainier Beach,240,227,149,159,36,62,0,27,63,78,0,27,50,77,91,85,0,27,44,68,47,58,0,27,0,27
4.2,Columbia City,88,75,33,39,16,33,0,27,0,27,17,33,0,27,55,54,13,31,25,44,0,27,0,27,17,34
4.3,Seward Park,19,26,19,26,0,17,0,17,8,18,11,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,14,22,14,22,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,112,91,52,51,52,51,0,21,0,21,0,21,0,21,60,59,12,23,28,34,20,36,0,21,0,21
5.2,Judkins Park,14,23,0,12,0,12,0,12,0,12,0,12,0,12,14,23,0,12,14,23,0,12,0,12,0,12
5.3,Central Area/Squire Park,89,67,44,41,44,41,0,24,0,24,0,24,0,24,45,37,45,37,0,24,0,24,0,24,0,24
6.1,First Hill,216,125,153,111,51,56,61,73,0,24,41,87,0,24,63,66,0,24,30,53,33,46,0,24,0,24
6.2,Capitol Hill,118,86,50,43,38,38,12,33,0,29,0,29,0,29,68,78,14,35,54,76,0,29,0,29,0,29
6.3,North Capitol Hill,20,31,20,31,20,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,8,18,0,17,0,17,0,17,0,17,0,17,0,17,8,18,8,18,0,17,0,17,0,17,0,17
6.5,Madison Park,12,19,12,19,0,17,0,17,0,17,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,49,77,0,21,0,21,0,21,0,21,0,21,0,21,49,77,49,77,0,21,0,21,0,21,0,21
7.2,University District,190,169,39,56,39,56,0,29,0,29,0,29,0,29,151,161,11,33,19,34,121,158,0,29,0,29
7.3,Ravenna/Bryant,79,58,40,38,24,37,0,32,11,34,5,30,0,32,39,40,31,39,0,32,8,33,0,32,0,32
7.4,Wedgwood/View Ridge,41,35,10,28,10,28,0,27,0,27,0,27,0,27,31,34,31,34,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,17,26,10,24,0,21,0,21,0,21,10,24,0,21,7,20,7,20,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,236,161,165,146,11,27,67,78,0,24,40,65,47,46,71,45,26,32,0,24,28,33,0,24,17,34
8.2,Olympic Hills/Victory Heights,231,159,111,83,33,44,17,30,0,24,13,28,48,71,120,80,25,31,47,70,48,41,0,24,0,24
8.3,Cedar Park/Meadowbrook,466,311,391,298,5,25,27,38,0,27,319,301,40,66,75,91,0,27,10,29,65,92,0,27,0,27
9.1,Broadview/Bitter Lake,94,65,65,60,46,52,19,36,0,27,0,27,0,27,29,34,0,27,0,27,29,34,0,27,0,27
9.2,Licton Springs,183,137,67,71,0,17,38,62,29,34,0,17,0,17,116,80,53,54,29,33,15,28,19,32,0,17
9.3,Greenwood/Phinney Ridge,412,214,158,107,93,89,36,46,0,29,29,53,0,29,254,131,50,67,79,73,125,86,0,29,0,29
9.4,Green Lake,165,114,122,108,122,108,0,24,0,24,0,24,0,24,43,42,43,42,0,24,0,24,0,24,0,24
9.5,Haller Lake,114,111,98,103,76,98,22,37,0,21,0,21,0,21,16,27,16,27,0,21,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,89,92,41,52,0,21,30,50,0,21,11,25,0,21,48,47,0,21,12,25,36,45,0,21,0,21
10.2,Whittier Heights,117,126,35,58,0,24,35,58,0,24,0,24,0,24,82,84,0,24,33,55,49,68,0,24,0,24
10.3,Sunset Hill/Loyal Heights,35,41,9,23,0,24,9,23,0,24,0,24,0,24,26,34,13,27,0,24,13,28,0,24,0,24
10.4,Ballard,30,36,15,26,15,26,0,17,0,17,0,17,0,17,15,25,0,17,15,25,0,17,0,17,0,17
11.1,Fremont,82,72,12,26,0,24,12,26,0,24,0,24,0,24,70,70,55,67,0,24,15,30,0,24,0,24
11.2,Wallingford,101,115,64,85,17,34,47,81,0,27,0,27,0,27,37,61,0,27,0,27,37,61,0,27,0,27
