area_id,area_name,c24010i001,c24010i001_moe,c24010i002,c24010i002_moe,c24010i003,c24010i003_moe,c24010i004,c24010i004_moe,c24010i005,c24010i005_moe,c24010i006,c24010i006_moe,c24010i007,c24010i007_moe,c24010i008,c24010i008_moe,c24010i009,c24010i009_moe,c24010i010,c24010i010_moe,c24010i011,c24010i011_moe,c24010i012,c24010i012_moe,c24010i013,c24010i013_moe
1.1,Arbor Heights,214,121,118,70,54,40,28,47,0,17,10,20,26,42,96,68,65,55,7,18,24,42,0,17,0,17
1.2,Fauntleroy/Seaview,306,135,105,84,90,80,15,30,0,24,0,24,0,24,201,96,106,77,15,30,80,53,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,357,175,169,96,101,83,0,29,28,41,28,37,12,31,188,109,146,97,30,42,12,33,0,29,0,29
1.4,Alki/Admiral,249,153,140,112,65,68,0,24,0,24,21,35,54,86,109,93,49,51,60,77,0,24,0,24,0,24
2.1,North Delridge,236,138,99,72,0,12,51,77,0,12,48,47,0,12,137,82,44,37,54,81,39,45,0,12,0,12
2.2,High Point,72,52,58,45,24,31,5,16,7,18,0,17,22,30,14,21,4,16,0,17,10,22,0,17,0,17
2.3,Riverview,151,79,86,40,31,30,25,28,13,21,8,13,9,12,65,48,28,27,28,32,9,15,0,12,0,12
2.4,Roxhill/Westwood,1283,339,981,314,63,54,485,268,92,82,110,120,231,141,302,121,34,41,118,76,133,83,0,21,17,34
2.5,Highland Park,504,248,293,148,156,117,34,38,11,25,2,24,90,104,211,118,45,45,21,38,145,121,0,21,0,21
3.1,South Park,861,399,585,342,28,45,77,85,99,104,147,121,234,190,276,115,76,61,147,74,0,17,17,27,36,50
3.2,Georgetown,102,82,93,76,10,17,50,61,0,12,29,41,4,9,9,16,0,12,9,16,0,12,0,12,0,12
3.3,Duwamish/SODO,121,116,87,74,0,12,56,63,4,6,12,30,15,18,34,45,6,10,28,44,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,178,99,59,43,0,24,0,24,30,31,29,36,0,24,119,81,13,29,53,47,53,55,0,24,0,24
3.5,Beacon Hill,176,134,127,106,7,17,51,48,28,39,24,47,17,30,49,59,0,17,38,57,0,17,11,22,0,17
3.6,North Beacon Hill/Jefferson Park,746,344,480,261,42,44,313,206,43,72,68,76,14,33,266,155,94,71,106,97,66,75,0,24,0,24
4.1,Rainier Beach,651,228,322,164,53,64,158,145,14,31,40,67,57,74,329,152,57,47,167,128,105,87,0,27,0,27
4.2,Columbia City,658,284,331,237,53,51,14,30,21,29,192,227,51,49,327,167,138,108,92,83,80,89,0,27,17,34
4.3,Seward Park,319,257,252,257,13,28,54,62,59,65,93,131,33,54,67,61,23,26,34,53,10,21,0,17,0,17
4.4,Mt. Baker/North Rainier,156,130,142,129,61,75,34,54,14,23,33,52,0,17,14,22,0,17,14,22,0,17,0,17,0,17
5.1,Madrona/Leschi,217,113,121,76,86,62,17,29,0,21,18,34,0,21,96,72,34,41,46,44,16,27,0,21,0,21
5.2,Judkins Park,156,172,122,172,0,12,44,67,11,17,37,56,30,47,34,37,24,35,0,12,0,12,0,12,10,15
5.3,Central Area/Squire Park,647,193,239,106,139,80,76,63,14,32,0,24,10,26,408,141,208,92,117,86,55,56,0,24,28,50
6.1,First Hill,587,233,455,222,144,140,179,113,29,38,79,98,24,42,132,71,22,29,54,54,41,39,0,24,15,32
6.2,Capitol Hill,1021,280,538,222,170,118,128,84,65,58,90,147,85,84,483,190,105,78,159,129,219,126,0,29,0,29
6.3,North Capitol Hill,199,108,129,71,78,54,0,12,17,30,34,41,0,12,70,58,51,47,19,33,0,12,0,12,0,12
6.4,Miller Park,165,68,71,43,52,36,9,20,10,20,0,17,0,17,94,54,94,54,0,17,0,17,0,17,0,17
6.5,Madison Park,46,36,35,32,12,20,11,18,0,17,0,17,12,19,11,18,11,18,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,182,117,82,74,18,26,53,69,11,25,0,21,0,21,100,88,73,81,15,27,12,23,0,21,0,21
7.2,University District,403,190,110,82,39,56,7,28,52,56,0,29,12,31,293,167,40,42,63,48,190,167,0,29,0,29
7.3,Ravenna/Bryant,304,105,175,76,103,57,15,32,47,50,5,30,5,30,129,62,97,55,24,36,8,33,0,32,0,32
7.4,Wedgwood/View Ridge,265,106,129,64,78,48,0,27,43,39,8,27,0,27,136,64,68,45,29,34,39,42,0,27,0,27
7.5,Laurelhurst/Sand Point,160,95,84,65,66,61,0,21,8,21,10,24,0,21,76,52,48,41,0,21,28,35,0,21,0,21
8.1,Northgate/Maple Leaf,548,219,392,195,69,46,146,108,67,103,52,67,58,50,156,79,58,40,9,25,72,60,0,24,17,34
8.2,Olympic Hills/Victory Heights,564,201,223,95,113,69,0,24,12,28,83,59,15,30,341,149,112,67,48,59,181,128,0,24,0,24
8.3,Cedar Park/Meadowbrook,684,303,526,288,57,49,89,69,21,39,319,301,40,66,158,117,23,34,10,29,125,116,0,27,0,27
9.1,Broadview/Bitter Lake,275,127,181,105,64,58,58,67,59,68,0,27,0,27,94,61,22,35,33,43,39,44,0,27,0,27
9.2,Licton Springs,494,215,349,190,43,38,149,138,59,63,98,118,0,17,145,80,53,54,32,33,38,36,19,32,3,13
9.3,Greenwood/Phinney Ridge,724,247,345,146,142,97,49,49,42,40,70,75,42,46,379,148,154,92,108,75,117,84,0,29,0,29
9.4,Green Lake,515,183,257,136,247,135,0,24,0,24,0,24,10,26,258,118,167,102,30,50,45,36,0,24,16,31
9.5,Haller Lake,338,127,274,125,145,106,77,64,8,21,44,54,0,21,64,56,35,42,14,27,15,29,0,21,0,21
