area_id,area_name,c27001a001,c27001a001_moe,c27001a002,c27001a002_moe,c27001a003,c27001a003_moe,c27001a004,c27001a004_moe,c27001a005,c27001a005_moe,c27001a006,c27001a006_moe,c27001a007,c27001a007_moe,c27001a008,c27001a008_moe,c27001a009,c27001a009_moe,c27001a010,c27001a010_moe
1.1,Arbor Heights,5147,327,916,161,907,160,9,18,3547,222,3081,225,466,160,684,84,682,84,2,13
1.2,Fauntleroy/Seaview,12173,639,2071,311,1909,317,162,165,8498,505,7601,505,897,308,1604,156,1604,156,0,24
1.3,West Seattle Junction/Genesee Hill,15255,606,2712,319,2627,319,85,78,10525,468,9715,493,810,235,2018,200,2018,200,0,29
1.4,Alki/Admiral,9818,579,1463,289,1417,286,46,47,6610,424,5987,400,623,222,1745,250,1745,250,0,24
2.1,North Delridge,3356,446,444,177,444,177,0,12,2657,322,2435,303,222,139,255,66,255,66,0,12
2.2,High Point,2668,373,336,139,336,139,0,17,2152,349,1890,338,262,118,180,80,180,80,0,17
2.3,Riverview,2648,290,319,118,267,101,52,55,2121,239,1546,159,575,200,208,62,208,62,0,12
2.4,Roxhill/Westwood,8348,763,1426,403,1331,376,95,86,6099,573,4921,413,1178,423,823,162,823,162,0,21
2.5,Highland Park,3555,424,498,176,498,176,0,21,2392,345,1919,336,473,144,665,173,665,173,0,21
3.1,South Park,2701,610,815,334,740,351,75,67,1786,453,1067,269,719,326,100,48,100,48,0,17
3.2,Georgetown,838,211,59,59,27,31,32,47,731,182,503,157,228,72,48,42,48,42,0,12
3.3,Duwamish/SODO,1219,264,10,13,10,13,0,12,1077,247,865,202,212,124,132,107,132,107,0,12
3.4,South Beacon Hill/NewHolly,2098,403,417,212,380,184,37,62,1299,248,1095,223,204,124,382,128,382,128,0,24
3.5,Beacon Hill,1845,367,156,85,156,85,0,17,1489,324,1340,294,149,103,200,104,200,104,0,17
3.6,North Beacon Hill/Jefferson Park,5123,638,827,294,827,294,0,24,4062,453,3125,324,937,326,234,116,234,116,0,24
4.1,Rainier Beach,4289,608,598,220,529,215,69,81,3136,467,2383,355,753,384,555,165,539,167,16,42
4.2,Columbia City,5933,662,1102,258,1091,257,11,29,4318,550,3782,476,536,252,513,133,513,133,0,27
4.3,Seward Park,4997,524,1071,244,1071,244,0,17,3420,360,2963,254,457,254,506,173,506,173,0,17
4.4,Mt. Baker/North Rainier,3395,318,698,150,628,137,70,82,2432,305,2231,213,201,169,265,104,265,104,0,17
5.1,Madrona/Leschi,6226,479,1022,207,1022,207,0,21,4482,365,4128,363,354,178,722,131,722,131,0,21
5.2,Judkins Park,796,222,36,29,36,29,0,12,673,213,457,126,216,185,87,51,70,43,17,27
5.3,Central Area/Squire Park,10696,634,1253,250,1253,250,0,24,8745,541,7704,501,1041,266,698,179,698,179,0,24
6.1,First Hill,8814,701,160,91,160,91,0,24,7309,675,6128,591,1181,276,1345,186,1322,183,23,42
6.2,Capitol Hill,16043,893,380,204,380,204,0,29,14739,845,11703,776,3036,559,924,217,910,216,14,35
6.3,North Capitol Hill,3413,324,320,104,320,104,0,12,2642,265,2528,245,114,75,451,88,451,88,0,12
6.4,Miller Park,5688,372,924,164,920,165,4,14,4328,293,4059,304,269,105,436,86,427,82,9,18
6.5,Madison Park,4594,416,748,199,748,199,0,17,2820,266,2711,273,109,75,1026,172,1026,172,0,17
7.1,Montlake/Portage Bay,8153,431,953,124,953,124,0,21,6177,407,5704,363,473,153,1023,115,1009,115,14,27
7.2,University District,12636,1213,461,103,461,103,0,29,11595,1216,10534,1168,1061,322,580,251,580,251,0,29
7.3,Ravenna/Bryant,19702,783,3010,284,3010,284,0,32,14685,702,13580,703,1105,248,2007,165,2007,165,0,32
7.4,Wedgwood/View Ridge,11938,491,2258,258,2197,246,61,71,7879,349,7236,358,643,188,1801,162,1801,162,0,27
7.5,Laurelhurst/Sand Point,8605,589,2026,271,2024,272,2,13,5491,418,5131,419,360,189,1088,133,1088,133,0,21
8.1,Northgate/Maple Leaf,9528,547,1420,247,1420,247,0,24,6598,422,5529,346,1069,294,1510,244,1510,244,0,24
8.2,Olympic Hills/Victory Heights,10203,680,1438,308,1327,267,111,98,7344,495,6339,449,1005,272,1421,190,1381,192,40,48
8.3,Cedar Park/Meadowbrook,8808,566,1303,223,1200,230,103,83,6393,425,5455,379,938,278,1112,139,1112,139,0,27
9.1,Broadview/Bitter Lake,9929,720,1278,238,1278,238,0,27,6300,637,5349,507,951,341,2351,264,2351,264,0,27
9.2,Licton Springs,6270,495,732,220,732,220,0,17,5070,427,3995,473,1075,317,468,132,468,132,0,17
9.3,Greenwood/Phinney Ridge,18993,654,2786,267,2729,263,57,51,14547,499,13094,528,1453,258,1660,183,1648,181,12,33
9.4,Green Lake,11745,645,1558,193,1479,215,79,89,8938,544,8178,538,760,194,1249,240,1249,240,0,24
9.5,Haller Lake,6814,492,962,253,844,222,118,89,4726,332,3868,294,858,267,1126,168,1119,170,7,17
10.1,North Beach/Blue Ridge,10080,514,1762,291,1584,226,178,180,6890,340,6253,314,637,211,1428,126,1428,126,0,21
10.2,Whittier Heights,10520,424,1848,280,1822,280,26,34,7960,330,6941,328,1019,256,712,78,712,78,0,24
10.3,Sunset Hill/Loyal Heights,12413,603,1915,235,1777,211,138,112,9086,524,8195,398,891,335,1412,176,1412,176,0,24
10.4,Ballard,5958,462,400,141,400,141,0,17,4957,407,4455,428,502,225,601,168,601,168,0,17
11.1,Fremont,13324,526,1095,142,1095,142,0,24,11552,486,10116,517,1436,336,677,151,658,143,19,36
11.2,Wallingford,13075,853,1567,180,1533,189,34,63,10470,789,8957,562,1513,468,1038,153,1038,153,0,27
11.3,Cascade/Eastlake,8641,686,246,114,226,109,20,34,7560,640,6472,575,1088,277,835,162,835,162,0,21
12.1,Magnolia,11232,625,2326,342,2273,324,53,97,7191,431,6674,414,517,181,1715,178,1715,178,0,24
12.2,Interbay,8131,546,1044,240,1013,236,31,38,6207,424,5552,419,655,262,880,136,880,136,0,21
12.3,Queen Anne,30167,1110,3215,331,3178,335,37,60,23571,1006,21754,984,1817,355,3381,291,3377,289,4,37
13.1,Belltown,6030,507,179,64,179,64,0,21,5039,478,4587,426,452,187,812,187,812,187,0,21
13.2,Downtown Commercial Core,2590,294,13,20,13,20,0,12,2257,279,1988,266,269,130,320,137,320,137,0,12
13.3,Pioneer Square/International District,1729,225,29,30,29,30,0,17,1454,211,1157,209,297,110,246,89,246,89,0,17
