area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
1,Southwest,2314,365,740,196,143,81,105,71,38,60,15,51,23,58,597,161,270,110,327,125,197,107,130,78,1574,258,239,112,136,96,103,69,69,59,34,58,1335,226,449,132,886,192,556,156,330,122
2,Delridge Neighborhoods,5554,687,2565,384,649,182,565,177,84,68,8,38,76,67,1916,278,480,146,1436,257,1083,239,353,132,2989,400,565,180,412,151,153,118,73,80,80,94,2424,327,382,129,2042,292,1582,265,460,157
3,Greater Duwamish,20739,1408,10086,843,1954,376,1366,294,588,268,473,211,115,122,8132,663,1560,286,6572,640,4847,549,1725,412,10653,780,2114,341,1792,329,322,129,143,76,179,112,8539,595,1492,271,7047,545,5400,464,1647,311
4,Southeast,11410,980,5431,569,1160,318,1018,290,142,94,51,58,91,84,4271,410,1074,255,3197,366,2201,341,996,260,5979,578,1014,234,739,203,275,129,101,79,174,113,4965,480,1131,231,3834,413,2392,297,1442,312
5,Central,2912,432,1325,290,83,59,71,60,12,29,12,29,0,34,1242,284,578,186,664,221,407,127,257,183,1587,266,164,94,81,58,83,70,70,66,13,36,1423,224,347,120,1076,190,700,160,376,131
6,East,4613,581,2341,401,134,113,105,108,29,56,16,51,13,51,2207,366,667,180,1540,320,593,163,947,287,2272,348,88,62,73,61,15,45,15,45,0,47,2184,340,666,173,1518,297,654,181,864,225
7,Northeast,10993,974,4768,566,360,125,316,123,44,63,8,60,36,63,4408,545,1846,382,2562,378,1097,236,1465,304,6225,639,502,141,342,115,160,84,109,77,51,66,5723,617,1979,318,3744,508,1604,327,2140,400
8,North,5928,713,2849,427,299,128,171,94,128,99,10,45,118,99,2550,392,816,270,1734,340,768,188,966,295,3079,450,345,146,230,113,115,96,17,49,98,92,2734,372,591,159,2143,338,1272,236,871,252
9,Northwest,6812,659,2587,388,342,125,243,102,99,89,34,63,65,82,2245,343,871,213,1374,273,958,214,416,164,4225,432,327,115,230,108,97,75,80,69,17,58,3898,413,1280,241,2618,349,1640,278,978,243
10,Ballard,2131,363,716,175,90,61,39,49,51,56,33,53,18,48,626,155,288,113,338,113,160,90,178,90,1415,286,75,61,9,42,66,59,48,56,18,48,1340,282,568,177,772,244,413,151,359,192
11,Lake Union,4603,650,2425,559,76,62,62,60,14,45,0,42,14,45,2349,550,1125,307,1224,476,387,144,837,461,2178,377,54,51,46,49,8,42,8,42,0,42,2124,373,804,252,1320,308,374,137,946,271
12,Magnolia/Queen Anne,4264,550,1636,366,238,140,177,122,61,85,61,85,0,51,1398,327,627,216,771,254,337,131,434,208,2628,392,209,124,113,99,96,81,82,79,14,53,2419,367,1055,287,1364,261,856,232,508,158
13,Downtown,3662,529,1764,334,139,151,128,150,11,31,0,29,11,31,1625,286,315,125,1310,269,641,153,669,249,1898,298,187,126,145,105,42,44,8,30,34,40,1711,256,269,99,1442,233,835,168,607,175
