area_id,area_name,b05003g001,b05003g001_moe,b05003g002,b05003g002_moe,b05003g003,b05003g003_moe,b05003g004,b05003g004_moe,b05003g005,b05003g005_moe,b05003g006,b05003g006_moe,b05003g007,b05003g007_moe,b05003g008,b05003g008_moe,b05003g009,b05003g009_moe,b05003g010,b05003g010_moe,b05003g011,b05003g011_moe,b05003g012,b05003g012_moe,b05003g013,b05003g013_moe,b05003g014,b05003g014_moe,b05003g015,b05003g015_moe,b05003g016,b05003g016_moe,b05003g017,b05003g017_moe,b05003g018,b05003g018_moe,b05003g019,b05003g019_moe,b05003g020,b05003g020_moe,b05003g021,b05003g021_moe,b05003g022,b05003g022_moe,b05003g023,b05003g023_moe
1,Southwest,2258,453,1082,264,627,177,627,177,0,48,0,48,0,48,455,143,423,139,32,54,18,49,14,52,1176,282,598,193,598,193,0,48,0,48,0,48,578,164,540,158,38,59,38,59,0,48
2,Delridge Neighborhoods,1921,385,931,224,396,152,396,152,0,38,0,38,0,38,535,164,482,155,53,53,36,47,17,43,990,260,389,152,389,152,0,38,0,38,0,38,601,180,483,162,118,82,104,80,14,43
3,Greater Duwamish,2087,500,1095,274,401,175,401,175,0,45,0,45,0,45,694,189,545,160,149,105,55,60,94,98,992,286,292,123,292,123,0,45,0,45,0,45,700,234,438,153,262,173,125,101,137,154
4,Southeast,2382,545,1039,279,545,185,545,185,0,45,0,45,0,45,494,155,421,145,73,62,60,60,13,47,1343,333,398,157,365,147,33,66,0,45,33,66,945,253,887,249,58,53,22,47,36,50
5,Central,1826,524,688,212,213,105,213,105,0,34,0,34,0,34,475,173,449,169,26,51,26,51,0,34,1138,372,397,165,397,165,0,34,0,34,0,34,741,256,712,254,29,41,25,42,4,33
6,East,2045,375,1178,285,223,134,223,134,0,47,0,47,0,47,955,251,847,237,108,100,94,99,14,48,867,207,118,88,118,88,0,47,0,47,0,47,749,183,585,156,164,103,62,68,102,92
7,Northeast,4028,513,1948,309,695,176,685,176,10,60,0,59,10,60,1253,247,1107,230,146,104,33,63,113,100,2080,351,712,192,712,192,0,59,0,59,0,59,1368,267,1267,257,101,93,56,84,45,68
8,North,1665,384,860,199,284,105,284,105,0,43,0,43,0,43,576,159,536,156,40,44,19,44,21,44,805,277,302,122,302,122,0,43,0,43,0,43,503,197,456,188,47,57,47,57,0,43
9,Northwest,3828,661,1707,365,809,243,809,243,0,54,0,54,0,54,898,233,792,219,106,94,28,60,78,90,2121,435,851,277,815,271,36,73,0,54,36,73,1270,307,1230,303,40,72,40,72,0,54
10,Ballard,2282,454,1057,249,478,168,478,168,0,43,0,43,0,43,579,170,563,169,16,49,0,43,16,49,1225,315,448,167,448,167,0,43,0,43,0,43,777,245,766,244,11,45,11,45,0,43
11,Lake Union,2146,424,892,267,267,163,267,163,0,42,0,42,0,42,625,204,591,201,34,54,0,42,34,54,1254,314,244,132,244,132,0,42,0,42,0,42,1010,247,895,236,115,81,87,77,28,46
12,Magnolia/Queen Anne,2715,565,1394,398,355,180,338,178,17,56,0,51,17,56,1039,317,928,265,111,118,65,95,46,87,1321,322,314,154,297,152,17,56,0,51,17,56,1007,254,991,253,16,55,0,51,16,55
13,Downtown,787,239,410,165,67,73,54,69,13,33,0,29,13,33,343,150,297,139,46,58,21,54,25,37,377,169,69,62,69,62,0,29,0,29,0,29,308,128,295,127,13,34,0,29,13,34
