area_id,area_name,b05009001,b05009001_moe,b05009002,b05009002_moe,b05009003,b05009003_moe,b05009004,b05009004_moe,b05009005,b05009005_moe,b05009006,b05009006_moe,b05009007,b05009007_moe,b05009008,b05009008_moe,b05009009,b05009009_moe,b05009010,b05009010_moe,b05009011,b05009011_moe,b05009012,b05009012_moe,b05009013,b05009013_moe,b05009014,b05009014_moe,b05009015,b05009015_moe,b05009016,b05009016_moe,b05009017,b05009017_moe,b05009018,b05009018_moe,b05009019,b05009019_moe,b05009020,b05009020_moe,b05009021,b05009021_moe,b05009022,b05009022_moe,b05009023,b05009023_moe,b05009024,b05009024_moe,b05009025,b05009025_moe,b05009026,b05009026_moe,b05009027,b05009027_moe,b05009028,b05009028_moe,b05009029,b05009029_moe,b05009030,b05009030_moe,b05009031,b05009031_moe,b05009032,b05009032_moe,b05009033,b05009033_moe,b05009034,b05009034_moe,b05009035,b05009035_moe,b05009036,b05009036_moe,b05009037,b05009037_moe
1,Southwest,8750,487,3508,461,2819,428,2805,428,14,50,2313,397,108,98,108,98,0,48,398,175,398,175,0,48,689,214,689,214,0,48,557,203,132,96,132,96,0,48,5242,457,4208,435,4107,436,101,88,3550,424,207,112,160,96,47,75,451,185,451,185,0,48,1034,246,1023,244,11,48,855,222,179,112,179,112,0,48
2,Delridge Neighborhoods,6851,600,2767,396,2042,346,1899,341,143,142,995,229,786,294,691,277,95,124,261,134,261,134,0,38,725,213,725,213,0,38,452,158,273,159,273,159,0,38,4084,446,2106,377,1921,369,185,116,864,247,923,239,754,226,169,113,319,239,303,239,16,44,1978,366,1703,343,275,164,1180,299,798,246,539,195,259,162
3,Greater Duwamish,10157,1035,4020,630,2859,591,2769,578,90,77,782,285,1749,494,1659,478,90,77,328,169,328,169,0,45,1161,325,1066,304,95,128,374,160,787,276,692,253,95,128,6137,669,3926,637,2883,467,1043,456,559,204,3105,583,2085,396,1020,454,262,169,262,169,0,45,2211,455,2004,433,207,119,796,285,1415,417,1222,392,193,118
4,Southeast,9271,761,3376,484,2512,453,2376,448,136,85,1289,261,776,298,695,293,81,75,447,245,447,245,0,45,864,267,864,267,0,45,561,210,303,158,303,158,0,45,5895,657,3031,466,2635,448,396,169,1436,332,1163,322,783,285,380,167,432,180,416,179,16,48,2864,574,2715,566,149,81,2000,486,864,366,762,348,102,76
5,Central,4316,458,2028,325,1518,305,1518,305,0,34,973,227,239,176,239,176,0,34,306,195,306,195,0,34,510,208,510,208,0,34,477,206,33,43,33,43,0,34,2288,361,1382,257,1288,254,94,71,915,224,198,103,134,87,64,50,269,148,269,148,0,34,906,312,753,237,153,199,701,231,205,209,62,71,143,200
6,East,3628,414,1736,367,1180,294,1142,291,38,54,676,197,358,215,328,212,30,54,146,104,138,104,8,47,556,244,556,244,0,47,381,175,175,200,175,200,0,47,1892,274,1515,221,1468,220,47,55,1225,191,66,71,50,67,16,51,224,128,219,128,5,46,377,175,308,148,69,75,252,140,125,95,56,57,69,75
7,Northeast,11057,456,4182,389,3752,377,3662,376,90,88,3060,350,269,120,229,109,40,76,423,149,423,149,0,59,430,139,420,138,10,60,381,133,49,65,39,62,10,60,6875,429,5738,401,5524,388,214,114,4565,381,406,144,291,115,115,99,767,227,700,220,67,75,1137,267,966,254,171,98,958,252,179,105,117,96,62,72
8,North,5986,478,2557,340,1919,300,1817,298,102,119,1303,244,369,154,267,140,102,119,247,122,247,122,0,43,638,215,638,215,0,43,512,219,126,95,126,95,0,43,3429,388,2330,333,2097,307,233,120,1653,265,428,185,237,145,191,116,249,99,211,91,38,54,1099,275,831,242,268,148,701,232,398,164,152,92,246,145
9,Northwest,10286,683,4540,492,3939,465,3829,461,110,89,2778,398,566,224,513,206,53,72,595,201,583,201,12,56,601,205,601,205,0,54,387,137,214,158,214,158,0,54,5746,519,4319,428,4076,412,243,126,2866,379,684,209,506,175,178,120,769,223,758,222,11,55,1427,334,1419,333,8,54,1230,284,197,187,197,187,0,54
10,Ballard,7074,469,3095,340,2740,318,2693,314,47,55,2166,296,93,72,93,72,0,43,481,159,465,158,16,47,355,146,342,144,13,45,285,130,70,74,70,74,0,43,3979,438,2884,379,2744,343,140,147,2400,340,180,153,40,56,140,147,304,137,304,137,0,43,1095,306,1054,305,41,50,959,293,136,115,136,115,0,43
11,Lake Union,3711,325,1903,266,1532,232,1518,232,14,45,1153,191,121,74,121,74,0,42,258,149,244,148,14,45,371,163,355,159,16,54,338,159,33,54,33,54,0,42,1808,275,1222,233,1197,233,25,45,978,198,142,105,128,103,14,45,102,77,102,77,0,42,586,193,586,193,0,42,549,187,37,62,37,62,0,42
12,Magnolia/Queen Anne,8052,565,3651,459,3306,451,3194,444,112,97,2287,383,318,185,294,184,24,53,701,200,667,192,34,74,345,176,331,175,14,54,317,174,28,56,14,53,14,54,4401,445,3842,437,3669,432,173,94,2945,424,147,109,96,87,51,69,750,232,730,231,20,57,559,180,537,179,22,55,547,179,12,53,12,53,0,51
13,Downtown,1003,413,563,229,341,121,300,115,41,46,169,52,114,93,73,87,41,46,58,71,58,71,0,29,222,198,215,199,7,29,65,57,157,193,150,194,7,29,440,218,154,105,53,54,101,97,33,50,121,97,20,35,101,97,0,29,0,29,0,29,286,212,191,159,95,151,66,53,220,205,125,151,95,151
