area_id,area_name,b06007001,b06007001_moe,b06007002,b06007002_moe,b06007003,b06007003_moe,b06007004,b06007004_moe,b06007005,b06007005_moe,b06007006,b06007006_moe,b06007007,b06007007_moe,b06007008,b06007008_moe,b06007009,b06007009_moe,b06007010,b06007010_moe,b06007011,b06007011_moe,b06007012,b06007012_moe,b06007013,b06007013_moe,b06007014,b06007014_moe,b06007015,b06007015_moe,b06007016,b06007016_moe,b06007017,b06007017_moe,b06007018,b06007018_moe,b06007019,b06007019_moe,b06007020,b06007020_moe,b06007021,b06007021_moe,b06007022,b06007022_moe,b06007023,b06007023_moe,b06007024,b06007024_moe,b06007025,b06007025_moe,b06007026,b06007026_moe,b06007027,b06007027_moe,b06007028,b06007028_moe,b06007029,b06007029_moe,b06007030,b06007030_moe,b06007031,b06007031_moe,b06007032,b06007032_moe,b06007033,b06007033_moe,b06007034,b06007034_moe,b06007035,b06007035_moe,b06007036,b06007036_moe,b06007037,b06007037_moe,b06007038,b06007038_moe,b06007039,b06007039_moe,b06007040,b06007040_moe
1,Southwest,46363,1013,41219,1086,1323,385,1041,346,282,118,3821,574,2822,487,999,291,21152,969,19880,970,471,193,339,174,132,88,801,231,637,204,164,111,20425,899,19183,886,556,240,491,234,65,60,686,196,619,186,67,63,868,219,709,198,67,74,40,61,27,63,92,92,88,92,4,46,3918,471,1447,267,229,123,171,114,58,65,2242,394,1478,286,764,262
2,Delridge Neighborhoods,31919,968,22043,954,3009,697,1438,381,1571,443,6867,755,3801,589,3066,484,12174,781,10376,767,648,264,529,253,119,88,1150,272,897,264,253,128,11508,736,10321,664,687,321,544,268,143,106,500,167,422,172,78,79,537,185,289,128,92,90,41,56,51,81,156,110,113,96,43,57,7700,750,1057,259,1582,438,324,143,1258,404,5061,618,2369,445,2692,437
3,Greater Duwamish,43591,1593,18288,1065,3459,801,1696,448,1763,563,21844,1509,8056,865,13788,1207,12316,878,7897,776,708,258,624,242,84,81,3711,522,2686,471,1025,301,10129,773,8766,712,539,217,450,174,89,95,824,241,606,207,218,123,923,263,338,146,133,125,104,120,29,57,452,197,254,160,198,108,20223,1397,1287,303,2079,632,518,220,1561,523,16857,1253,4510,632,12347,1086
4,Southeast,42970,1435,26768,1277,2811,704,1637,445,1174,419,13391,1114,5827,694,7564,833,15045,1099,12315,1079,737,295,710,293,27,48,1993,506,1561,439,432,156,14040,847,12677,804,617,224,523,189,94,78,746,216,663,199,83,78,1064,283,588,179,18,51,0,45,18,51,458,213,339,183,119,104,12821,1003,1188,266,1439,496,404,210,1035,398,10194,915,3264,466,6930,775
5,Central,27970,929,22998,951,1185,354,764,236,421,233,3787,596,2288,385,1499,411,8624,747,7852,765,266,116,203,96,63,55,506,190,422,180,84,59,14288,777,13420,760,299,154,266,139,33,42,569,160,521,154,48,52,553,188,459,185,27,41,16,41,11,33,67,46,41,40,26,40,4505,594,1267,286,593,252,279,126,314,224,2645,504,1304,302,1341,395
6,East,49787,1164,41146,1205,2008,458,1370,312,638,331,6633,720,4278,565,2355,425,13995,814,13082,817,281,116,190,103,91,72,632,202,513,185,119,81,27056,1060,25051,1040,850,241,778,231,72,79,1155,261,1024,249,131,80,1234,254,909,233,29,57,29,57,0,47,296,125,253,118,43,61,7502,736,2104,356,848,382,373,213,475,314,4550,559,2488,398,2062,404
7,Northeast,75669,1815,61463,1772,2185,417,1927,386,258,112,12021,1047,8255,743,3766,566,30219,1380,27281,1361,727,203,648,197,79,71,2211,371,2006,353,205,97,32860,1206,30252,1152,840,236,787,231,53,64,1768,331,1492,294,276,128,1579,270,1067,213,53,63,43,65,10,57,459,167,360,137,99,104,11011,904,2863,429,565,225,449,184,116,95,7583,831,4397,549,3186,515
8,North,37939,1028,28673,993,2261,543,1050,268,1211,455,7005,778,3615,552,3390,573,14640,767,13490,743,491,202,374,180,117,96,659,178,584,164,75,52,14347,783,13183,753,619,218,451,167,168,108,545,180,470,162,75,66,708,203,343,116,69,67,48,61,21,45,296,162,200,128,96,108,8244,830,1657,310,1082,443,177,93,905,427,5505,698,2361,453,3144,558
9,Northwest,65998,1333,54401,1369,2736,582,1751,403,985,332,8861,847,5673,673,3188,475,25604,1137,23268,1113,793,250,637,224,156,121,1543,316,1308,299,235,118,29399,1145,27814,1123,579,205,452,196,127,79,1006,237,907,230,99,77,1233,253,971,214,53,88,53,88,0,54,209,122,183,110,26,77,9762,826,2348,357,1311,410,609,242,702,288,6103,632,3275,491,2828,431
10,Ballard,41770,983,36796,967,1435,421,1051,294,384,219,3539,592,2613,530,926,243,17058,937,16039,903,271,128,242,124,29,52,748,221,546,201,202,105,19841,880,18789,849,597,247,497,210,100,118,455,145,401,141,54,51,706,181,543,157,74,73,57,69,17,50,89,72,62,59,27,60,4165,632,1425,259,493,313,255,157,238,183,2247,472,1604,419,643,213
11,Lake Union,42697,1291,36726,1289,1251,285,1052,264,199,103,4720,562,3505,471,1215,290,13638,925,12801,905,166,122,138,115,28,50,671,191,590,187,81,76,22603,1059,21181,1024,595,172,497,163,98,72,827,196,682,179,145,81,1091,267,875,211,97,87,97,87,0,42,119,99,119,99,0,42,5365,680,1869,506,393,151,320,138,73,66,3103,468,2114,379,989,267
12,Magnolia/Queen Anne,56755,1346,49550,1355,1609,399,1244,347,365,178,5596,662,4340,541,1256,303,19868,1133,18781,1123,320,135,282,131,38,54,767,222,647,198,120,95,29006,1132,27254,1088,716,232,686,227,30,52,1036,225,913,216,123,77,1332,270,1064,243,28,58,28,58,0,51,240,106,227,104,13,52,6549,666,2451,362,545,222,248,140,297,172,3553,543,2553,413,1000,282
13,Downtown,16872,820,12039,661,471,185,332,157,139,107,4362,598,1903,388,2459,404,3534,470,3140,444,62,51,48,45,14,36,332,180,207,102,125,118,8198,622,7692,599,165,100,153,98,12,31,341,136,310,132,31,39,418,168,282,141,28,44,28,44,0,29,108,83,75,74,33,47,4722,559,925,225,216,139,103,96,113,103,3581,515,1311,336,2270,368
