area_id,area_name,b07013001,b07013001_moe,b07013002,b07013002_moe,b07013003,b07013003_moe,b07013004,b07013004_moe,b07013005,b07013005_moe,b07013006,b07013006_moe,b07013007,b07013007_moe,b07013008,b07013008_moe,b07013009,b07013009_moe,b07013010,b07013010_moe,b07013011,b07013011_moe,b07013012,b07013012_moe,b07013013,b07013013_moe,b07013014,b07013014_moe,b07013015,b07013015_moe,b07013016,b07013016_moe,b07013017,b07013017_moe,b07013018,b07013018_moe
1,Southwest,47929,1014,33752,1157,14177,1035,39953,1098,31454,1116,8499,814,5263,866,1358,442,3905,734,807,288,162,110,645,261,1537,495,517,250,1020,435,369,152,261,127,108,92
2,Delridge Neighborhoods,33694,1017,18355,1013,15339,1100,28155,1126,16936,977,11219,1025,3422,537,1069,321,2353,472,713,496,30,44,683,495,1186,361,245,131,941,336,218,145,75,70,143,131
3,Greater Duwamish,45534,1720,24981,1551,20553,1828,38899,1601,22970,1367,15929,1705,4541,825,1417,416,3124,718,360,158,92,78,268,144,628,235,64,65,564,229,1106,556,438,432,668,324
4,Southeast,44637,1433,28592,1364,16045,1528,38223,1393,26155,1222,12068,1319,4703,1028,1729,613,2974,820,457,240,237,145,220,193,839,285,355,153,484,244,415,251,116,79,299,240
5,Central,28388,960,15234,916,13154,1038,21597,1023,13619,871,7978,884,4997,734,1186,382,3811,651,394,195,27,37,367,194,1319,348,383,199,936,286,81,58,19,37,62,53
6,East,46948,1070,14892,883,32056,1105,33234,1216,13380,918,19854,1063,8551,853,1088,373,7463,772,800,244,29,62,771,239,3573,583,255,158,3318,562,790,310,140,132,650,285
7,Northeast,68983,1645,41032,1166,27951,1711,52531,1373,37809,1046,14722,1277,10643,1089,2329,491,8314,1002,1806,383,195,158,1611,354,2632,541,403,176,2229,527,1371,381,296,142,1075,356
8,North,39212,1064,20566,902,18646,1157,31841,1072,19078,825,12763,1093,4359,704,910,324,3449,637,1282,360,36,65,1246,356,1236,352,331,195,905,285,494,213,211,123,283,178
9,Northwest,67896,1415,39783,1435,28113,1464,54973,1509,36138,1323,18835,1404,8603,920,2530,535,6073,778,1680,372,281,110,1399,361,1893,430,535,236,1358,354,747,299,299,175,448,248
10,Ballard,43432,1009,25589,993,17843,1202,35646,1009,23635,942,12011,1014,5382,801,1389,349,3993,737,836,317,184,127,652,292,1166,282,294,157,872,241,402,188,87,89,315,169
11,Lake Union,43009,1301,14944,806,28065,1362,29417,1065,13574,732,15843,1013,8747,920,998,288,7749,907,916,244,104,86,812,234,3456,653,152,85,3304,646,473,165,116,80,357,152
12,Magnolia/Queen Anne,56325,1309,29989,1105,26336,1413,42967,1354,27703,1069,15264,1208,8420,941,1921,447,6499,845,950,310,159,138,791,282,3517,682,160,92,3357,676,471,185,46,65,425,180
13,Downtown,15923,807,3103,461,12820,783,11234,812,2770,453,8464,767,2301,419,240,129,2061,403,377,182,23,44,354,178,1724,349,44,58,1680,349,287,148,26,48,261,142
