area_id,area_name,b08103001,b08103001_moe,b08103002,b08103002_moe,b08103003,b08103003_moe,b08103004,b08103004_moe,b08103005,b08103005_moe,b08103006,b08103006_moe,b08103007,b08103007_moe
1,Southwest,171,4,173,5,165,14,164,15,202,44,171,22,176,21
2,Delridge Neighborhoods,115,4,119,7,101,14,108,16,115,14,143,9,128,49
3,Greater Duwamish,276,10,275,13,301,28,268,23,252,49,262,42,291,74
4,Southeast,301,8,308,9,295,43,298,26,331,58,288,64,314,35
5,Central,263,8,274,15,242,37,241,13,286,28,258,17,312,24
6,East,348,6,354,16,431,91,323,22,341,17,370,36,420,49
7,Northeast,562,11,570,19,571,59,503,33,495,73,566,56,687,41
8,North,308,8,313,15,287,38,294,20,266,51,303,41,357,44
9,Northwest,533,10,543,14,510,38,498,22,498,70,499,50,616,48
10,Ballard,279,6,280,7,269,36,252,25,255,50,307,42,310,16
11,Lake Union,333,7,337,11,384,65,328,19,322,36,341,34,395,43
12,Magnolia/Queen Anne,375,7,386,10,388,44,364,32,357,52,375,30,420,40
13,Downtown,115,8,121,14,101,50,117,12,107,12,107,38,132,23
