area_id,area_name,b08105h001,b08105h001_moe,b08105h002,b08105h002_moe,b08105h003,b08105h003_moe,b08105h004,b08105h004_moe,b08105h005,b08105h005_moe,b08105h006,b08105h006_moe,b08105h007,b08105h007_moe
1,Southwest,23909,857,15348,822,2493,423,3261,402,327,117,600,162,1880,286
2,Delridge Neighborhoods,10613,612,6678,512,1272,276,1597,286,100,61,363,127,603,159
3,Greater Duwamish,6830,536,3670,395,606,199,1100,234,444,153,746,221,264,104
4,Southeast,9077,600,5420,466,1007,256,1353,263,163,86,441,147,693,188
5,Central,11195,632,5071,489,754,202,1869,320,1500,300,1178,276,823,194
6,East,25431,980,8646,681,1096,259,5242,589,7525,694,1314,291,1608,327
7,Northeast,33487,1148,17145,878,2632,405,5874,578,3128,449,2289,351,2419,320
8,North,15195,692,9006,581,1560,286,2719,328,459,137,707,178,744,174
9,Northwest,31102,962,18200,843,3146,430,4738,483,950,233,1683,284,2385,361
10,Ballard,23481,847,13770,710,2287,430,3735,451,789,208,1236,231,1664,310
11,Lake Union,23618,1034,10597,717,1877,380,4721,572,3089,407,1762,323,1572,266
12,Magnolia/Queen Anne,30097,1109,15613,861,2580,439,5267,570,3068,508,1138,246,2431,322
13,Downtown,6599,515,2126,332,310,241,1101,238,2205,383,118,89,739,195
