area_id,area_name,b08122001,b08122001_moe,b08122002,b08122002_moe,b08122003,b08122003_moe,b08122004,b08122004_moe,b08122005,b08122005_moe,b08122006,b08122006_moe,b08122007,b08122007_moe,b08122008,b08122008_moe,b08122009,b08122009_moe,b08122010,b08122010_moe,b08122011,b08122011_moe,b08122012,b08122012_moe,b08122013,b08122013_moe,b08122014,b08122014_moe,b08122015,b08122015_moe,b08122016,b08122016_moe,b08122017,b08122017_moe,b08122018,b08122018_moe,b08122019,b08122019_moe,b08122020,b08122020_moe,b08122021,b08122021_moe,b08122022,b08122022_moe,b08122023,b08122023_moe,b08122024,b08122024_moe,b08122025,b08122025_moe,b08122026,b08122026_moe,b08122027,b08122027_moe,b08122028,b08122028_moe
1,Southwest,27930,842,920,252,717,201,26293,838,17803,854,552,200,459,168,16792,819,2944,466,41,57,28,53,2875,461,3879,430,50,62,132,84,3697,421,481,155,16,51,16,51,449,151,699,182,9,47,20,56,670,179,2124,309,252,124,62,71,1810,281
2,Delridge Neighborhoods,18280,717,1221,291,1052,315,16007,712,11240,623,577,187,573,250,10090,618,2438,409,245,166,193,132,2000,359,2985,456,258,125,213,110,2514,419,385,171,130,106,37,47,218,136,439,141,11,41,0,38,428,139,793,184,0,38,36,43,757,180
3,Greater Duwamish,23116,1099,1358,304,1729,350,20029,1057,12986,866,774,214,940,252,11272,811,3352,528,159,110,192,157,3001,498,4634,561,195,102,407,170,4032,509,709,191,15,44,77,70,617,183,900,236,65,61,48,65,787,218,535,151,150,102,65,65,320,111
4,Southeast,22046,939,1619,394,1642,409,18785,962,13286,786,803,284,932,278,11551,741,2629,420,86,88,173,133,2370,388,3748,481,441,195,411,186,2896,402,484,164,92,101,13,48,379,140,750,205,80,86,53,96,617,178,1149,258,117,97,60,72,972,234
5,Central,17277,741,1155,298,1038,257,15084,684,7810,586,293,122,481,156,7036,552,1362,337,230,200,2,32,1130,259,3450,450,253,106,227,108,2970,417,2128,362,259,110,149,91,1720,324,1373,290,72,58,120,94,1181,271,1154,251,48,64,59,59,1047,234
6,East,32022,955,2418,387,2262,388,27342,930,10882,755,707,203,499,203,9676,715,1349,313,112,75,59,61,1178,301,7263,675,402,144,611,207,6250,618,9358,790,1015,255,880,247,7463,722,1430,303,62,67,109,78,1259,285,1740,332,120,94,104,123,1516,288
7,Northeast,39799,1174,4524,639,1894,389,33381,939,20240,907,1471,340,658,214,18111,818,3171,441,170,116,77,82,2924,415,7783,674,1228,294,601,241,5954,540,3241,432,941,265,342,142,1958,319,2779,402,518,225,103,91,2158,305,2585,350,196,98,113,88,2276,334
8,North,22372,886,1242,269,1210,274,19920,874,12842,762,564,172,557,178,11721,739,2604,382,158,93,148,94,2298,362,4276,490,333,130,267,116,3676,446,666,175,66,60,86,85,514,156,997,239,85,82,108,96,804,203,987,209,36,50,44,52,907,204
9,Northwest,40650,1078,2102,344,1720,332,36828,1074,23603,919,1178,254,670,209,21755,903,4120,536,165,93,218,148,3737,505,6776,591,372,148,523,184,5881,545,1295,260,144,93,59,60,1092,242,1974,315,155,106,93,82,1726,287,2882,406,88,70,157,89,2637,389
10,Ballard,27338,892,922,244,1215,303,25201,813,15697,794,396,154,810,232,14491,758,2671,454,195,121,66,68,2410,435,4618,502,142,81,229,159,4247,457,937,233,52,68,66,75,819,214,1451,260,64,61,13,45,1374,255,1964,370,73,60,31,48,1860,368
11,Lake Union,29932,1186,2972,502,1723,426,25237,953,13357,816,866,210,566,209,11925,767,2287,420,87,65,138,89,2062,403,6322,644,865,265,458,214,4999,520,4051,486,755,242,396,179,2900,381,2085,357,141,76,95,62,1849,345,1830,295,258,113,70,60,1502,267
12,Magnolia/Queen Anne,35854,1148,2192,587,1051,291,32611,957,18957,930,962,353,508,201,17487,834,3029,508,124,125,85,100,2820,466,6548,620,332,175,170,102,6046,569,3344,511,637,334,223,180,2484,366,1265,255,49,59,22,53,1194,253,2711,353,88,73,43,58,2580,350
13,Downtown,9745,591,689,186,616,209,8440,562,2868,377,84,59,74,68,2710,372,482,259,73,69,37,54,372,242,2108,331,211,96,277,150,1620,278,3207,426,285,121,197,116,2725,410,200,114,0,29,23,44,177,106,880,232,36,47,8,30,836,227
