area_id,area_name,b09002001,b09002001_moe,b09002002,b09002002_moe,b09002003,b09002003_moe,b09002004,b09002004_moe,b09002005,b09002005_moe,b09002006,b09002006_moe,b09002007,b09002007_moe,b09002008,b09002008_moe,b09002009,b09002009_moe,b09002010,b09002010_moe,b09002011,b09002011_moe,b09002012,b09002012_moe,b09002013,b09002013_moe,b09002014,b09002014_moe,b09002015,b09002015_moe,b09002016,b09002016_moe,b09002017,b09002017_moe,b09002018,b09002018_moe,b09002019,b09002019_moe,b09002020,b09002020_moe
1,Southwest,8524,494,7010,483,1376,250,997,225,429,153,2562,308,1646,277,1514,338,253,113,44,66,37,61,11,48,51,56,110,70,1261,318,196,113,198,125,105,102,368,144,394,153
2,Delridge Neighborhoods,6486,615,4047,579,1141,274,584,154,270,111,1160,246,892,255,2439,440,462,184,23,44,40,55,0,38,71,61,328,153,1977,397,359,177,128,81,85,72,533,191,872,246
3,Greater Duwamish,9510,1041,6541,1055,1219,293,1082,339,399,169,2049,418,1792,377,2969,600,567,249,125,85,97,88,51,74,156,117,138,88,2402,576,194,146,407,191,51,70,1030,322,720,235
4,Southeast,8478,737,5444,696,1442,349,708,188,295,125,1500,311,1499,316,3034,589,615,245,68,62,39,62,0,45,260,135,248,145,2419,579,252,162,177,121,138,102,1050,336,802,266
5,Central,4231,460,2900,374,918,253,473,132,127,67,849,193,533,147,1331,406,225,142,41,51,32,60,14,39,86,74,52,54,1106,378,93,82,109,81,152,130,330,175,422,200
6,East,3606,413,2695,355,619,217,351,115,210,97,942,180,573,129,911,273,133,74,68,65,0,47,0,47,28,48,37,53,778,280,246,141,183,122,37,59,82,72,230,136
7,Northeast,10992,457,9476,456,1893,273,1197,186,648,158,3334,325,2404,302,1516,309,423,185,50,70,21,60,5,58,146,94,201,148,1093,252,145,83,176,97,33,62,305,114,434,151
8,North,5683,478,4226,418,1053,217,519,140,347,108,1094,203,1213,235,1457,340,202,121,9,45,0,43,0,43,102,94,91,73,1255,328,293,130,91,80,132,106,366,163,373,150
9,Northwest,9893,661,8195,620,2197,343,1189,236,524,131,2750,366,1535,261,1698,354,454,188,56,67,28,60,8,54,88,87,274,133,1244,300,181,120,22,53,71,69,511,213,459,169
10,Ballard,6968,468,5563,447,1453,228,935,180,324,104,1563,250,1288,280,1405,344,516,240,84,64,40,61,21,47,172,115,199,159,889,257,89,83,36,47,50,63,360,143,354,138
11,Lake Union,3687,330,2754,300,1011,203,255,95,266,110,905,187,317,113,933,255,290,139,28,49,85,98,0,42,108,71,69,59,643,223,113,93,92,81,53,59,141,97,244,125
12,Magnolia/Queen Anne,8027,566,7123,575,1763,315,833,185,710,227,2378,336,1439,262,904,251,210,113,14,53,0,51,14,54,59,59,123,102,694,228,207,135,94,96,16,54,136,85,241,121
13,Downtown,987,413,495,183,258,70,83,86,0,29,54,58,100,74,492,385,237,340,64,101,30,54,29,52,95,151,19,40,255,201,13,32,79,69,0,29,96,69,67,99
